,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,2587.0327603338155,8.887759269537128,15.826068739847011,-137.8382888573733,12.594462893530565,56.20323536793509,False
1,0,gaussian,2,2533.7747870604144,8.575873033703829,17.66181264910762,-191.09626213077445,12.077849872205732,54.156563910265476,False
2,0,power_law,0,2724.871049191189,12.652983679081444,0.0,0.0,19.555258578917268,80.94437084796145,True
3,1,exponential,1,2248.1221890082934,9.121972285126503,15.420302402849378,-139.29958162446655,13.744880888582173,58.52146288803313,False
4,1,gaussian,2,2199.309986051753,8.754162035355876,16.803520112631965,-188.11178458100676,13.105503315972168,56.0721276996085,False
5,1,power_law,0,2387.42177063276,13.213412917813002,0.0,0.0,21.41149761699407,85.70986666913046,True
6,2,exponential,1,2242.974953034828,9.785281934818158,15.707006502979038,-131.7928466462863,15.076302955687327,63.099237867818125,False
7,2,gaussian,2,2191.7005320031903,9.610882096585101,17.796871560690914,-183.06726767792406,14.827219554864659,61.98713020604085,False
8,2,power_law,0,2374.7677996811144,13.986825235733704,0.0,0.0,22.988693537768953,91.10031557398202,True
9,3,exponential,1,2386.000169230109,9.25644772286023,16.433878836021336,-131.2980379338319,13.736910581266393,59.16880590572453,False
10,3,gaussian,2,2334.1504393041137,8.791482030369025,18.629272974071,-183.14776785982713,12.910504763776878,56.05801302327774,False
11,3,power_law,0,2517.298207163941,14.05283490124657,0.0,0.0,22.85849562502329,91.34772642757272,True
12,4,exponential,1,2408.3743923136017,9.081059681344414,16.094120059844542,-153.60269420534587,13.341173423104593,57.91020845289524,False
13,4,gaussian,2,2355.9703150222695,8.799752214682485,17.453142718235572,-206.00677149667808,12.884314027084798,56.07425911332465,False
14,4,power_law,0,2561.9770865189475,14.485042595328196,0.0,0.0,23.600003500531248,94.13057390357353,True
15,5,exponential,1,2376.488170875382,9.09054627255955,13.663711835956125,-123.59009830740433,13.423432159618939,58.03850682319806,False
16,5,gaussian,2,2327.5133018749216,8.88549574804847,15.729845990126325,-172.56496730786466,13.11223680732709,56.72296799038843,False
17,5,power_law,0,2500.0782691827862,15.80569018031565,0.0,0.0,26.268147028648606,103.0519253190406,True
18,6,exponential,1,2436.3057824732605,9.133389799379074,13.852194719807876,-116.95937098509785,13.376357851206238,58.1686690577203,False
19,6,gaussian,2,2385.429973384771,9.0597824254246,15.668253507695049,-167.83518007358725,13.327118914230068,57.74942876140626,False
20,6,power_law,0,2553.2651534583583,14.826743937035644,0.0,0.0,24.1838542409296,96.10637651060604,True
21,7,exponential,1,2515.909839715112,8.875002734985173,15.076395080441557,-127.91833995569414,12.714827495137866,56.27121854059389,False
