,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,56263.25034951588,11.028168758457468,16.789296151951643,-184.93620721654588,-90.07291272319794,-36.003041872059,False
1,0,gaussian,2,56220.68046174801,12.641303792494,20.42289491867184,-227.50609498441918,-86.76331021877617,-24.769801129042094,False
2,0,power_law,0,56448.18655673243,10.927764626481803,0.0,0.0,-92.19693625091816,-42.43423423175206,True
3,1,exponential,1,58289.21579725837,11.188046329843928,15.725478078112877,-172.5346522351174,-93.77634392657352,-38.88989089211826,False
4,1,gaussian,2,58249.591491705054,12.21773746983672,19.325707733355017,-212.1589577884297,-91.64609621613197,-31.719384183320543,False
5,1,power_law,0,58461.750449493484,12.167689282417996,0.0,0.0,-93.54848300021817,-37.250887850477625,True
6,2,exponential,1,63472.86443833749,10.333994083404832,16.807235500692997,-194.96147988689336,-105.80970564785855,-55.11847305515852,False
7,2,gaussian,2,63428.912616996924,11.472520783892833,20.29414509830807,-238.9133012274615,-103.43912491560192,-47.138242746790425,False
8,2,power_law,0,63667.825918224386,10.74429970059282,0.0,0.0,-106.22221081930218,-55.585863484333615,True
9,3,exponential,1,52352.786680124394,9.741588168399176,15.087411133910186,-152.76253505250497,-84.84727712979438,-37.07779918174623,False
10,3,gaussian,2,52314.6932138698,10.991826206671249,18.578302175509275,-190.85600130709645,-82.2743575467764,-28.36934950924089,False
11,3,power_law,0,52505.5492151769,12.211968703952152,0.0,0.0,-81.73624994075271,-25.567188926201524,True
12,4,exponential,1,52555.35037583983,10.32407820901426,14.42796607477389,-149.23134929021762,-84.08441439409725,-33.44901791527067,False
13,4,gaussian,2,52519.4244058312,11.726483529761026,17.80366476818401,-185.1573192988435,-81.20919045746561,-23.684910975416983,False
14,4,power_law,0,52704.58172513005,11.156556301764795,0.0,0.0,-83.58207472721426,-30.977007520690165,True
15,5,exponential,1,51329.85045315935,10.935084425786044,16.834038270021196,-180.7805948603782,-80.42793325679878,-26.80649649010138,False
16,5,gaussian,2,51287.9102197877,13.075318731142033,20.551033486588597,-222.720828232028,-76.08029661259371,-11.98151538556563,False
17,5,power_law,0,51510.63104801973,10.011270154289377,0.0,0.0,-83.48725533181596,-36.49440905223959,True
18,6,exponential,1,57777.58839699223,12.161616581157432,17.332385921079943,-193.7312061912089,-90.81627158114834,-31.160671233003384,False
19,6,gaussian,2,57735.17916965159,13.891845140053192,21.18350009888108,-236.14043353185116,-87.28817820695681,-19.17125183644832,False
20,6,power_law,0,57971.31960318344,12.657857189064089,0.0,0.0,-91.47202485004011,-32.47368348376202,True
21,7,exponential,1,55609.28543665356,10.827785811110516,17.51381317787386,-195.8494612362556,-89.1636035209338,-36.0604090926319,False
22,7,gaussian,2,55568.4033181992,12.084728781017475,21.37457439380056,-236.73157969061867,-86.57544843078257,-27.31293658580077,False
23,7,power_law,0,55805.13489788982,9.54743523144134,0.0,0.0,-93.155571952862,-48.8980517536709,True
24,8,exponential,1,53755.80797233011,10.901191865785222,15.89595580756365,-167.51478836236492,-85.32136835734639,-31.849498548604913,False
25,8,gaussian,2,53715.07654435873,12.999471628514584,19.495976411790213,-208.24621633374773,-81.06066520738429,-17.31921348738301,False
26,8,power_law,0,53923.32276069248,9.302530677887262,0.0,0.0,-89.54134418404318,-45.61537586486123,True
27,9,exponential,1,60423.897213979304,11.25255886240484,16.6584144752583,-194.2868297832756,-97.89900425226136,-42.69404040813683,False
28,9,gaussian,2,60378.82940615939,12.721560107223922,20.17978523470138,-239.35463760318817,-94.9014699744935,-32.551582700229076,False
29,9,power_law,0,60618.18404376258,10.370161020669912,0.0,0.0,-100.94937789781164,-52.28444713879364,True
30,10,exponential,1,54366.13941868102,10.90627020302054,17.36568895286658,-191.93723999142094,-86.52780189033227,-33.032955512042676,False
31,10,gaussian,2,54322.71412395548,13.952532481787784,21.082346243457348,-235.36253471696546,-80.35514658108451,-11.906129677238283,False
32,10,power_law,0,54558.07665867244,9.750896432371519,0.0,0.0,-90.21695488956834,-44.84309266799922,True
33,11,exponential,1,59173.36822609494,11.15314945288992,16.45781761686481,-183.60196609521518,-95.60936308276277,-40.8991798100122,False
34,11,gaussian,2,59132.1800054591,13.46086236130941,19.972765389588915,-224.79018673105747,-90.92232743433203,-24.897187149435425,False
35,11,power_law,0,59356.97019219016,9.553890012619377,0.0,0.0,-100.02914547667362,-55.27635019629619,True
