,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,301.68465469070327,9.467088125729163,5.889449799792053,-14.784518854645114,18.299932068387072,64.74171867523542,False
1,0,gaussian,2,266.36464208610096,9.773833469599936,9.866671651382878,-50.104531459247426,18.987903622364627,66.94720488845108,False
2,0,power_law,0,316.4691735453484,14.756783092126284,0.0,0.0,28.7431975739489,100.91885049931469,True
3,1,exponential,1,221.19545828718657,9.069425824832507,8.236741034295207,-37.815431490285334,17.678293102243572,62.198566200858096,False
4,1,gaussian,2,180.56260092509362,9.428682546729107,11.62210531238695,-78.44828885237828,18.477117944858716,64.76129842107798,False
5,1,power_law,0,259.0108897774719,13.73754860137899,0.0,0.0,26.83439070224874,94.03839440877906,True
6,2,exponential,1,236.66660942689924,9.448395552435159,7.233690327544455,-28.765935916209457,18.390290385109026,64.73563318058888,False
7,2,gaussian,2,202.31375874313238,8.959273776686388,10.819310405966482,-63.11878659997632,17.492771926769354,61.464779005826635,False
8,2,power_law,0,265.4325453431087,13.111249557661154,0.0,0.0,25.5569835983591,89.65369934786247,True
9,3,exponential,1,267.9832164706408,8.832371375655327,8.489240674150585,-40.0342371069043,17.107261420458276,60.45348382016527,False
10,3,gaussian,2,222.4787857518083,9.263058906848812,11.942061392271057,-85.53866782573681,18.06251526161315,63.53314824542572,False
11,3,power_law,0,308.0174535775451,14.134409130920858,0.0,0.0,27.531970683691906,96.68980687501065,True
12,4,exponential,1,215.8479068558948,8.805608143693348,6.606156692742697,-20.97409160668542,17.15831862806007,60.37482273442139,False
13,4,gaussian,2,182.49929468983132,9.28005781097957,10.319196055404934,-54.322703772748895,18.178042752897568,63.7368351941775,False
14,4,power_law,0,236.8219984625802,12.053596774939564,0.0,0.0,23.52061107421677,82.47344663754278,True
15,5,exponential,1,236.35160443972657,9.340277870787986,7.49839901505233,-29.641065781735023,18.182255622563925,64.01505398578955,False
16,5,gaussian,2,197.8392939627434,9.67747468326911,11.211620734078505,-68.1533762587182,18.93800580963749,66.43922926287559,False
17,5,power_law,0,265.9926702214616,16.563808877810686,0.0,0.0,32.2511790465956,112.80050714187168,True
18,6,exponential,1,246.29672241365182,9.265051544187315,8.198698907646275,-38.47097260275012,18.010624679918024,63.47044284702395,False
19,6,gaussian,2,204.41563196987366,9.613401064029404,11.616558846675131,-80.35206304652829,18.788013413835166,65.95293978665067,False
20,6,power_law,0,284.76769501640194,16.902410419554258,0.0,0.0,32.98836846984586,115.44044398184253,True
21,7,exponential,1,180.09163280935485,8.704220215351597,8.554782994644173,-40.75696352320347,17.029453853391658,59.75427411352746,False
22,7,gaussian,2,139.61889761271954,9.390330374213733,11.989060560011277,-81.22969871983878,18.47889271534818,64.56703861276408,False
23,7,power_law,0,220.84859633255832,15.006375300829092,0.0,0.0,29.28137792175606,102.31199127601072,True
24,8,exponential,1,301.417976152975,8.953931132108153,8.31093505099494,-40.87314076714881,17.268565886998037,61.17491026996893,False
25,8,gaussian,2,259.3488408355105,9.030375238423062,11.788450472582037,-82.9422760846133,17.50550812903627,61.7881182609497,False
26,8,power_law,0,342.2911169201238,13.596563207605357,0.0,0.0,26.352249343575103,92.7794992062449,True
27,9,exponential,1,230.96099788734801,9.147833393973144,6.732667844971557,-23.33815779062988,17.813481870582766,62.71377082993496,False
28,9,gaussian,2,194.5794255123634,9.367179971463088,10.325643972908825,-59.71973016561449,18.323650323259184,64.29938544191367,False
29,9,power_law,0,254.2991556779779,14.105491346787716,0.0,0.0,27.587679461072774,96.61948232555778,True
30,10,exponential,1,303.85522733223803,8.696986797941179,7.809201434505537,-34.83658279735613,16.754814088766736,59.410736007772705,False
31,10,gaussian,2,259.32660839839536,9.536294012728945,11.416121166107137,-79.3652017311988,18.52237934829578,65.30342932051241,False
32,10,power_law,0,338.69181012959416,13.207772284453767,0.0,0.0,25.6133170480036,90.20697838323888,True
