simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.050058966,0.106125581,0.032426214,0.646414343,0.773832483,0.007968127,0.008337338,0.198357406,0.095221853
0,gaussian,0.039455531,0.106716235,0.035100379,0.646414343,0.769563963,0.007968127,0.00837998,0.165556545,0.097150422
0,power_law,0.243061559,0.094733163,0.021835518,0.646414343,0.741687033,0.007968127,0.008590669,0.80179025,0.047348775
1,exponential,0.080508411,0.109285459,0.034115017,0.635458167,0.767499907,0.008964143,0.009358037,0.196314494,0.096009082
1,gaussian,0.069988495,0.10990885,0.036601836,0.635458167,0.765013882,0.008964143,0.009309107,0.16879734,0.097638862
1,power_law,0.255228469,0.098355814,0.023911646,0.635458167,0.732259618,0.008964143,0.009570406,0.770158855,0.051343224
2,exponential,0.129177152,0.086593528,0.026524934,0.611553785,0.743500311,0.00498008,0.005631038,0.221912731,0.085181975
2,gaussian,0.111186071,0.08748346,0.028744579,0.611553785,0.739273064,0.00498008,0.005473948,0.179420389,0.087477006
2,power_law,0.307317192,0.077230301,0.016556037,0.611553785,0.708343283,0.00498008,0.005736025,0.76022783,0.047286039
3,exponential,0.092050613,0.086477904,0.025480281,0.642430279,0.777983005,0.003984064,0.004629824,0.194369814,0.097214628
3,gaussian,0.081224506,0.086991944,0.02789233,0.642430279,0.779282028,0.003984064,0.004572398,0.17564494,0.098337895
3,power_law,0.368614268,0.072114354,0.015088537,0.642430279,0.733187874,0.003984064,0.004776706,0.772041278,0.051712063
4,exponential,0.082975419,0.097184085,0.030141633,0.634462151,0.76077434,0.006972112,0.007440457,0.187030217,0.087123315
4,gaussian,0.068810378,0.097931797,0.03326195,0.634462151,0.76223397,0.006972112,0.007473108,0.158261204,0.088651454
4,power_law,0.223509672,0.089427829,0.020418917,0.634462151,0.717011112,0.006972112,0.007653262,0.729258409,0.050277616
5,exponential,0.106535258,0.081036791,0.023738477,0.630478088,0.760015812,0.003984064,0.004710564,0.237139837,0.082464765
5,gaussian,0.095855269,0.081519687,0.026186471,0.630478088,0.757833883,0.003984064,0.004692573,0.204644284,0.084202825
5,power_law,0.31478332,0.07096717,0.015408837,0.630478088,0.723633373,0.003984064,0.004898406,0.766115005,0.045661181
