simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.476599511,0.136590843,0.09365583,0.235059761,0.236089548,0.006972112,0.007834163,0.687891598,0.096537784
0,gaussian,0.46057142,0.138666482,0.095511553,0.235059761,0.235988546,0.006972112,0.007804376,0.662043478,0.100455799
0,power_law,0.488225285,0.135065346,0.092798499,0.235059761,0.235987332,0.006972112,0.007836809,0.699325572,0.094752972
1,exponential,0.36839058,0.159372898,0.103040035,0.233067729,0.23438082,0.012948207,0.013666833,0.668154288,0.100812013
1,gaussian,0.349390317,0.161752287,0.10605253,0.233067729,0.234101687,0.012948207,0.013828436,0.631308178,0.106261498
1,power_law,0.387492913,0.156944366,0.100106366,0.233067729,0.233993308,0.012948207,0.013740413,0.699806303,0.09588374
2,exponential,0.428893484,0.142732383,0.098269662,0.248007968,0.248617592,0.006972112,0.007829868,0.651092617,0.102189687
2,gaussian,0.408050736,0.14531358,0.1010578,0.248007968,0.248772535,0.006972112,0.007796813,0.619310091,0.106742574
2,power_law,0.448308068,0.140285335,0.095679331,0.248007968,0.249113982,0.006972112,0.007830802,0.681048381,0.097704461
3,exponential,0.433171646,0.150547774,0.097999468,0.232071713,0.233254358,0.010956175,0.011727216,0.703240906,0.097670998
3,gaussian,0.408675147,0.153766462,0.101785353,0.232071713,0.233320811,0.010956175,0.011780472,0.66614512,0.103595877
3,power_law,0.459291437,0.1470382,0.09471265,0.232071713,0.2334375,0.010956175,0.011811255,0.732142051,0.092793141
4,exponential,0.412320586,0.148822364,0.099748907,0.24501992,0.246639069,0.008964143,0.009910265,0.650232545,0.103775969
4,gaussian,0.390369196,0.151576338,0.102489478,0.24501992,0.24712556,0.008964143,0.009944285,0.619643459,0.108218757
4,power_law,0.432505417,0.146244257,0.097409918,0.24501992,0.245264504,0.008964143,0.009928816,0.673241559,0.10030452
5,exponential,0.376457937,0.155108603,0.101221432,0.247011952,0.248092505,0.012948207,0.013788409,0.669419668,0.098273793
5,gaussian,0.360393561,0.157093936,0.103899136,0.247011952,0.248228866,0.012948207,0.013768489,0.635543162,0.103186353
5,power_law,0.38833258,0.153624571,0.098528305,0.247011952,0.24829507,0.012948207,0.013681711,0.693787213,0.094582518
6,exponential,0.400358175,0.144833863,0.09474078,0.243027888,0.244056368,0.007968127,0.008768302,0.650334471,0.100749
6,gaussian,0.381184667,0.14713117,0.097563226,0.243027888,0.244200012,0.007968127,0.008813278,0.612775748,0.106021907
6,power_law,0.413965556,0.143181111,0.092975371,0.243027888,0.243885334,0.007968127,0.008766185,0.681544174,0.096147708
7,exponential,0.385184538,0.154934453,0.102869785,0.246015936,0.247073923,0.011952191,0.012711965,0.639984634,0.104199078
7,gaussian,0.360287821,0.158040328,0.106354708,0.246015936,0.246991472,0.011952191,0.012756007,0.600615279,0.109748623
7,power_law,0.410035378,0.15177093,0.099579717,0.246015936,0.247038658,0.011952191,0.012732414,0.673522731,0.099226993
8,exponential,0.456656219,0.135709648,0.093370192,0.226095618,0.227104613,0.002988048,0.003921003,0.659964366,0.102833345
8,gaussian,0.435498807,0.138326633,0.096445923,0.226095618,0.227598076,0.002988048,0.003941733,0.621858292,0.108442379
8,power_law,0.483367381,0.13233182,0.090441882,0.226095618,0.227352527,0.002988048,0.003916023,0.691876885,0.097888999
9,exponential,0.43391967,0.14499243,0.097863757,0.242031873,0.243985091,0.008964143,0.00987002,0.656517648,0.101270494
9,gaussian,0.40979043,0.148050344,0.100257663,0.242031873,0.24369718,0.008964143,0.009838147,0.625452279,0.105750954
9,power_law,0.454919618,0.142277614,0.096498841,0.242031873,0.243874502,0.008964143,0.009784643,0.676508736,0.098279286
10,exponential,0.479471994,0.134673588,0.093567625,0.230079681,0.230842007,0.003984064,0.004894796,0.691385447,0.098286846
10,gaussian,0.456031386,0.137672533,0.096778348,0.230079681,0.230591198,0.003984064,0.004922715,0.654704282,0.103963955
10,power_law,0.501097847,0.131846338,0.091331881,0.230079681,0.230900056,0.003984064,0.004914187,0.714760607,0.094491327
11,exponential,0.405897699,0.142865935,0.096424426,0.239043825,0.240188527,0.006972112,0.00779728,0.652604968,0.099707124
11,gaussian,0.389948977,0.144770859,0.098939302,0.239043825,0.240188745,0.006972112,0.007809325,0.616845473,0.104713185
11,power_law,0.418114274,0.141389423,0.094322504,0.239043825,0.24006334,0.006972112,0.00772261,0.682685546,0.095292631
12,exponential,0.39506912,0.147914937,0.100999621,0.259960159,0.260744678,0.007968127,0.00892866,0.644310227,0.10277378
12,gaussian,0.378265391,0.149955251,0.103774978,0.259960159,0.260597672,0.007968127,0.008773406,0.612827709,0.107225671
12,power_law,0.401113693,0.147174086,0.099292585,0.259960159,0.260636641,0.007968127,0.008790059,0.661694919,0.100230731
13,exponential,0.46635201,0.137970472,0.093298409,0.234063745,0.235652826,0.005976096,0.006847049,0.686822529,0.098629665
13,gaussian,0.444734004,0.140737311,0.096321832,0.234063745,0.235621856,0.005976096,0.00683989,0.653138161,0.103798377
13,power_law,0.486099416,0.135393641,0.090823755,0.234063745,0.234995425,0.005976096,0.006892773,0.712271362,0.094537442
14,exponential,0.419296735,0.153289825,0.100374562,0.247011952,0.247518208,0.010956175,0.011745642,0.692120769,0.100209802
14,gaussian,0.397078363,0.156194821,0.103812275,0.247011952,0.247848294,0.010956175,0.01179342,0.655223535,0.106044662
14,power_law,0.431787669,0.15163223,0.098441311,0.247011952,0.247887917,0.010956175,0.011970991,0.710241996,0.097215996
15,exponential,0.444899408,0.133170462,0.09434426,0.235059761,0.235956953,0.002988048,0.003921159,0.644517475,0.100947039
15,gaussian,0.42246671,0.135834652,0.097067584,0.235059761,0.235839019,0.002988048,0.003931991,0.611863156,0.105481645
15,power_law,0.468852845,0.130265524,0.092036973,0.235059761,0.236106978,0.002988048,0.003905036,0.671022852,0.097110753
16,exponential,0.423443686,0.138387812,0.098031622,0.256972112,0.257840855,0.00498008,0.005900959,0.628129673,0.103214946
16,gaussian,0.401523654,0.140993948,0.100655773,0.256972112,0.257778324,0.00498008,0.005898718,0.597128182,0.107431162
16,power_law,0.439625603,0.13643196,0.095564648,0.256972112,0.257498413,0.00498008,0.005874004,0.653611179,0.099615923
17,exponential,0.49314687,0.135319484,0.092354885,0.225099602,0.227013508,0.005976096,0.006876432,0.689056152,0.098492027
17,gaussian,0.465158304,0.139005472,0.095308247,0.225099602,0.226743557,0.005976096,0.006818352,0.655163989,0.103720929
17,power_law,0.524528574,0.131063415,0.089844459,0.225099602,0.227052851,0.005976096,0.00685841,0.711927371,0.094800601
18,exponential,0.383894128,0.157786773,0.099523961,0.231075697,0.231159923,0.012948207,0.013804501,0.706534434,0.095160359
18,gaussian,0.367314567,0.159895719,0.102603471,0.231075697,0.231668545,0.012948207,0.013690457,0.669710976,0.100954241
18,power_law,0.404242603,0.155159239,0.096925104,0.231075697,0.231947429,0.012948207,0.013777141,0.737169486,0.090056567
19,exponential,0.446019858,0.139622184,0.094220317,0.228087649,0.2282016,0.005976096,0.006876556,0.696069368,0.096183248
19,gaussian,0.4187046,0.143022963,0.098227215,0.228087649,0.228279912,0.005976096,0.006897099,0.652501604,0.102846284
19,power_law,0.46698318,0.136954966,0.091350677,0.228087649,0.228513975,0.005976096,0.006866503,0.7265415,0.091234252
20,exponential,0.443660277,0.135224979,0.092550743,0.230079681,0.230778418,0.005976096,0.006862239,0.672340959,0.094693347
20,gaussian,0.422320204,0.137794054,0.095588491,0.230079681,0.230902173,0.005976096,0.006900056,0.639893816,0.099271294
20,power_law,0.466160015,0.132462345,0.089380495,0.230079681,0.231009462,0.005976096,0.006844995,0.695961752,0.09121631
21,exponential,0.430228356,0.142770974,0.098794863,0.240039841,0.240764442,0.006972112,0.007834506,0.633536317,0.105130905
21,gaussian,0.40540808,0.145847506,0.102287401,0.240039841,0.240952658,0.006972112,0.007885925,0.595024425,0.110517066
21,power_law,0.455484842,0.139570776,0.095093374,0.240039841,0.240971209,0.006972112,0.007876774,0.673412691,0.099246359
22,exponential,0.469028817,0.137910953,0.094162261,0.233067729,0.234534985,0.006972112,0.007835004,0.67192074,0.098841659
22,gaussian,0.442912297,0.141261909,0.097247237,0.233067729,0.234390127,0.006972112,0.007860215,0.636492432,0.104041683
22,power_law,0.497627565,0.134145524,0.091054641,0.233067729,0.234568289,0.006972112,0.007838521,0.701680847,0.094252137
