,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,9983.700898763444,8.82246859928091,12.940257817339543,-124.38289982578499,-2.271231914381687,41.01496035378506,False
1,0,gaussian,2,9870.376629593535,11.870210744535143,17.906767171074943,-237.7071689956938,4.020510208202143,62.211953941496716,False
2,0,power_law,0,10108.083798589229,15.584099413275908,0.0,0.0,10.722462504534676,86.54700271936657,True
3,1,exponential,1,9280.083509850716,9.72570230691781,14.120864740234634,-132.02315930371878,0.9362233404769853,48.65951587916423,False
4,1,gaussian,2,9159.67658235021,12.372232052552135,18.015778308486173,-252.43008680422463,6.4444767520145305,67.11319264188195,False
5,1,power_law,0,9412.106669154435,14.1268897661339,0.0,0.0,9.219075026266658,77.942639724303,True
6,2,exponential,1,10733.955610239496,9.863133734306757,14.748366884912159,-125.85727834611862,-1.6874659726922552,46.70545911177088,False
7,2,gaussian,2,10627.71094831004,13.125030417613743,19.452761856510953,-232.10194027557554,5.00245575729604,69.3137957085691,False
8,2,power_law,0,10859.812888585615,14.285525205790691,0.0,0.0,6.620479113051864,76.04535900734896,True
9,3,exponential,1,10591.079167768707,9.213887852027256,15.211080189677096,-172.5541327106348,-2.7133082617360635,42.459581938400504,False
10,3,gaussian,2,10462.482428193263,13.669570130739885,19.869709168456865,-301.1508722860781,6.413708203824239,73.3842134761398,False
11,3,power_law,0,10763.633300479341,13.155284285459857,0.0,0.0,4.581393193696496,68.52467022336847,True
12,4,exponential,1,9598.299777586024,9.065601633123151,15.736570428935137,-156.10083119751653,-1.013507066556265,43.476601197463005,False
13,4,gaussian,2,9482.49702539954,11.97242874312542,20.128828822030986,-271.90358338400074,4.982928739058185,63.64066568325286,False
14,4,power_law,0,9754.40060878354,13.200088447951202,0.0,0.0,6.778801503878608,71.18126368249634,True
15,5,exponential,1,10953.437974000399,8.566191726875331,15.990376263580904,-154.22515826165363,-4.7793030685883195,37.09113322011862,False
16,5,gaussian,2,10849.111764527934,11.281462019316677,20.294158764827046,-258.5513677341187,0.865820536187087,56.096577584577986,False
17,5,power_law,0,11107.663132262052,13.0587258960295,0.0,0.0,3.3964160144609536,66.11347911028942,True
18,6,exponential,1,10040.500772095022,9.226369191557751,13.683370436391748,-130.6470631754146,-1.5789957947137871,43.68617467122133,False
19,6,gaussian,2,9926.577165406263,11.270270653745683,18.20844550731185,-244.5706698641734,2.7097914434652353,57.955657417086314,False
20,6,power_law,0,10171.147835270436,17.60489603633323,0.0,0.0,14.177550899482508,98.80268985397434,True
21,7,exponential,1,9930.791080679863,8.352906805701423,15.74639983053959,-147.13733403518017,-3.1132980641664574,37.84479300443857,False
22,7,gaussian,2,9822.985155509046,11.488264298423019,20.518820359788904,-254.94325920599658,3.3540183790869875,59.67576553167842,False
23,7,power_law,0,10077.928414715043,14.155362894705831,0.0,0.0,7.970817934978758,76.88631775596954,True
24,8,exponential,1,11362.27760745586,8.56699387280969,14.033766657346774,-128.48594304482504,-5.52884163903477,36.50066569272204,False
25,8,gaussian,2,11233.096531559153,11.710115938793024,19.004918319953564,-257.66701894153266,0.994660763972611,58.42118839600664,False
26,8,power_law,0,11490.763550500686,14.281400517029397,0.0,0.0,5.335778171498884,74.69217703880261,True
27,9,exponential,1,9039.584681160211,9.138125415753166,15.678751048407976,-129.3365379766965,0.23608803721604232,45.06196602600511,False
28,9,gaussian,2,8926.250505581276,11.871771222295138,19.704006976912375,-242.67071355563166,5.914497829962233,64.1383924650737,False
29,9,power_law,0,9168.921219136908,14.908764641562811,0.0,0.0,11.223313849181093,83.68148768933496,True
30,10,exponential,1,9823.448309029696,8.437193289493734,14.599141294068195,-141.05535658185,-2.723852315435881,38.66582042685528,False
31,10,gaussian,2,9697.796465588515,11.809256846539938,19.546737216529436,-266.70720002303096,4.2500507535267396,62.160737955374294,False
