,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,347.2391559112202,9.200106771696312,9.017231828709372,-40.7397836236774,17.681314053531494,62.826021663413066,False
1,0,gaussian,2,292.21433041246905,11.037439800543154,13.230429993796639,-95.76460912242857,21.461961010421835,75.62685712976314,False
2,0,power_law,0,387.9789395348976,14.716476426257998,0.0,0.0,28.450128211491375,100.25606738584995,True
3,1,exponential,1,452.43059520066925,9.112967816461037,10.659405480103931,-62.07266381527768,17.305562355344833,62.04183816814347,False
4,1,gaussian,2,394.5467446124526,11.622456507530273,14.490207890117915,-119.95651440349434,22.435545236618204,79.49347625777287,False
5,1,power_law,0,514.5032590159469,14.533047605009642,0.0,0.0,27.857422289975272,98.82608585805738,True
6,2,exponential,1,368.26127719561805,9.385047069552172,10.011233310032182,-63.54943500184959,18.00222607936253,64.03841538660839,False
7,2,gaussian,2,311.3544667815404,9.803280632961673,13.828717413346878,-120.45624541592724,18.953326587346197,67.04788915220122,False
8,2,power_law,0,431.81071219746764,12.806671161129259,0.0,0.0,24.6064865021978,87.18228582867582,True
9,3,exponential,1,431.91163919182,9.1911034087384,10.450520420113946,-60.086555394497225,17.498263481491875,62.60762070410332,False
10,3,gaussian,2,371.92021096670874,10.089239390097646,14.174926987051188,-120.07798361960846,19.41113210060038,68.92699480221687,False
11,3,power_law,0,491.9981945863172,13.630877530321811,0.0,0.0,26.08590901603959,92.59155789644686,True
12,4,exponential,1,379.77651427824924,8.995887790510665,10.140206220402405,-58.891627192843714,17.21303924192496,61.36641033436723,False
13,4,gaussian,2,321.4540130870804,10.53466072587537,14.042346959798959,-117.21412838401255,20.402707437640572,72.10796457508341,False
14,4,power_law,0,438.66814147109295,12.962205573162294,0.0,0.0,24.88953574028701,88.1943876134534,True
15,5,exponential,1,351.48174059058016,9.225798103279317,10.30422240384309,-54.829755426891836,17.72250395142055,62.9892227912835,False
16,5,gaussian,2,293.70447323602855,10.60968026119076,14.495762722642917,-112.60702278144345,20.598642648008337,72.64955332847985,False
17,5,power_law,0,406.311496017472,15.342989574719297,0.0,0.0,29.36134953496715,103.49751726956097,True
18,6,exponential,1,439.8504882295582,9.473468333135884,10.148572577628057,-52.052956971341814,18.04122290802614,64.52360375472162,False
19,6,gaussian,2,381.3170274086895,11.417153841607558,14.23750327197136,-110.58641779221051,22.041276975764912,78.0657614317897,False
20,6,power_law,0,491.9034452009,15.94899540644684,0.0,0.0,30.689141191047508,108.5057692144478,True
21,7,exponential,1,373.7021359063409,8.78685048890486,10.302097060242264,-61.24131650458105,16.807926964187065,59.93611506156575,False
22,7,gaussian,2,311.41891864698823,11.206710945554391,14.607673686663444,-123.52453376393373,21.767276526780016,76.77636520381736,False
23,7,power_law,0,434.94345241092196,14.302454289661682,0.0,0.0,27.36965237792375,96.75144769349846,True
24,8,exponential,1,373.92250394470875,9.104341708346453,9.961389801939607,-55.09138940494131,17.440534402833855,62.12421855035701,False
25,8,gaussian,2,317.4106039003764,10.1598235952996,14.009773248490873,-111.60328944927369,19.659113076361002,69.5174564885971,False
26,8,power_law,0,429.01389334965006,13.61689511442978,0.0,0.0,26.153810917338852,92.51833475874636,True
27,9,exponential,1,378.3244798689614,9.23767976708939,10.111769309631963,-49.87225886640289,17.697597974745207,63.03449043863719,False
28,9,gaussian,2,321.9475258788135,10.846768004113528,14.074275564300706,-106.2492128565508,21.013782654274838,74.22303855079069,False
29,9,power_law,0,428.1967387353643,14.494297073063535,0.0,0.0,27.99315623982751,98.8727627143994,True
30,10,exponential,1,384.43427760572615,8.905818640742439,9.974186746204072,-60.37401288673101,17.022065869311408,60.728970780360626,False
31,10,gaussian,2,320.5620769863941,10.836068456187263,13.651287488334342,-124.24621350606304,21.00076691815116,74.17124237026283,False
32,10,power_law,0,444.80829049245716,12.708645947393734,0.0,0.0,24.37520831733919,86.44629951103323,True
33,11,exponential,1,351.7953146392946,8.834863992440319,10.40255433076842,-61.82601823956975,16.93433728517229,60.26600259526132,False
34,11,gaussian,2,293.6544448666107,10.015326940562943,13.847285614952927,-119.96688801225366,19.41367197256888,68.5527160759758,False
35,11,power_law,0,413.62133287886434,13.60810850685749,0.0,0.0,26.00877051845845,91.9422792334058,True
36,12,exponential,1,366.5602341880286,9.149714039817184,9.429030017684806,-48.93409037119267,17.542711147225912,62.4414500199689,False
37,12,gaussian,2,310.3246113907593,11.03775475377904,13.664487507035936,-105.16971316846195,21.414556157462965,75.55168522360799,False
38,12,power_law,0,415.49432455922124,12.88737391055912,0.0,0.0,24.797586220085734,87.76292462305872,True
39,13,exponential,1,416.9970784806454,9.129247628506278,10.417220000015954,-63.335698797754674,17.400790387309055,62.19765355113207,False
40,13,gaussian,2,354.56179940842827,10.380553412028746,14.346875171618688,-125.77097786997183,20.02030892534725,70.94810165979993,False
41,13,power_law,0,480.3327772784001,14.50416690466551,0.0,0.0,27.693476479697757,98.09282182150595,True
42,14,exponential,1,348.9397603812222,8.949397176008176,10.002684547987178,-57.63053012640955,17.180058110686588,61.101432508432275,False
