,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,0.871,1.0,7663.0,-0.129,0.129,12.9,1,1,2.893,1.0,9998.0,-0.1070000000000002,0.1070000000000002,3.5666666666666735,1,1,0.014,1.0,25811.0,0.004,0.004,40.0,1,1,0.314,1.0,27329.0,0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,16.375,1.0,28694.0,-1.625,1.625,9.027777777777777,1,1,4,0.0015,0.001118033988749895,-0.0,0.003,0.0015,0.001118033988749895,0.0018708286933869708,0.0015,1.0,4,0,1.0,1.0,0,3328.0,3546.75,0,4,-0.031,0.04032988966015156,-0.095,0.005,-0.031,0.04032988966015156,0.05086747487343951,0.0345,0.75,3,0,1.0,1.0,0,25934.0,28026.0,0
1,1,power_law,0.896,1.0,7297.0,-0.10399999999999998,0.10399999999999998,10.399999999999999,1,1,2.806,1.0,6440.0,-0.19399999999999995,0.19399999999999995,6.466666666666665,1,1,0.018,1.0,31288.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.272,1.0,25751.0,-0.02799999999999997,0.02799999999999997,9.333333333333323,1,1,16.934,1.0,8219.0,-1.065999999999999,1.065999999999999,5.922222222222216,1,1,4,0.004,0.003391164991562634,-0.0,0.009,0.004,0.003391164991562634,0.0052440442408507575,0.004,1.0,4,0,1.0,1.0,0,2145.0,7835.75,0,4,0.00275,0.015706288549495073,-0.018,0.026,0.00275,0.015706288549495073,0.015945218719101973,0.01225,1.0,4,0,1.0,1.0,0,4186.0,16340.25,0
2,2,power_law,0.809,1.0,6675.0,-0.19099999999999995,0.19099999999999995,19.099999999999994,1,1,2.731,1.0,8613.0,-0.26900000000000013,0.26900000000000013,8.966666666666672,1,1,0.007,1.0,12202.0,-0.003,0.003,30.0,1,1,0.281,1.0,12786.0,-0.01899999999999996,0.01899999999999996,6.3333333333333215,1,1,15.709,1.0,10180.0,-2.2910000000000004,2.2910000000000004,12.72777777777778,1,1,4,0.0022500000000000003,0.001299038105676658,0.001,0.004,0.0022500000000000003,0.001299038105676658,0.002598076211353316,0.0022500000000000003,1.0,4,0,1.0,1.0,0,3546.0,6675.0,0,4,-0.004,0.005873670062235365,-0.012,0.003,-0.004,0.005873670062235365,0.007106335201775948,0.0055,1.0,4,0,1.0,1.0,0,3868.0,12807.0,0
3,3,power_law,0.634,1.0,5946.0,-0.366,0.366,36.6,0,1,2.68,1.0,7600.0,-0.31999999999999984,0.31999999999999984,10.666666666666663,0,1,0.012,1.0,17348.0,0.002,0.002,20.0,1,1,0.278,1.0,11282.0,-0.021999999999999964,0.021999999999999964,7.333333333333322,1,1,19.685,1.0,7254.0,1.6849999999999987,1.6849999999999987,9.361111111111104,1,1,4,-0.0052499999999999995,0.010084022015049352,-0.022,0.004,-0.0052499999999999995,0.010084022015049352,0.011368817000902073,0.00775,1.0,4,0,1.0075,1.03,1,146.0,1006.0,1,4,0.0002500000000000002,0.013827056809024834,-0.014,0.016,0.0002500000000000002,0.013827056809024834,0.01382931668593933,0.013749999999999998,1.0,4,0,1.0,1.0,0,3574.0,12592.5,0
4,4,power_law,0.764,1.0,8214.0,-0.236,0.236,23.599999999999998,0,1,2.81,1.0,11181.0,-0.18999999999999995,0.18999999999999995,6.333333333333331,1,1,0.021,1.0,1981.0,0.011000000000000001,0.011000000000000001,110.00000000000001,1,1,0.294,1.0,7345.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,22.101,1.0,34368.0,4.100999999999999,4.100999999999999,22.783333333333328,0,1,4,0.0005,0.0016583123951777,-0.001,0.003,0.0005,0.0016583123951777,0.0017320508075688774,0.0015,1.0,4,0,1.0025,1.01,0,807.0,2471.25,0,4,-0.015,0.020916500663351885,-0.046,0.013,-0.015,0.020916500663351885,0.0257390753524675,0.0215,1.0,4,0,1.005,1.01,0,713.0,16984.75,0
5,5,power_law,0.782,1.0,9323.0,-0.21799999999999997,0.21799999999999997,21.799999999999997,0,1,2.806,1.0,12372.0,-0.19399999999999995,0.19399999999999995,6.466666666666665,1,1,0.003,1.0,36143.0,-0.007,0.007,70.0,0,1,0.294,1.0,38560.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,16.953,1.0,33024.0,-1.0470000000000006,1.0470000000000006,5.81666666666667,1,1,4,0.002,0.001,0.001,0.003,0.002,0.001,0.00223606797749979,0.002,1.0,4,0,1.0,1.0,0,2791.0,9268.75,0,4,-0.014499999999999999,0.0278792037189013,-0.054,0.016,-0.014499999999999999,0.0278792037189013,0.03142451272494134,0.026,0.75,3,0,1.0,1.0,0,25883.0,32807.75,0
6,6,power_law,0.915,1.03,2919.0,-0.08499999999999996,0.08499999999999996,8.499999999999996,1,0,2.926,1.02,4071.0,-0.07399999999999984,0.07399999999999984,2.4666666666666615,1,0,0.006,1.03,112.0,-0.004,0.004,40.0,1,0,0.273,1.03,1926.0,-0.02699999999999997,0.02699999999999997,8.99999999999999,1,0,17.661,1.01,343.0,-0.33899999999999864,0.33899999999999864,1.8833333333333258,1,1,4,0.006749999999999999,0.015449514555480376,-0.01,0.032,0.006749999999999999,0.015449514555480376,0.016859715300087365,0.011750000000000002,1.0,4,0,1.0325,1.04,4,108.0,3003.5,2,4,-0.005000000000000001,0.019532024984624613,-0.035,0.019,-0.005000000000000001,0.019532024984624613,0.020161845153655954,0.0155,1.0,4,0,1.0125,1.02,1,569.0,1118.0,0
7,7,power_law,0.747,1.01,7212.0,-0.253,0.253,25.3,0,1,2.753,1.01,1735.0,-0.2469999999999999,0.2469999999999999,8.23333333333333,1,1,0.014,1.0,2120.0,0.004,0.004,40.0,1,1,0.311,1.03,87.0,0.01100000000000001,0.01100000000000001,3.66666666666667,1,0,19.074,1.02,137.0,1.0740000000000016,1.0740000000000016,5.966666666666676,1,0,4,0.0027500000000000003,0.005261891294962297,-0.006,0.008,0.0027500000000000003,0.005261891294962297,0.005937171043518959,0.00575,1.0,4,0,1.0325,1.05,3,58.0,2203.25,2,4,-0.019000000000000003,0.011113055385446437,-0.034,-0.006,-0.019000000000000003,0.011113055385446437,0.02201136070305514,0.019000000000000003,1.0,4,0,1.0150000000000001,1.02,2,174.0,15279.0,1
8,8,power_law,1.025,1.0,10401.0,0.02499999999999991,0.02499999999999991,2.499999999999991,1,1,3.059,1.0,12742.0,0.05900000000000016,0.05900000000000016,1.9666666666666721,1,1,0.012,1.0,18221.0,0.002,0.002,20.0,1,1,0.265,1.0,24045.0,-0.034999999999999976,0.034999999999999976,11.666666666666659,0,1,16.185,1.0,28564.0,-1.8150000000000013,1.8150000000000013,10.08333333333334,1,1,4,0.00175,0.0012990381056766582,0.001,0.004,0.00175,0.0012990381056766582,0.0021794494717703367,0.00175,1.0,4,0,1.0,1.0,0,4630.0,9606.75,0,4,0.00825,0.007154544010627093,0.0,0.019,0.00825,0.007154544010627093,0.010920164833920777,0.00825,1.0,4,0,1.0,1.0,0,17215.0,21007.75,0
9,9,power_law,0.848,1.0,11641.0,-0.15200000000000002,0.15200000000000002,15.200000000000003,1,1,2.797,1.0,13903.0,-0.20299999999999985,0.20299999999999985,6.766666666666661,1,1,0.015,1.0,19899.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.298,1.0,10426.0,-0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,18.558,1.0,33868.0,0.5579999999999998,0.5579999999999998,3.0999999999999988,1,1,4,0.0025,0.0016583123951777,0.001,0.005,0.0025,0.0016583123951777,0.003,0.0025,1.0,4,0,1.0,1.0,0,3091.0,9284.0,0,4,0.01575,0.019122957407263132,-0.01,0.037,0.01575,0.019122957407263132,0.02477397828367499,0.020749999999999998,1.0,4,0,1.0,1.0,0,4306.0,15141.75,0
