,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,15.012,1.0,12891.0,0.012000000000000455,0.012000000000000455,0.08000000000000303,1,1,1.6,1.0,11234.0,0.10000000000000009,0.10000000000000009,6.666666666666672,1,1,0.02,1.0,36407.0,0.01,0.01,100.0,0,1,0.302,1.0,30770.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,18.903,1.0,32172.0,0.9029999999999987,0.9029999999999987,5.0166666666666595,1,1,4,1.9215000000000002,0.7839006633496364,0.804,2.691,1.9215000000000002,0.7839006633496364,2.075249984941573,1.9215000000000002,1.0,4,0,1.0,1.0,0,2759.0,7340.75,0,4,-1.9224999999999999,0.9455005288205819,-3.512,-1.101,-1.9224999999999999,0.9455005288205819,2.1424232775061047,1.9224999999999999,1.0,4,0,1.0,1.0,0,5373.0,7061.5,0
1,1,power_law,10.827,1.0,12570.0,-4.173,4.173,27.82,1,1,1.391,1.0,11710.0,-0.10899999999999999,0.10899999999999999,7.266666666666666,1,1,0.016,1.0,28514.0,0.006,0.006,60.0,1,1,0.254,1.0,26462.0,-0.045999999999999985,0.045999999999999985,15.333333333333329,0,1,17.173,1.0,29275.0,-0.8270000000000017,0.8270000000000017,4.594444444444454,1,1,4,1.39125,1.1129477469764697,0.598,3.299,1.39125,1.1129477469764697,1.7816366773279,1.39125,1.0,4,0,1.0,1.0,0,1524.0,6104.25,0,4,-1.04025,0.6999940624748184,-1.69,0.063,-1.04025,0.6999940624748184,1.2538388054291507,1.07175,1.0,4,0,1.0,1.0,0,7063.0,9640.5,0
2,2,power_law,10.061,1.02,517.0,-4.939,4.939,32.92666666666666,0,0,1.27,1.01,805.0,-0.22999999999999998,0.22999999999999998,15.333333333333332,1,1,0.007,1.01,3800.0,-0.003,0.003,30.0,1,1,0.297,1.01,506.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,17.547,1.02,662.0,-0.4529999999999994,0.4529999999999994,2.516666666666663,1,0,4,0.8112499999999999,0.23534376452330322,0.444,1.022,0.8112499999999999,0.23534376452330322,0.8446971350726838,0.8112499999999999,1.0,4,0,1.0074999999999998,1.01,0,620.0,1787.0,0,4,-0.23149999999999998,0.6974903225135098,-0.868,0.944,-0.23149999999999998,0.6974903225135098,0.7349047557336936,0.7034999999999999,1.0,4,0,1.005,1.01,0,594.0,767.0,0
3,3,power_law,11.271,1.0,13487.0,-3.728999999999999,3.728999999999999,24.859999999999996,1,1,1.426,1.0,13624.0,-0.07400000000000007,0.07400000000000007,4.933333333333337,1,1,0.011,1.0,32221.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.277,1.0,21512.0,-0.022999999999999965,0.022999999999999965,7.666666666666655,1,1,17.966,1.0,29813.0,-0.03399999999999892,0.03399999999999892,0.1888888888888829,1,1,4,0.971,0.3401315921816143,0.528,1.483,0.971,0.3401315921816143,1.0288491143019953,0.971,1.0,4,0,1.0,1.0,0,4964.0,7608.25,0,4,-0.9622499999999999,1.040948455736402,-2.481,0.083,-0.9622499999999999,1.040948455736402,1.4175678996083396,1.00375,1.0,4,0,1.0,1.0,0,9581.0,12368.75,0
4,4,power_law,10.822,1.0,12453.0,-4.178000000000001,4.178000000000001,27.853333333333342,1,1,1.362,1.0,13189.0,-0.1379999999999999,0.1379999999999999,9.199999999999992,1,1,0.009,1.0,24602.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.299,1.0,26373.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,17.403,1.0,28339.0,-0.5970000000000013,0.5970000000000013,3.316666666666674,1,1,4,1.053,0.5662830564302626,0.384,1.781,1.053,0.5662830564302626,1.1956109316997734,1.053,1.0,4,0,1.0,1.0,0,873.0,5677.75,0,4,-0.5595,0.8821594243672739,-1.563,0.603,-0.5595,0.8821594243672739,1.0446269669121124,0.861,1.0,4,0,1.0,1.0,0,6773.0,9242.75,0
5,5,power_law,11.229,1.0,8613.0,-3.771000000000001,3.771000000000001,25.140000000000008,1,1,1.429,1.0,12587.0,-0.07099999999999995,0.07099999999999995,4.733333333333331,1,1,0.011,1.0,5798.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.319,1.0,26015.0,0.019000000000000017,0.019000000000000017,6.333333333333339,1,1,18.32,1.0,30212.0,0.3200000000000003,0.3200000000000003,1.7777777777777795,1,1,4,1.32625,0.7017793011339107,0.562,2.47,1.32625,0.7017793011339107,1.500477673942535,1.32625,1.0,4,0,1.0025,1.01,0,1215.0,6323.75,0,4,-1.311,1.0728632252062702,-3.162,-0.598,-1.311,1.0728632252062702,1.6940355663326552,1.311,0.75,3,0,1.0,1.0,0,5075.0,7065.5,0
6,6,power_law,11.812,1.02,7704.0,-3.1880000000000006,3.1880000000000006,21.253333333333337,1,0,1.457,1.04,5241.0,-0.04299999999999993,0.04299999999999993,2.866666666666662,1,0,0.011,1.02,173.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,0,0.278,1.02,18665.0,-0.021999999999999964,0.021999999999999964,7.333333333333322,1,0,18.171,1.04,24055.0,0.17099999999999937,0.17099999999999937,0.9499999999999965,1,0,4,1.5822500000000002,0.5783348402958273,0.997,2.532,1.5822500000000002,0.5783348402958273,1.6846323782950392,1.5822500000000002,1.0,4,0,1.0175,1.03,3,2901.0,4766.75,0,4,-1.5274999999999999,0.5573300189295387,-2.328,-0.764,-1.5274999999999999,0.5573300189295387,1.6259990774905133,1.5274999999999999,1.0,4,0,1.02,1.04,2,77.0,531.0,2
7,7,power_law,11.45,1.0,10481.0,-3.5500000000000007,3.5500000000000007,23.66666666666667,1,1,1.431,1.0,11829.0,-0.06899999999999995,0.06899999999999995,4.599999999999996,1,1,0.013,1.0,28129.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.3,1.0,30169.0,0.0,0.0,0.0,1,1,17.935,1.0,26485.0,-0.06500000000000128,0.06500000000000128,0.3611111111111182,1,1,4,1.1785,0.27870638672265835,0.815,1.597,1.1785,0.27870638672265835,1.2110076382913528,1.1785,1.0,4,0,1.0,1.0,0,3968.0,5419.5,0,4,-1.31375,0.9031227422117106,-2.875,-0.702,-1.31375,0.9031227422117106,1.5942301433607382,1.31375,1.0,4,0,1.0,1.0,0,7715.0,8674.0,0
8,8,power_law,11.249,1.0,9268.0,-3.7509999999999994,3.7509999999999994,25.00666666666666,1,1,1.42,1.0,8775.0,-0.08000000000000007,0.08000000000000007,5.3333333333333375,1,1,0.01,1.0,26881.0,0.0,0.0,0.0,1,1,0.289,1.0,11239.0,-0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,16.018,1.0,2187.0,-1.9819999999999993,1.9819999999999993,11.011111111111108,0,1,4,1.44325,0.5260524569850424,0.631,2.062,1.44325,0.5260524569850424,1.5361320743998543,1.44325,1.0,4,0,1.0025,1.01,0,734.0,3451.0,0,4,-0.96475,0.4634551623404361,-1.398,-0.242,-0.96475,0.4634551623404361,1.0702958703087666,0.96475,1.0,4,0,1.0,1.0,0,6052.0,7013.25,0
9,9,power_law,12.414,1.0,10286.0,-2.5860000000000003,2.5860000000000003,17.240000000000002,1,1,1.438,1.0,6999.0,-0.062000000000000055,0.062000000000000055,4.133333333333336,1,1,0.009,1.0,21679.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.307,1.0,21230.0,0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,17.567,1.0,11318.0,-0.43299999999999983,0.43299999999999983,2.4055555555555546,1,1,4,0.899,0.3160957133527755,0.571,1.406,0.899,0.3160957133527755,0.9529519924949,0.899,1.0,4,0,1.0,1.0,0,4536.0,6694.75,0,4,-1.251,0.39463464115558833,-1.674,-0.764,-1.251,0.39463464115558833,1.3117688439660395,1.251,1.0,4,0,1.0,1.0,0,4762.0,5234.25,0
