simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.26686632,0.122067293,0.058752996,0.294820717,0.295672653,0.008964143,0.009855889,0.508833684,0.089636323
0,gaussian,0.105275038,0.134850482,0.06852462,0.294820717,0.29528788,0.008964143,0.009787911,0.216484232,0.113212301
0,power_law,0.402314122,0.110215893,0.045305551,0.294820717,0.294880478,0.008964143,0.009787942,0.796541168,0.057690994
1,exponential,0.23711894,0.132176886,0.062016731,0.25498008,0.256157775,0.012948207,0.013715606,0.512813116,0.083779123
1,gaussian,0.099361654,0.143615832,0.071653781,0.25498008,0.255816826,0.012948207,0.013728648,0.223025262,0.105801412
1,power_law,0.344374778,0.122533525,0.049608573,0.25498008,0.255765687,0.012948207,0.013784425,0.807248801,0.052697081
2,exponential,0.322667485,0.102101028,0.049504424,0.263944223,0.264097765,0.003984064,0.005047591,0.490338976,0.087701492
2,gaussian,0.148088766,0.114505495,0.058352803,0.263944223,0.265042144,0.003984064,0.004855204,0.219671135,0.108518831
2,power_law,0.484470164,0.089075046,0.036486374,0.263944223,0.264733877,0.003984064,0.00488966,0.804179692,0.054361964
3,exponential,0.300835431,0.118579637,0.056163906,0.260956175,0.26252711,0.007968127,0.008778947,0.506721764,0.09060126
3,gaussian,0.118596828,0.133139744,0.068042839,0.260956175,0.262301824,0.007968127,0.008828312,0.214034247,0.114364193
3,power_law,0.468010589,0.103436045,0.037809124,0.260956175,0.262628175,0.007968127,0.008804874,0.847624283,0.050355411
4,exponential,0.190556868,0.135410422,0.0613469,0.277888446,0.279159487,0.013944223,0.014729862,0.496297776,0.081584939
4,gaussian,0.092537127,0.143374974,0.070298325,0.277888446,0.27902185,0.013944223,0.014702409,0.215265301,0.10183205
4,power_law,0.3001061,0.125914291,0.047346139,0.277888446,0.279087836,0.013944223,0.014789467,0.839411002,0.046066047
5,exponential,0.392725894,0.096644511,0.048644495,0.275896414,0.27742894,0.000996016,0.00193834,0.478828168,0.099047491
5,gaussian,0.159679647,0.113686069,0.058908602,0.275896414,0.276884524,0.000996016,0.001945468,0.190182448,0.12346578
5,power_law,0.643166708,0.074082818,0.031947985,0.275896414,0.276471894,0.000996016,0.001961155,0.839185992,0.055019286
6,exponential,0.327297412,0.10262285,0.049266688,0.255976096,0.257970711,0.003984064,0.00489685,0.511429396,0.086473709
6,gaussian,0.134347268,0.116413775,0.059126672,0.255976096,0.257312625,0.003984064,0.004889318,0.214544703,0.109643062
6,power_law,0.502015886,0.088295845,0.035970085,0.255976096,0.256944161,0.003984064,0.004742686,0.815624675,0.053121682
7,exponential,0.237234473,0.126276298,0.059355662,0.293824701,0.295697803,0.008964143,0.009747354,0.476482931,0.094816376
