ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump,death_dum,COORD_X,COORD_Y,death_proportion
1,0,0,0,1,10.08,10.08,125.0,0,529286.3973489881,181084.1173568114,0.0
2,1,0,1,1,14.64,14.64,119.94,1,529289.8149757241,181079.7481055296,0.05555555555555555
3,0,0,0,1,18.47,18.47,116.27,0,529291.7306369036,181075.34064446908,0.0
4,0,0,0,1,22.98,22.98,112.56,0,529293.5114145369,181070.3275635728,0.0
5,0,0,0,1,27.47,27.47,109.1,0,529295.3550454364,181065.79783335765,0.0
6,5,0,5,1,32.21,32.21,105.54,1,529297.4239756963,181061.27383579296,0.2777777777777778
7,1,0,1,1,42.77,42.77,101.43,1,529300.1718612342,181056.6466755313,0.05555555555555555
8,0,0,0,1,36.43,36.43,97.56,0,529302.4277446445,181050.68218308283,0.0
9,0,0,0,1,31.48,31.48,94.08,0,529304.8721815533,181046.1677421704,0.0
10,0,0,0,1,32.31,32.31,112.86,0,529286.4466052917,181000.33092507027,0.0
11,0,0,0,1,24.91,24.91,111.19,0,529289.868293883,180993.75938101992,0.0
12,0,0,0,1,20.73,20.73,110.2,0,529292.0374070337,180990.1523387432,0.0
13,0,0,0,1,15.97,15.97,108.99,0,529294.7714112727,180986.11576255225,0.0
14,0,0,0,1,8.72,8.72,107.9,0,529298.6747000506,180979.66745264063,0.0
15,0,0,0,1,36.06,40.17,120.91,0,529275.7296236021,181020.81668393456,0.0
16,0,0,0,1,32.43,32.43,116.53,0,529280.0446543538,181023.7403643604,0.0
17,2,0,2,1,29.43,29.43,112.61,1,529283.9591717446,181026.0614567432,0.1111111111111111
18,2,0,2,1,26.94,26.94,108.83,1,529287.7813369951,181028.3802028625,0.1111111111111111
19,1,0,1,1,25.42,25.42,105.57,1,529291.1398732383,181030.76120738813,0.05555555555555555
20,1,0,1,1,25.79,25.79,103.48,1,529293.461862699,181033.93039773728,0.05555555555555555
21,0,0,0,1,48.88,48.88,65.82,0,529338.4783542244,181056.0364976903,0.0
22,0,0,0,1,46.77,46.77,61.82,0,529340.7850941448,181051.7263453392,0.0
23,1,0,1,1,58.18,44.46,124.83,1,529271.7607787041,181027.73172548928,0.05555555555555555
24,0,0,0,1,54.64,40.64,127.8,0,529268.9283331692,181031.6022871588,0.0
25,0,0,0,1,51.64,42.51,129.96,0,529266.9804881453,181034.96386425363,0.0
26,0,0,0,1,37.3,37.3,133.37,0,529264.018025314,181039.86306592895,0.0
27,0,0,0,1,32.94,32.94,136.37,0,529261.442583664,181043.4929420211,0.0
28,1,0,1,1,28.75,28.75,139.07,1,529259.3030465321,181047.4181664789,0.05555555555555555
29,0,0,0,1,24.74,24.74,142.15,0,529256.7384496109,181050.6219302344,0.0
30,6,0,6,1,19.83,19.83,145.93,1,529253.7054424922,181054.80869255087,0.3333333333333333
31,0,0,0,1,15.77,15.77,149.17,0,529251.2150278767,181058.58286593037,0.0
32,0,0,0,1,12.43,12.43,152.1,0,529249.082729183,181062.2240181096,0.0
33,0,0,0,1,9.88,9.88,154.72,0,529246.9829445004,181064.58682714903,0.0
34,0,0,0,1,9.99,9.99,170.85,0,529233.1524292668,181074.8948614692,0.0
35,0,0,0,1,11.83,11.83,167.33,0,529237.6958993884,181077.56874345447,0.0
36,0,0,0,1,14.86,14.86,163.23,0,529242.7005493981,181079.54370771648,0.0
37,0,0,0,1,18.61,18.61,159.79,0,529247.0848230808,181081.50289940505,0.0
38,0,0,0,1,23.95,23.95,155.58,0,529252.6067634983,181084.05955010848,0.0
39,0,0,0,1,18.74,18.74,151.49,0,529257.7108643547,181085.6106687257,0.0
40,0,0,0,1,13.19,13.19,147.17,0,529263.4208828902,181087.74572492173,0.0
41,0,0,0,1,8.95,8.95,143.16,0,529269.96655975,181091.89186600535,0.0
42,1,0,1,1,34.02,34.02,116.11,1,529283.7450338227,181052.49519058783,0.05555555555555555
43,2,0,2,1,37.76,37.76,113.23,1,529285.9335368793,181049.17860803264,0.1111111111111111
44,0,0,0,1,42.87,42.87,109.92,0,529288.381021426,181044.54379955376,0.0
45,0,0,0,1,33.47,33.47,107.41,0,529290.4132084824,181041.46411751772,0.0
46,2,0,2,1,17.61,17.61,103.34,1,529293.8367597392,181013.75004184863,0.1111111111111111
47,0,0,0,1,12.33,12.33,97.73,0,529299.1607676313,181017.05953830216,0.0
48,2,0,2,1,10.93,10.93,95.19,1,529302.8052570344,181008.588061844,0.1111111111111111
49,0,0,0,1,12.85,12.85,93.69,0,529305.2500220948,181004.07466416544,0.0
50,0,0,0,1,16.21,16.21,92.15,0,529308.0240760008,180999.51705272688,0.0
51,2,0,2,1,20.16,20.16,90.75,1,529310.8570375943,180995.2239070023,0.1111111111111111
52,5,0,5,1,26.48,26.48,91.13,1,529312.8948404226,180988.9439608284,0.2777777777777778
53,3,0,3,1,20.49,20.49,90.35,1,529316.1679606001,180983.83256064172,0.16666666666666666
54,0,0,0,1,23.07,23.07,90.53,0,529323.8580000873,180971.12023664004,0.0
55,1,0,1,1,25.69,25.69,91.6,1,529325.5285966779,180967.22738076796,0.05555555555555555
56,0,0,0,1,29.24,29.24,92.65,0,529328.3029480567,180962.41812479496,0.0
57,1,0,1,1,33.95,33.95,95.68,1,529328.9218387355,180957.39660403476,0.05555555555555555
58,1,0,1,1,43.16,31.66,97.51,1,529337.6236247377,180947.3860946148,0.05555555555555555
59,2,0,2,1,34.54,37.33,39.85,1,529370.5972220169,180994.8201132037,0.1111111111111111
60,1,1,2,1,29.47,29.47,45.17,1,529365.7574481982,180992.0208638,0.1111111111111111
61,0,0,0,1,24.46,24.46,49.75,0,529360.7874781506,180990.4776230992,0.0
62,3,0,3,1,21.06,21.06,54.63,1,529357.1375926425,180987.23642565164,0.16666666666666666
63,2,0,2,1,15.96,15.96,59.96,1,529351.4845195116,180985.5183925008,0.1111111111111111
64,3,0,3,1,12.18,12.18,64.32,1,529346.8010031471,180984.29728622056,0.16666666666666666
65,1,0,1,1,10.49,10.49,70.41,1,529341.3762670797,180981.32575838847,0.05555555555555555
66,3,0,3,1,12.95,12.95,76.36,1,529336.7568004158,180977.5876564897,0.16666666666666666
67,0,0,0,1,19.7,19.7,77.22,0,529341.0395509113,180971.40006248752,0.0
68,2,0,2,1,24.29,24.29,78.76999999999998,1,529343.1107980949,180967.20257897844,0.1111111111111111
69,3,0,3,1,56.31,56.31,58.65,1,529341.9749255425,181046.54007841527,0.16666666666666666
70,1,0,1,1,50.89,50.89,53.99,1,529344.8719952186,181040.68521804016,0.05555555555555555
71,0,0,0,1,46.14,46.14,50.0,0,529347.5998827694,181035.26110421369,0.0
72,0,0,0,1,42.52,42.52,45.63,0,529351.2288244299,181030.34824052657,0.0
73,1,0,1,1,37.58,37.58,42.81,1,529353.7563033353,181023.8203201338,0.05555555555555555
74,0,0,0,1,35.93,35.93,36.75,0,529360.7113228079,181016.91678342732,0.0
75,0,0,0,1,11.56,11.56,72.87999999999998,0,529328.4893535421,180999.00568303137,0.0
76,0,0,0,1,11.79,11.79,67.29,0,529333.3659335286,181001.93759338648,0.0
77,2,0,2,1,15.2,15.2,61.49,1,529338.2238788576,181005.60150669207,0.1111111111111111
78,0,0,0,1,17.61,17.61,56.58,0,529342.9916710708,181006.8215561528,0.0
79,1,0,1,1,25.2,25.2,48.23,1,529350.2606913692,181011.52347528373,0.05555555555555555
80,1,0,1,1,31.37,31.37,41.46,1,529356.428227444,181014.61034530573,0.05555555555555555
81,0,0,0,1,25.79,25.79,90.7,0,529307.2396481977,181040.82627467855,0.0
82,4,0,4,1,19.72,19.72,87.15,1,529309.9768073175,181035.0361421664,0.2222222222222222
83,0,0,0,1,14.92,14.92,83.95,0,529312.7652606092,181030.22394563275,0.0
84,3,0,3,1,11.07,11.07,80.54999999999998,1,529316.0104539724,181025.42337239537,0.16666666666666666
85,2,0,2,1,8.32,8.32,78.58,1,529318.1231277136,181020.22774688728,0.1111111111111111
86,2,0,2,1,8.11,8.11,77.72,1,529319.4714744088,181015.1347516521,0.1111111111111111
87,1,0,1,1,12.39,12.39,75.48999999999998,1,529322.570646446,181010.08630901243,0.05555555555555555
88,4,0,4,1,16.48,16.48,74.86,1,529324.369527497,181005.2489368489,0.2222222222222222
89,0,0,0,1,12.47,12.47,74.29,0,529327.046122918,180998.84687762664,0.0
90,4,0,4,1,39.89,39.89,114.3,1,529283.6392529754,181007.38668435215,0.2222222222222222
91,3,0,3,1,23.43,23.43,109.06,1,529288.5189523322,181010.19655168767,0.16666666666666666
92,0,0,0,0,283.23,51.72,442.99,0,528996.1404633644,181214.41417371703,0.0
93,0,0,0,0,277.55,46.51,437.45,0,529000.4882963112,181210.63054046733,0.0
94,0,0,0,0,266.86,34.83,427.4,0,529006.9188601099,181200.57203140753,0.0
95,0,0,0,0,270.7,41.83,430.53,0,529006.8347974954,181207.8711488372,0.0
96,0,0,0,0,262.7,28.74,423.73,0,529008.2851791504,181194.60346582928,0.0
97,0,0,0,0,257.43,20.3,419.15,0,529009.6161934191,181186.03800378583,0.0
98,0,0,0,0,252.48,13.22,414.68,0,529011.6142275281,181179.111975784,0.0
99,0,0,0,0,248.26,6.96,410.91,0,529013.0011381556,181172.3326838276,0.0
100,0,0,0,0,255.88,14.28,418.61,0,529005.5582003132,181174.41523569063,0.0
101,0,0,0,0,242.24,16.59,406.34,0,529008.9593871454,181146.87863098757,0.0
102,0,0,0,0,233.48,10.32,397.36,0,529019.0685049553,181148.9861585772,0.0
103,0,0,0,0,229.82,18.21,393.99,0,529020.0783039861,181141.052979442,0.0
104,0,0,0,0,211.58,19.02,376.07,0,529031.0589601945,181113.38336771604,0.0
105,0,0,0,0,208.89,15.17,373.27,0,529032.3821391572,181106.75376843748,0.0
106,0,0,0,0,203.93,11.51,368.14,0,529036.1383461363,181099.8157682937,0.0
107,0,0,0,0,188.67,27.23,351.5,0,529048.8149773611,181076.04112162287,0.0
108,0,0,0,0,185.17,15.55,347.1,0,529052.0329327225,181066.8834295521,0.0
109,0,0,0,0,181.41,11.57,343.08,0,529055.7993798708,181064.5042341193,0.0
110,0,0,0,0,179.01,9.98,340.13,0,529058.2786501658,181060.11248019492,0.0
111,0,0,0,0,170.82,22.89,328.88,0,529068.1222052388,181041.38868180005,0.0
112,0,0,0,0,167.54,25.48,325.12,0,529071.7816114093,181039.17176816647,0.0
113,0,0,0,0,166.14,30.73,322.66,0,529074.0677106613,181034.28014669148,0.0
114,0,0,0,0,164.23,36.85,319.42,0,529077.1936024416,181028.7498977204,0.0
115,0,0,0,0,162.54,30.41,316.28,0,529080.3195006961,181023.219650608,0.0
116,0,0,0,0,161.63,24.69,313.75,0,529082.9351938708,181017.51145676005,0.0
117,0,0,0,0,160.83,18.54,310.93,0,529085.9833528235,181010.98930147273,0.0
118,0,0,0,0,158.87,13.22,307.35,0,529089.8043025921,181006.4666505918,0.0
119,0,0,0,0,158.84,9.87,304.81,0,529092.8650409362,180999.4498500814,0.0
120,0,0,0,0,163.15,13.46,294.84,0,529107.5958042761,180966.6611690588,0.0
121,0,0,0,0,164.54,20.71,289.46,0,529115.827617992,180954.6610752995,0.0
122,0,0,0,0,168.87,33.78,286.43,0,529122.5371933512,180941.79737085628,0.0
123,0,0,0,0,169.96,39.82,283.88,0,529126.893578676,180936.46340114917,0.0
124,0,0,0,0,172.44,47.53,282.85,0,529129.9208899153,180930.7656865199,0.0
125,0,0,0,0,174.36,53.52,280.67,0,529134.3927421896,180924.9396879541,0.0
126,0,0,0,0,178.21,61.97,279.24,0,529139.1248335436,180916.9754421677,0.0
127,0,0,0,0,181.52,67.25,279.61,0,529140.9008252566,180911.90589568712,0.0
128,0,0,0,0,184.58,44.6,278.08,0,529145.4881573094,180905.58787171936,0.0
129,0,0,0,0,188.06,38.82,277.99,0,529148.3055513665,180900.04982204977,0.0
130,0,0,0,0,191.82,33.45,278.31,0,529150.814303963,180894.50393057367,0.0
131,0,0,0,0,242.96,34.56,400.07,0,529042.205078583,181210.669641002,0.0
132,0,0,0,0,240.17,31.06,397.69,0,529043.0173224601,181207.06049859297,0.0
133,0,0,0,0,237.03,28.1,394.85,0,529044.5413262773,181203.79940918687,0.0
134,0,0,0,0,234.88,22.67,393.46,0,529043.4407941104,181198.49180071673,0.0
135,0,0,0,0,230.16,18.65,389.17,0,529045.8296805614,181193.60277936092,0.0
136,0,0,0,0,220.63,9.58,381.17,0,529048.0457268179,181179.3049713996,0.0
137,0,0,0,0,216.44,11.02,377.47,0,529049.7270498123,181173.9030153832,0.0
138,0,0,0,0,212.59,17.71,374.13,0,529051.0010557967,181168.32572676864,0.0
139,0,0,0,0,208.76,13.14,370.81,0,529052.1805615214,181162.4160597212,0.0
140,0,0,0,0,204.22,11.22,366.73,0,529054.1872733646,181156.362410266,0.0
141,0,0,0,0,189.06,8.82,353.0,0,529060.5429985423,181133.0953155732,0.0
142,0,0,0,0,184.3,15.97,348.52,0,529062.9905525583,181125.89793850723,0.0
143,0,0,0,0,180.24,21.31,344.59,0,529065.5894307325,181120.84926846367,0.0
144,0,0,0,0,176.76,26.68,341.21,0,529067.6739242474,181115.78753556727,0.0
145,0,0,0,0,171.87,33.5,336.38,0,529071.0222715513,181109.60297631327,0.0
146,0,0,0,0,167.93,29.86,332.43,0,529073.7324187845,181104.22715698535,0.0
147,0,0,0,0,163.83,24.25,328.25,0,529076.7512061872,181098.85917804367,0.0
148,0,0,0,0,159.66,17.99,323.9,0,529079.7951273511,181092.50190229027,0.0
149,0,0,0,0,156.59,13.38,320.6,0,529082.0895899627,181087.28051813252,0.0
150,0,0,0,0,154.04,10.72,317.81,0,529084.1489832355,181083.20809029488,0.0
151,0,0,0,0,150.72,9.0,314.1,0,529086.9620355122,181077.83489092495,0.0
152,0,0,0,0,141.04,10.22,302.34,0,529096.2703310478,181059.92249497084,0.0
153,0,0,0,0,137.81,15.88,298.01,0,529099.9357607588,181053.416028122,0.0
154,0,0,0,0,134.75,22.96,293.57,0,529103.8153353629,181046.58502474148,0.0
155,0,0,0,0,132.01,31.78,288.86,0,529108.0370686217,181038.44280049167,0.0
156,0,0,0,0,129.37,31.35,284.35,0,529112.3198051032,181031.95202400564,0.0
157,0,0,0,0,128.45,26.13,281.89,0,529114.7088266049,181027.06303390017,0.0
158,0,0,0,0,126.72,18.61,277.52,0,529119.115405931,181019.750461372,0.0
159,0,0,0,0,126.49,12.81,274.78,0,529122.0565418184,181013.39059622967,0.0
160,0,0,0,0,126.33,9.37,272.07,0,529125.0879968179,181007.5279958544,0.0
161,0,0,0,0,125.99,17.54,265.73,0,529132.4925608524,180995.67190036568,0.0
162,0,0,0,0,126.39,13.89,263.69,0,529135.07480895,180991.28279686475,0.0
163,0,0,0,0,127.04,11.19,261.05,0,529138.509433616,180985.76042693536,0.0
164,0,0,0,0,128.33,12.53,258.04,0,529142.6977488816,180978.9372949088,0.0
165,0,0,0,0,130.09,15.15,256.9,0,529144.7739893488,180974.20535861928,0.0
166,0,0,0,0,131.51,19.75,254.97,0,529147.7803514933,180969.3320695941,0.0
