sigma,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent,fx1_true,fy1_true,fx1_est,fy1_est,localization_error
5,gaussian,0,-351.5501718,7.072805773,0,0,14.41501443,53.19187829,TRUE,529396.5394,181025.063,529404.536,181030.387,9.606799028
5,exponential,1,-353.9388834,7.254444946,2.893431227,-2.388711597,14.79616714,54.61895607,TRUE,529396.5394,181025.063,529403.352,181029.293,8.019003601
5,power_law,2,-356.1962937,7.372174929,3.785486038,-4.646121894,15.04122341,55.53424526,TRUE,529396.5394,181025.063,529403.068,181028.775,7.510097334
10,gaussian,0,-347.9029804,7.43509884,0,0,15.1616587,56.01218957,TRUE,529396.5394,181025.063,529415.321,181038.114,22.87087885
10,exponential,1,-351.6048335,7.848968813,2.906842875,-3.701853129,15.95081505,58.97062715,TRUE,529396.5394,181025.063,529413.259,181034.737,19.31660685
10,power_law,2,-354.4053748,8.216843259,3.808717964,-6.502394401,16.66887671,61.66422159,TRUE,529396.5394,181025.063,529412.675,181033.549,18.23101158
25,gaussian,0,-346.5857775,7.994557625,0,0,16.23758571,60.06462437,TRUE,529396.5394,181025.063,529426.137,181046.576,36.58998626
25,exponential,1,-350.8289441,8.410343559,2.908961696,-4.243166606,17.11583716,63.35659476,TRUE,529396.5394,181025.063,529423.37,181039.657,30.54285403
25,power_law,2,-353.6435521,8.705697873,3.779006675,-7.057774617,17.70742735,65.57421784,TRUE,529396.5394,181025.063,529422.716,181037.711,29.07208784
50,gaussian,0,-346.6429669,8.144346962,0,0,16.53653735,61.18931,TRUE,529396.5394,181025.063,529428.977,181048.909,40.25952819
50,exponential,1,-350.9195974,8.584057272,2.920710007,-4.27663048,17.46859663,64.68365457,TRUE,529396.5394,181025.063,529425.911,181040.703,33.27612487
50,power_law,2,-353.7299739,8.88496145,3.790624462,-7.087006926,18.06852569,66.93267784,TRUE,529396.5394,181025.063,529425.239,181038.641,31.74947439
100,gaussian,0,-346.6735356,8.136428452,0,0,16.5272905,61.15446363,TRUE,529396.5394,181025.063,529429.916,181049.513,41.37390394
100,exponential,1,-350.9692424,8.621898165,2.927525068,-4.295706815,17.52584638,64.89896377,TRUE,529396.5394,181025.063,529426.695,181041.007,34.11116162
100,power_law,2,-353.8179089,8.963008504,3.788634741,-7.144373332,18.10636093,67.07499638,TRUE,529396.5394,181025.063,529426.005,181038.842,32.52817893
250,gaussian,0,-346.7117205,8.157618754,0,0,16.5734412,61.32803344,TRUE,529396.5394,181025.063,529430.072,181049.831,41.68799691
250,exponential,1,-351.009872,8.652517665,2.940955445,-4.298151586,17.52565107,64.89823731,TRUE,529396.5394,181025.063,529426.955,181041.154,34.40972253
250,power_law,2,-353.8022332,8.945132854,3.779053887,-7.090512755,18.20124911,67.43186489,TRUE,529396.5394,181025.063,529426.183,181038.958,32.73857123
