,sigma,Model,fx1_true,fy1_true,fx1_est,fy1_est,localization_error,distance_to_nearest_alternative,nearest_alternative,discrimination_ratio
0,5,exponential,529396.5394,181025.063,529403.352,181029.293,8.019003601405867,150.99440768785135,Dean St Pump,18.82957225027053
1,5,gaussian,529396.5394,181025.063,529404.536,181030.387,9.606799027730682,152.09808172689063,Dean St Pump,15.832337211161503
2,5,power_law,529396.5394,181025.063,529403.068,181028.775,7.510097333556543,150.4754499877032,Dean St Pump,20.036418078811078
3,10,exponential,529396.5394,181025.063,529413.259,181034.737,19.316606848989096,156.79294451601402,Dean St Pump,8.11700241878762
4,10,gaussian,529396.5394,181025.063,529415.321,181038.114,22.870878854117247,160.31158484964598,Dean St Pump,7.009419527434839
5,10,power_law,529396.5394,181025.063,529412.675,181033.549,18.231011583598296,155.5691249123848,Dean St Pump,8.533214089576031
6,25,exponential,529396.5394,181025.063,529423.37,181039.657,30.542854031010705,162.67553703310034,Dean St Pump,5.326140670021634
7,25,gaussian,529396.5394,181025.063,529426.137,181046.576,36.5899862634442,169.90028000272937,Dean St Pump,4.643354571916604
8,25,power_law,529396.5394,181025.063,529422.716,181037.711,29.072087843165246,160.66271246623916,Dean St Pump,5.526356185113497
9,50,exponential,529396.5394,181025.063,529425.911,181040.703,33.27612487291435,164.05329905249408,Dean St Pump,4.93006020619991
10,50,gaussian,529396.5394,181025.063,529428.977,181048.909,40.259528185976855,172.62071605114178,Dean St Pump,4.287698436348512
11,50,power_law,529396.5394,181025.063,529425.239,181038.641,31.749474391814278,161.9173949951157,Dean St Pump,5.0998448981209465
12,100,exponential,529396.5394,181025.063,529426.695,181041.007,34.11116162426819,164.46679869811894,Dean St Pump,4.821495102093209
13,100,gaussian,529396.5394,181025.063,529429.916,181049.513,41.37390394388559,173.36263157037894,Dean St Pump,4.190144391631653
14,100,power_law,529396.5394,181025.063,529426.005,181038.842,32.528178927816136,162.2247107841696,Dean St Pump,4.987205436374577
15,250,exponential,529396.5394,181025.063,529426.955,181041.154,34.40972252659701,164.65032748527142,Dean St Pump,4.784994338678694
16,250,gaussian,529396.5394,181025.063,529430.072,181049.831,41.68799691473423,173.70120996991028,Dean St Pump,4.166695999454875
17,250,power_law,529396.5394,181025.063,529426.183,181038.958,32.73857122657737,162.36515713972736,Dean St Pump,4.959445420388973
