,index,Row,Treat,Repeat,Plant,Gap,Leaf#1,Leaf#2,Leaf#3,Leaf#4,Leaf#5,Notes,Distance,Severity_Count
0,2,1,1,4,focus,0,100,5,10,20,75,,0,42
1,3,1,1,4,1,6,7.5,0,5,10,10,,6,6.5
2,4,1,1,4,2,10,2,15,5,0,0,,16,4.4
3,5,1,1,4,3,6,0,1,0,0,10,,22,2.2
4,6,1,1,4,4,6,0,0,1,0,0,,28,0.2
5,7,1,1,4,5,6,0,0,0,0,1,,34,0.2
6,8,1,1,4,6,6,0,1,0,0,0,,40,0.2
7,9,1,1,4,7,6,0,0,0,0,0,,46,0
8,10,1,1,4,8,6,0,1,0,0,0,,52,0.2
9,11,1,1,4,9,6,0,0,0,0,0,,58,0
10,12,1,1,4,10,6,0,,0,0,0,,64,0
11,13,1,1,4,11,6,0,0,0,0,0,,70,0
12,14,1,1,4,12,6,0,0,0,0,0,,76,0
13,15,1,1,4,13,6,0,0,0,0,0,,82,0
14,16,1,1,4,14,4,0,0,0,0,0,,86,0
15,2,2,2,4,0,0,0,0,0,0,0,,0,0
16,3,2,2,4,1,6,0,0,0,0,0,,6,0
17,4,2,2,4,2,4,0,0,0,0,0,,10,0
18,5,2,2,4,3,4,0,0,0,0,0,,14,0
19,6,2,2,4,4,6,0,0,0,,0,,20,0
20,7,2,2,4,5,6,0,0,0,0,0,,26,0
21,8,2,2,4,6,6,1,2,0,1,1,,32,1
22,9,2,2,4,7,6,0,0,0,1,0,,38,0.2
23,10,2,2,4,8,6,0,0,0,0,1,,44,0.2
24,11,2,2,4,9,6,1,0,0,0,0,,50,0.2
25,12,2,2,4,10,6,0,0,0,0,0,,56,0
26,13,2,2,4,11,6,0,0,0,0,0,,62,0
27,14,2,2,4,12,6,0,0,0,0,0,,68,0
28,15,2,2,4,13,6,0,0,0,0,0,,74,0
29,16,2,2,4,14,6,0,0,0,0,0,,80,0
30,2,3,3,4,focus,0,90,100,80,50,20,,0,68
31,3,3,3,4,1,4,50,40,20,40,60,,4,42
32,4,3,3,4,2,6,5,0,10,5,2,,10,4.4
33,5,3,3,4,3,6,1,1,0,2,,,16,1
34,6,3,3,4,4,6,2,1,1,2,0,,22,1.2
35,7,3,3,4,5,6,3,0,2,1,,,28,1.5
36,8,3,3,4,6,6,0,1,0,2,3,,34,1.2
37,9,3,3,4,7,8,2,2,2,1,3,,42,2
38,10,3,3,4,8,6,3,3,1,1,5,,48,2.6
39,11,3,3,4,9,6,5,5,1,3,5,,54,3.8
40,12,3,3,4,10,6,2,0,0,1,3,,60,1.2
41,13,3,3,4,11,6,5,10,5,3,5,,66,5.6
42,14,3,3,4,12,6,15,10,10,20,15,,72,14
43,15,3,3,4,13,6,5,40,15,10,60,,78,26
44,23,3,3,4,focus,6,60,5,100,20,5,,84,38
45,2,4,4,4,0,0,2,5,3,5,5,,0,4
46,3,4,4,4,1,4,2,10,2,3,3,,4,4
47,4,4,4,4,2,6,2,5,2,10,5,,10,4.8
48,5,4,4,4,3,6,8,2,5,0,0,,16,3
