,Row,Treat,Repeat,Plant,Gap,Leaf#1,Leaf#2,Leaf#3,Leaf#4,Leaf#5,Notes,Y,Severity_Count,Distance,InterrowDistance
0,1,1,4,focus,0,100,5,10,20,75,,0,42,0,0
1,1,1,4,1,6,7.5,0,5,10,10,,6,6.5,1.8288,0
2,1,1,4,2,10,2,15,5,0,0,,16,4.4,4.8768,0
3,1,1,4,3,6,0,1,0,0,10,,22,2.2,6.7056,0
4,1,1,4,4,6,0,0,1,0,0,,28,0.2,8.5344,0
5,1,1,4,5,6,0,0,0,0,1,,34,0.2,10.3632,0
6,1,1,4,6,6,0,1,0,0,0,,40,0.2,12.192,0
7,1,1,4,7,6,0,0,0,0,0,,46,0,14.0208,0
8,1,1,4,8,6,0,1,0,0,0,,52,0.2,15.8496,0
9,1,1,4,9,6,0,0,0,0,0,,58,0,17.6784,0
10,1,1,4,10,6,0,,0,0,0,,64,0,19.5072,0
11,1,1,4,11,6,0,0,0,0,0,,70,0,21.336,0
12,1,1,4,12,6,0,0,0,0,0,,76,0,23.1648,0
13,1,1,4,13,6,0,0,0,0,0,,82,0,24.9936,0
14,1,1,4,14,4,0,0,0,0,0,,86,0,26.2128,0
60,5,5,4,focus,0,100,60,100,85,50,,0,79,0,0
61,5,5,4,1,6,50,60,80,70,80,,6,68,1.8288,0
62,5,5,4,2,6,70,15,50,70,80,,12,57,3.6576,0
63,5,5,4,3,6,50,95,80,80,80,,18,77,5.4864,0
64,5,5,4,4,6,60,70,50,70,60,,24,62,7.3152,0
65,5,5,4,5,6,20,50,70,60,30,,30,46,9.144,0
66,5,5,4,6,6,50,100,,50,,,36,66.66666667,10.9728,0
67,5,5,4,7,6,30,20,30,50,50,,42,36,12.8016,0
68,5,5,4,8,6,20,20,60,70,10,,48,36,14.6304,0
69,5,5,4,9,6,10,20,20,50,30,,54,26,16.4592,0
70,5,5,4,10,6,60,30,10,50,50,,60,40,18.288,0
71,5,5,4,11,6,50,30,40,25,30,,66,35,20.1168,0
72,5,5,4,12,6,30,30,10,5,10,,72,17,21.9456,0
73,5,5,4,13,6,5,20,5,10,20,,78,12,23.7744,0
74,5,5,4,14,6,5,20,10,25,,,84,15,25.6032,0
75,5,5,4,15,2,0,5,15,15,3,,86,7.6,26.2128,0
76,6,1,3,focus,0,80,40,10,5,95,,0,46,0,0
77,6,1,3,1,6,10,3,5,5,5,,6,5.6,1.8288,0
78,6,1,3,2,6,5,0,5,,5,,12,3.75,3.6576,0
79,6,1,3,3,6,2,3,2,3,1,,18,2.2,5.4864,0
80,6,1,3,4,6,0,2,3,2,2,,24,1.8,7.3152,0
81,6,1,3,5,6,2,1,3,3,5,,30,2.8,9.144,0
82,6,1,3,6,4,1,4,0,0,1,,34,1.2,10.3632,0
83,6,1,3,7,6,0,1,1,0,1,,40,0.6,12.192,0
84,6,1,3,8,8,0,3,2,1,1,,48,1.4,14.6304,0
85,6,1,3,9,6,3,2,3,0,0,,54,1.6,16.4592,0
86,6,1,3,10,6,0,1,5,2,3,,60,2.2,18.288,0
87,6,1,3,11,6,0,3,0,0,1,,66,0.8,20.1168,0
88,6,1,3,12,6,1,2,1,3,2,,72,1.8,21.9456,0
89,6,1,3,13,4,0,0,2,4,2,,76,1.6,23.1648,0
161,12,2,2,focus,0,5,100,10,5,90,,0,42,0,0
162,12,2,2,1,6,6,30,1,0,2,,6,7.8,1.8288,0
163,12,2,2,2,6,3,2,5,5,6,,12,4.2,3.6576,0
164,12,2,2,3,6,1,3,5,1,1,,18,2.2,5.4864,0
165,12,2,2,4,6,0,3,4,0,2,,24,1.8,7.3152,0
166,12,2,2,5,6,0,1,5,0,0,,30,1.2,9.144,0
167,12,2,2,6,6,0,1,1,0,0,,36,0.4,10.9728,0
168,12,2,2,7,6,2,0,4,3,0,,42,1.8,12.8016,0
169,12,2,2,8,8,0,1,0,0,0,,50,0.2,15.24,0
170,12,2,2,9,6,1,0,1,5,2,,56,1.8,17.0688,0
171,12,2,2,10,6,2,1,0,2,0,,62,1,18.8976,0
172,12,2,2,11,6,,2,0,0,,,68,0.666666667,20.7264,0
173,12,2,2,12,6,,,,,,Dead plant,74,,22.5552,0
174,12,2,2,13,6,5,1,0,2,1,,80,1.8,24.384,0
206,15,5,2,focus,0,80,30,100,100,60,,0,74,0,0
207,15,5,2,1,4,70,50,30,20,30,,4,40,1.2192,0
208,15,5,2,2,6,50,25,20,25,20,,10,28,3.048,0
209,15,5,2,3,8,5,20,10,20,20,,18,15,5.4864,0
210,15,5,2,4,6,10,20,5,10,20,,24,13,7.3152,0
211,15,5,2,5,6,5,25,20,25,20,,30,19,9.144,0
212,15,5,2,6,6,10,10,8,5,10,,36,8.6,10.9728,0
213,15,5,2,7,6,10,10,10,10,5,,42,9,12.8016,0
214,15,5,2,8,6,15,30,5,15,5,,48,14,14.6304,0
215,15,5,2,9,6,10,5,10,10,10,,54,9,16.4592,0
216,15,5,2,10,6,5,8,20,10,5,,60,9.6,18.288,0
217,15,5,2,11,6,10,2,10,5,5,,66,6.4,20.1168,0
218,15,5,2,12,6,20,8,10,5,6,,72,9.8,21.9456,0
219,15,5,2,13,8,5,5,5,5,10,,80,6,24.384,0
220,16,1,1,focus,0,20,25,90,95,80,,0,62,0,0
221,16,1,1,1,6,20,15,10,10,20,,6,15,1.8288,0
222,16,1,1,2,6,15,8,5,3,20,,12,10.2,3.6576,0
223,16,1,1,3,6,5,0,5,5,2,,18,3.4,5.4864,0
224,16,1,1,4,6,10,6,4,5,5,,24,6,7.3152,0
225,16,1,1,5,6,3,3,4,3,1,,30,2.8,9.144,0
226,16,1,1,6,6,2,4,5,6,2,,36,3.8,10.9728,0
227,16,1,1,7,6,5,4,0,4,1,,42,2.8,12.8016,0
228,16,1,1,8,6,3,4,3,5,5,,48,4,14.6304,0
229,16,1,1,9,6,2,1,2,5,1,,54,2.2,16.4592,0
230,16,1,1,10,8,2,0,4,1,2,,62,1.8,18.8976,0
231,16,1,1,11,6,2,0,1,3,3,,68,1.8,20.7264,0
232,16,1,1,12,6,4,4,3,1,5,,74,3.4,22.5552,0
233,16,1,1,13,6,5,2,3,5,5,,80,4,24.384,0
234,16,1,1,14,2,3,0,0,0,0,,82,0.6,24.9936,0
249,18,3,1,focus,0,2,20,100,50,90,,0,52.4,0,0
250,18,3,1,1,6,5,5,2,5,5,,6,4.4,1.8288,0
251,18,3,1,2,6,2,3,5,3,3,,12,3.2,3.6576,0
252,18,3,1,3,6,0,2,0,2,3,,18,1.4,5.4864,0
253,18,3,1,4,8,0,0,3,0,2,,26,1,7.9248,0
254,18,3,1,5,6,0,0,0,0,0,,32,0,9.7536,0
255,18,3,1,6,6,0,3,0,1,0,,38,0.8,11.5824,0
256,18,3,1,7,6,1,2,4,1,0,,44,1.6,13.4112,0
257,18,3,1,8,6,3,3,3,1,0,,50,2,15.24,0
258,18,3,1,9,6,3,2,1,0,0,,56,1.2,17.0688,0
259,18,3,1,10,6,1,0,5,1,0,,62,1.4,18.8976,0
260,18,3,1,11,6,1,2,0,0,1,,68,0.8,20.7264,0
261,18,3,1,12,6,2,3,3,0,0,,74,1.6,22.5552,0
262,18,3,1,13,6,5,0,3,0,5,,80,2.6,24.384,0
