,Row,Treat,Repeat,Plant,Gap,Leaf#1,Leaf#2,Leaf#3,Leaf#4,Leaf#5,Notes,Y,Severity_Count,Distance,InterrowDistance
30,3,3,4,focus,0,90,100,80,50,20,,0,68,0,0
31,3,3,4,1,4,50,40,20,40,60,,4,42,1.2192,0
32,3,3,4,2,6,5,0,10,5,2,,10,4.4,3.048,0
33,3,3,4,3,6,1,1,0,2,,,16,1,4.8768,0
34,3,3,4,4,6,2,1,1,2,0,,22,1.2,6.7056,0
35,3,3,4,5,6,3,0,2,1,,,28,1.5,8.5344,0
36,3,3,4,6,6,0,1,0,2,3,,34,1.2,10.3632,0
37,3,3,4,7,8,2,2,2,1,3,,42,2,12.8016,0
38,3,3,4,8,6,3,3,1,1,5,,48,2.6,14.6304,0
39,3,3,4,9,6,5,5,1,3,5,,54,3.8,16.4592,0
40,3,3,4,10,6,2,0,0,1,3,,60,1.2,18.288,0
41,3,3,4,11,6,5,10,5,3,5,,66,5.6,20.1168,0
42,3,3,4,12,6,15,10,10,20,15,,72,14,21.9456,0
43,3,3,4,13,6,5,40,15,10,60,,78,26,23.7744,0
44,3,3,4,focus,6,60,5,100,20,5,,84,38,25.6032,0
90,7,2,3,focus,0,10,10,70,10,5,,0,21,0,0
91,7,2,3,1,6,3,0,2,4,1,,6,2,1.8288,0
92,7,2,3,2,6,2,1,1,2,2,,12,1.6,3.6576,0
93,7,2,3,3,6,2,1,2,3,0,,18,1.6,5.4864,0
94,7,2,3,4,6,2,1,0,2,4,,24,1.8,7.3152,0
95,7,2,3,5,6,2,4,1,5,5,,30,3.4,9.144,0
96,7,2,3,6,6,0,0,0,1,1,,36,0.4,10.9728,0
97,7,2,3,7,6,1,1,0,1,0,,42,0.6,12.8016,0
98,7,2,3,8,6,0,0,0,0,0,,48,0,14.6304,0
99,7,2,3,9,6,3,0,3,,1,,54,1.75,16.4592,0
100,7,2,3,10,6,0,,0,0,0,,60,0,18.288,0
101,7,2,3,11,6,5,2,1,4,0,,66,2.4,20.1168,0
102,7,2,3,12,6,5,4,2,1,1,,72,2.6,21.9456,0
103,7,2,3,13,8,10,5,20,5,5,,80,9,24.384,0
104,7,2,3,focus,2,2,10,70,5,100,,82,37.4,24.9936,0
120,9,4,3,focus,0,90,0,20,10,20,,0,28,0,0
121,9,4,3,1,6,40,20,20,30,40,,6,30,1.8288,0
122,9,4,3,2,6,20,10,20,10,10,,12,14,3.6576,0
123,9,4,3,3,6,20,5,30,20,5,,18,16,5.4864,0
124,9,4,3,4,6,1,0,10,15,5,,24,6.2,7.3152,0
125,9,4,3,5,6,5,20,15,20,0,,30,12,9.144,0
126,9,4,3,6,6,20,5,20,15,20,,36,16,10.9728,0
127,9,4,3,7,6,5,10,10,10,20,,42,11,12.8016,0
128,9,4,3,8,6,20,20,5,5,15,,48,13,14.6304,0
129,9,4,3,9,6,10,5,10,18,15,,54,11.6,16.4592,0
130,9,4,3,10,6,20,20,5,5,,,60,12.5,18.288,0
131,9,4,3,11,6,20,5,50,30,20,,66,25,20.1168,0
132,9,4,3,12,6,50,40,20,40,10,,72,32,21.9456,0
133,9,4,3,focus,6,5,80,2,20,5,,78,22.4,23.7744,0
134,10,5,3,focus,0,30,30,100,25,50,,0,47,0,0
135,10,5,3,1,6,10,10,10,30,10,,6,14,1.8288,0
136,10,5,3,2,8,30,10,5,10,10,,14,13,4.2672,0
137,10,5,3,3,8,5,20,5,20,10,,22,12,6.7056,0
138,10,5,3,4,6,25,15,10,40,25,,28,23,8.5344,0
139,10,5,3,5,6,20,30,40,20,20,,34,26,10.3632,0
140,10,5,3,6,6,10,10,5,6,15,,40,9.2,12.192,0
141,10,5,3,7,6,20,15,10,5,5,,46,11,14.0208,0
142,10,5,3,8,6,10,10,30,10,5,,52,13,15.8496,0
143,10,5,3,9,8,10,5,5,5,5,,60,6,18.288,0
144,10,5,3,10,6,15,30,20,20,10,,66,19,20.1168,0
145,10,5,3,11,8,15,30,15,20,30,,74,22,22.5552,0
146,10,5,3,focus,4,25,5,70,70,35,,78,41,23.7744,0
175,13,3,2,focus,0,5,2,10,100,30,,0,29.4,0,0
176,13,3,2,1,6,4,5,3,3,0,,6,3,1.8288,0
177,13,3,2,2,6,8,2,8,5,3,,12,5.2,3.6576,0
178,13,3,2,3,6,5,2,0,1,2,,18,2,5.4864,0
179,13,3,2,4,6,5,3,3,5,0,,24,3.2,7.3152,0
180,13,3,2,5,6,1,5,2,5,4,,30,3.4,9.144,0
181,13,3,2,6,6,0,5,5,8,4,,36,4.4,10.9728,0
182,13,3,2,7,6,1,4,1,5,5,,42,3.2,12.8016,0
183,13,3,2,8,4,4,0,3,,0,,46,1.75,14.0208,0
184,13,3,2,9,6,3,0,0,2,2,,52,1.4,15.8496,0
185,13,3,2,10,6,3,6,1,5,5,,58,4,17.6784,0
186,13,3,2,11,6,10,5,6,5,8,,64,6.8,19.5072,0
187,13,3,2,12,6,20,10,5,20,,,70,13.75,21.336,0
188,13,3,2,13,6,10,10,12,20,50,,76,20.4,23.1648,0
189,13,3,2,14,6,25,25,50,10,60,,82,34,24.9936,0
190,13,3,2,focus,4,10,80,100,0,100,,86,58,26.2128,0
191,14,4,2,focus,0,15,40,60,100,70,,0,57,0,0
192,14,4,2,1,6,20,5,15,10,15,,6,13,1.8288,0
193,14,4,2,2,6,5,6,2,5,10,,12,5.6,3.6576,0
194,14,4,2,3,6,15,10,10,5,,,18,10,5.4864,0
195,14,4,2,4,6,3,5,5,5,4,,24,4.4,7.3152,0
196,14,4,2,5,6,4,2,1,1,,,30,2,9.144,0
197,14,4,2,6,6,1,1,3,1,3,,36,1.8,10.9728,0
198,14,4,2,7,6,3,3,2,1,0,,42,1.8,12.8016,0
199,14,4,2,8,6,5,5,6,4,0,,48,4,14.6304,0
200,14,4,2,9,6,3,5,4,0,0,,54,2.4,16.4592,0
201,14,4,2,10,6,10,10,15,20,0,,60,11,18.288,0
202,14,4,2,11,6,10,0,10,3,10,,66,6.6,20.1168,0
203,14,4,2,12,6,50,25,30,30,20,,72,31,21.9456,0
204,14,4,2,13,6,30,30,25,20,30,,78,27,23.7744,0
205,14,4,2,focus,4,5,5,5,100,100,,82,43,24.9936,0
235,17,2,1,focus,0,30,100,100,95,80,,0,81,0,0
236,17,2,1,1,6,10,15,25,30,10,,6,18,1.8288,0
237,17,2,1,2,6,10,5,8,5,5,,12,6.6,3.6576,0
238,17,2,1,3,6,2,5,5,2,0,,18,2.8,5.4864,0
239,17,2,1,4,6,3,2,0,2,4,,24,2.2,7.3152,0
240,17,2,1,5,6,3,4,5,2,3,,30,3.4,9.144,0
241,17,2,1,6,6,5,10,4,6,4,,36,5.8,10.9728,0
242,17,2,1,7,6,2,5,5,4,10,,42,5.2,12.8016,0
243,17,2,1,8,8,1,5,6,5,5,,50,4.4,15.24,0
244,17,2,1,9,8,2,6,4,10,5,,58,5.4,17.6784,0
245,17,2,1,10,6,5,3,8,10,4,,64,6,19.5072,0
246,17,2,1,11,6,10,10,5,5,10,,70,8,21.336,0
247,17,2,1,12,6,10,10,30,15,10,,76,15,23.1648,0
248,17,2,1,focus,6,5,60,20,90,0,,82,35,24.9936,0
279,20,5,1,focus,0,70,100,50,70,100,,0,78,0,0
280,20,5,1,1,6,95,60,70,70,65,,6,72,1.8288,0
281,20,5,1,2,6,30,30,25,20,20,,12,25,3.6576,0
282,20,5,1,3,6,15,5,20,25,20,,18,17,5.4864,0
283,20,5,1,4,6,30,15,10,15,10,,24,16,7.3152,0
284,20,5,1,5,6,30,20,5,20,20,,30,19,9.144,0
285,20,5,1,6,6,10,2,8,5,10,,36,7,10.9728,0
286,20,5,1,7,6,20,10,10,5,10,,42,11,12.8016,0
287,20,5,1,8,6,10,5,1,3,3,,48,4.4,14.6304,0
288,20,5,1,9,8,5,3,5,5,5,,56,4.6,17.0688,0
289,20,5,1,10,6,2,4,10,8,2,,62,5.2,18.8976,0
290,20,5,1,11,6,5,5,20,8,10,,68,9.6,20.7264,0
291,20,5,1,12,6,5,4,5,1,5,,74,4,22.5552,0
292,20,5,1,13,6,10,10,15,10,15,,80,12,24.384,0
293,20,5,1,focus,6,50,70,100,100,100,,86,84,26.2128,0
