,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,1374.246924901111,9.473077935045694,10.193576638976992,-64.81510151064708,16.179776778209707,62.6619114486626,False
1,0,gaussian,2,1299.4857815503617,8.62860564978655,14.517445310140435,-139.5762448613964,14.650064289269359,57.00749759148427,False
2,0,power_law,0,1439.062026411758,13.332140397681997,0.0,0.0,23.55917952202381,88.49232179282036,True
3,1,exponential,1,1354.6775436367375,9.574649360316243,12.617936812842332,-80.56991271930065,16.422715486057065,63.40600640165317,False
4,1,gaussian,2,1284.5265371918965,8.776777879048268,16.1103525695575,-150.7209191641416,14.966194806842243,58.02728625525485,False
5,1,power_law,0,1435.2474563560381,13.089285383542574,0.0,0.0,23.16736158951048,87.11867826224406,True
6,2,exponential,1,1427.6248359457384,11.00372269875811,11.667610121615308,-83.38099995535345,19.195475481972583,73.34869635744475,False
7,2,gaussian,2,1358.6737952157173,8.956381042503153,15.566859896037984,-152.33204068537452,15.187057670098927,59.1536530885038,False
8,2,power_law,0,1511.0058359010918,13.307313902588021,0.0,0.0,23.451161586595365,88.47049923866103,True
9,3,exponential,1,1474.9677193342798,9.506951021418445,12.34603692330213,-75.64161059047365,16.040836951803755,62.67456870575385,False
10,3,gaussian,2,1394.3375742596957,8.710618315088823,16.32252191891537,-156.27175566505775,14.62417945561073,57.3822820745062,False
11,3,power_law,0,1550.6093299247534,14.349844213125607,0.0,0.0,25.459974879091938,95.60912648268516,True
12,4,exponential,1,1450.8375061407864,9.72283620393614,11.582842270971637,-71.20584946435201,16.522535417555986,64.22189266986734,False
13,4,gaussian,2,1377.8474202692105,8.788920163456623,16.07948912360762,-144.19593533592797,14.801952370010738,57.91623826250681,False
14,4,power_law,0,1522.0433556051385,13.522257490615402,0.0,0.0,23.872979344185108,89.98278201757968,True
15,5,exponential,1,1482.3162608711937,9.819683973924839,9.250348632780414,-51.01111015308152,16.63217488641974,64.75493682412518,False
16,5,gaussian,2,1413.3570014504985,8.775315901129034,13.80674869362345,-119.97036957377668,14.707981091856194,57.76514418275963,False
17,5,power_law,0,1533.3273710242752,14.678306819171212,0.0,0.0,25.897680064469238,97.03889538796874,True
18,6,exponential,1,1448.9341970735522,9.762016190181384,10.895026369421801,-59.256671474668565,16.599679038630864,64.47926312071921,False
19,6,gaussian,2,1382.6578059187123,9.431256362481008,14.787699898422613,-125.53306262950855,16.07591077218048,62.34402888428979,False
20,6,power_law,0,1508.1908685482208,14.781922040621339,0.0,0.0,26.13708425863061,97.74326474758065,True
21,7,exponential,1,1528.437578877057,9.703519927339812,10.61799610362228,-61.989680747974944,16.31360490490036,63.87933244925658,False
22,7,gaussian,2,1447.9899180090185,8.683266081954116,15.219778067909074,-142.43734161601333,14.461412834057484,57.08220022342494,False
23,7,power_law,0,1590.4272596250319,14.21873501472919,0.0,0.0,24.959692679420524,94.07521545683696,True
24,8,exponential,1,1559.5282946158832,10.38430760576398,10.95098785783573,-69.85105008785422,17.63135377903858,68.58707464079043,False
25,8,gaussian,2,1478.1136237328064,8.703856137236926,15.127766247040602,-151.26572097093094,14.443489977563555,57.16768684113785,False
26,8,power_law,0,1629.3793447037374,14.802168844398466,0.0,0.0,26.204974396532904,98.570367223801,True
27,9,exponential,1,1240.834150143385,10.18239811263561,12.479257515399754,-75.46726155262445,17.863729395474323,67.83054968880558,False
28,9,gaussian,2,1166.5634914591374,9.161674858597962,16.637229154165617,-149.73792023687201,15.978104229212938,60.94813218834862,False
29,9,power_law,0,1316.3014116960094,14.963997609107992,0.0,0.0,27.12207252817851,100.20872556783488,True
30,10,exponential,1,1414.4416167300194,9.64382915750798,11.945580654212106,-77.82420776596632,16.428450968910955,63.71848477862204,False
31,10,gaussian,2,1330.7774465568164,8.756921392252025,16.273954937332327,-161.48837793916937,14.826222571830673,57.76981414993468,False
32,10,power_law,0,1492.2658244959857,12.938905841592714,0.0,0.0,22.76637747001322,86.01149847095901,True
33,11,exponential,1,1371.016892813924,9.62352711240942,11.569210270278752,-75.23866265442894,16.472374150205866,63.65777528063219,False
34,11,gaussian,2,1301.997149255008,8.824736817201028,15.13644136520082,-144.25840621334487,15.027554808627952,58.324937329447565,False
35,11,power_law,0,1446.255555468353,13.53717722459919,0.0,0.0,23.945177206611525,89.86208019931706,True
36,12,exponential,1,1347.093198015501,10.047039659669736,10.218992746098731,-67.57796220461478,17.374572463976524,66.65955839724252,False
37,12,gaussian,2,1273.2130932063546,8.85380551912749,14.049964256127197,-141.45806701376114,15.15182392670917,58.613551821981616,False
38,12,power_law,0,1414.6711602201158,14.25251392233099,0.0,0.0,25.495734630866878,95.06772748148342,True
39,13,exponential,1,1374.7525191827883,10.10235901493752,11.774787684897284,-86.0249927786906,17.427459794794895,66.97771806225434,False
40,13,gaussian,2,1297.9156812089118,8.569561812734719,15.85325727635513,-162.86183075256713,14.531303102317088,56.58927594342246,False
41,13,power_law,0,1460.777511961479,13.435328779344218,0.0,0.0,23.711309352679898,89.12449882694621,True
42,14,exponential,1,1275.8834172633378,9.757852402683511,11.879653915615714,-70.53468374646854,16.929989712851693,64.77415567294388,False
43,14,gaussian,2,1191.6471443288074,8.990976955469705,15.702064464468092,-154.770956680999,15.586643006581674,59.717569885618644,False
44,14,power_law,0,1346.4181010098064,14.431252268915614,0.0,0.0,26.021183204581284,96.54988834611913,True
45,15,exponential,1,1430.899790715508,9.129429058643836,10.559742527056905,-57.88067171714556,15.372638708384983,60.14891808742672,False
46,15,gaussian,2,1359.6404209454706,8.815348684858463,14.837944335422618,-129.140041487183,14.898502060358787,58.16089087369516,False
47,15,power_law,0,1488.7804624326536,12.674831817730592,0.0,0.0,22.232630181919074,84.14903333178769,True
48,16,exponential,1,1473.218945004565,9.792938212102172,11.375004539619914,-74.37806578092159,16.61089856548423,64.63674606641581,False
49,16,gaussian,2,1406.0967611588758,8.687270632824493,15.466317189115962,-141.50024962661087,14.552315078195907,57.19141306666412,False
50,16,power_law,0,1547.5970107854866,12.130742696461539,0.0,0.0,21.04011292396617,80.31420138373022,True
51,17,exponential,1,1407.8306421291354,10.324550289512445,12.054782443405445,-74.20125026969345,17.80308399384966,68.43838933810899,False
52,17,gaussian,2,1332.3285609905543,9.19772979695972,16.314631103569244,-149.7033314082746,15.719764817176024,60.866420162089284,False
53,17,power_law,0,1482.0318923988289,13.81487239943317,0.0,0.0,24.462418299598326,91.82506784299174,True
54,18,exponential,1,1246.0263654179817,12.500688561756306,12.389304716592001,-78.17809563789001,22.54657812018677,84.04531207802776,False
55,18,gaussian,2,1167.6292935240226,9.205525991174227,16.684087008029096,-156.57516753184905,16.063222417213552,61.24758712070525,False
56,18,power_law,0,1324.2044610558717,14.193602299823624,0.0,0.0,25.584863396647187,94.93298744128451,True
57,19,exponential,1,1456.6357647857117,9.510111508699538,11.364554798743628,-66.23219251693195,16.06571719088356,62.67098238286009,False
58,19,gaussian,2,1365.704713403789,8.657457253989378,15.81981405004095,-157.16324389885472,14.575191647265386,57.072766221414106,False
59,19,power_law,0,1522.8679573026436,14.23924823242919,0.0,0.0,25.26828075059638,94.8107855575353,True
60,20,exponential,1,1500.6509733422856,9.37036473695207,9.768589818025898,-55.08922949853991,15.721920823655037,61.69786218860942,False
61,20,gaussian,2,1427.5336863929726,8.615520327535705,14.132184962732234,-128.2065164478529,14.36140450093032,56.636379939377775,False
62,20,power_law,0,1555.7402028408255,12.991780876923713,0.0,0.0,22.77430231691623,86.34928436657749,True
63,21,exponential,1,1396.565798839489,9.907240597935015,11.673170540926845,-75.0961897611021,16.99570822403775,65.59192525246198,False
64,21,gaussian,2,1321.812801113879,8.685217547627644,15.448876922506816,-149.84918748671203,14.71497859667293,57.34123385748019,False
65,21,power_law,0,1471.661988600591,13.946789460393575,0.0,0.0,24.813931426581174,92.9895098719285,True
66,22,exponential,1,1233.5093364664208,9.771899741503148,12.509976944125254,-73.48114565504625,17.055156836468,64.99936728610633,False
67,22,gaussian,2,1153.785015875847,8.924145897071867,16.19883584948073,-153.20546624562007,15.52997727089323,59.33632438575682,False
68,22,power_law,0,1306.990482121467,15.064748685942504,0.0,0.0,27.427322511367407,101.21831455661365,True
69,23,exponential,1,1512.4956062452986,10.596068907827657,10.372593181546264,-50.31318556682231,18.15976389921334,70.18356142081353,False
70,23,gaussian,2,1440.8336539320726,8.672021951034822,14.836506442197793,-121.97513788004835,14.453075640376134,57.0183449393408,False
