,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,4.554,1.0,9211.0,-0.44599999999999973,0.44599999999999973,8.919999999999995,1,1,2.023,1.0,11467.0,0.02300000000000013,0.02300000000000013,1.1500000000000066,1,1,0.01,1.0,36437.0,0.0,0.0,0.0,1,1,0.313,1.0,33879.0,0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,18.449,1.0,28713.0,0.4490000000000016,0.4490000000000016,2.4944444444444533,1,1,4,0.042749999999999996,0.017440971876589904,0.026,0.071,0.042749999999999996,0.017440971876589904,0.04617087826758334,0.042749999999999996,1.0,4,0,1.0,1.0,0,7949.0,10200.5,0,4,-0.02775,0.1272721002419619,-0.191,0.16,-0.02775,0.1272721002419619,0.13026223550975932,0.10775,1.0,4,0,1.0,1.0,0,16262.0,26053.75,0
1,1,power_law,3.223,1.0,5676.0,-1.7770000000000001,1.7770000000000001,35.540000000000006,0,1,1.717,1.0,6529.0,-0.2829999999999999,0.2829999999999999,14.149999999999995,0,1,0.015,1.0,30922.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.285,1.0,25977.0,-0.015000000000000013,0.015000000000000013,5.000000000000004,1,1,17.421,1.0,17629.0,-0.5790000000000006,0.5790000000000006,3.2166666666666703,1,1,4,0.07625,0.033259397168319216,0.036,0.128,0.07625,0.033259397168319216,0.08318804000576044,0.07625,1.0,4,0,1.0,1.0,0,4063.0,5292.0,0,4,0.0165,0.17161220819044315,-0.266,0.162,0.0165,0.17161220819044315,0.17240359625019427,0.14950000000000002,1.0,4,0,1.0,1.0,0,10122.0,23425.25,0
2,2,power_law,3.89,1.0,7279.0,-1.1099999999999999,1.1099999999999999,22.199999999999996,1,1,1.87,1.0,9729.0,-0.1299999999999999,0.1299999999999999,6.499999999999995,1,1,0.011,1.0,13464.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.313,1.0,33750.0,0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,19.163,1.0,28168.0,1.1630000000000003,1.1630000000000003,6.461111111111112,1,1,4,0.08475,0.04682080200082011,0.023,0.139,0.08475,0.04682080200082011,0.09682329265212995,0.08475,1.0,4,0,1.0,1.0,0,3139.0,7391.75,0,4,0.036000000000000004,0.07246723397508698,-0.054,0.12,0.036000000000000004,0.07246723397508698,0.08091662375556706,0.07050000000000001,1.0,4,0,1.0,1.0,0,13267.0,21450.0,0
3,3,power_law,3.849,1.0,9026.0,-1.1509999999999998,1.1509999999999998,23.019999999999996,1,1,1.888,1.0,12085.0,-0.1120000000000001,0.1120000000000001,5.600000000000005,1,1,0.012,1.0,26774.0,0.002,0.002,20.0,1,1,0.3,1.0,27554.0,0.0,0.0,0.0,1,1,18.279,1.0,28565.0,0.2789999999999999,0.2789999999999999,1.5499999999999994,1,1,4,0.11624999999999999,0.06442970976187927,0.04,0.191,0.11624999999999999,0.06442970976187927,0.13291068429588346,0.11624999999999999,1.0,4,0,1.0,1.0,0,1820.0,5160.25,0,4,-0.04450000000000001,0.20341398673640906,-0.368,0.149,-0.04450000000000001,0.20341398673640906,0.20822463831160806,0.1725,1.0,4,0,1.0,1.0,0,20601.0,22306.25,0
4,4,power_law,3.223,1.0,7194.0,-1.7770000000000001,1.7770000000000001,35.540000000000006,0,1,1.79,1.0,9868.0,-0.20999999999999996,0.20999999999999996,10.499999999999998,0,1,0.015,1.0,25069.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.282,1.0,27579.0,-0.018000000000000016,0.018000000000000016,6.000000000000005,1,1,19.376,1.0,21769.0,1.3760000000000012,1.3760000000000012,7.644444444444451,1,1,4,0.11175000000000002,0.06735864829403869,0.014,0.2,0.11175000000000002,0.06735864829403869,0.13048084150556358,0.11175000000000002,1.0,4,0,1.0025,1.01,0,1301.0,4428.75,0,4,-0.10325,0.22992322088036257,-0.479,0.144,-0.10325,0.22992322088036257,0.25204215917183376,0.17525000000000002,0.75,3,0,1.0,1.0,0,12527.0,21118.0,0
5,5,power_law,3.683,1.0,9540.0,-1.3170000000000002,1.3170000000000002,26.340000000000003,1,1,1.845,1.0,11839.0,-0.15500000000000003,0.15500000000000003,7.750000000000002,1,1,0.012,1.0,26944.0,0.002,0.002,20.0,1,1,0.299,1.0,28071.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,17.083,1.0,26818.0,-0.9170000000000016,0.9170000000000016,5.094444444444454,1,1,4,0.14225,0.039111219617905035,0.108,0.207,0.14225,0.039111219617905035,0.1475288107455625,0.14225,1.0,4,0,1.0,1.0,0,2336.0,3801.0,0,4,-0.24250000000000002,0.19212691118112527,-0.535,-0.009,-0.24250000000000002,0.19212691118112527,0.30938487357981803,0.24250000000000002,1.0,4,0,1.0,1.0,0,17209.0,18331.25,0
6,6,power_law,3.839,1.0,7823.0,-1.161,1.161,23.220000000000002,1,1,1.837,1.0,11807.0,-0.16300000000000003,0.16300000000000003,8.150000000000002,1,1,0.005,1.0,30514.0,-0.005,0.005,50.0,1,1,0.286,1.0,29220.0,-0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,16.203,1.0,30245.0,-1.7970000000000006,1.7970000000000006,9.983333333333338,1,1,4,0.16449999999999998,0.08648843853371385,0.075,0.298,0.16449999999999998,0.08648843853371385,0.18585074656831488,0.16449999999999998,1.0,4,0,1.0025,1.01,0,803.0,3800.5,0,4,-0.1345,0.2456873012591412,-0.4,0.223,-0.1345,0.2456873012591412,0.2800937343104983,0.246,0.75,3,0,1.0,1.0,0,20415.0,23246.5,0
7,7,power_law,4.295,1.0,7881.0,-0.7050000000000001,0.7050000000000001,14.100000000000001,1,1,1.964,1.0,10518.0,-0.03600000000000003,0.03600000000000003,1.8000000000000016,1,1,0.012,1.0,33779.0,0.002,0.002,20.0,1,1,0.302,1.0,31882.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,18.365,1.0,26803.0,0.36499999999999844,0.36499999999999844,2.027777777777769,1,1,4,0.1165,0.08914734993256951,0.033,0.264,0.1165,0.08914734993256951,0.14669526236385416,0.1165,1.0,4,0,1.0,1.0,0,1515.0,5515.0,0,4,-0.10599999999999998,0.07296231904209187,-0.18,0.005,-0.10599999999999998,0.07296231904209187,0.12868372080414833,0.10849999999999999,1.0,4,0,1.0,1.0,0,26763.0,28167.5,0
8,8,power_law,4.562,1.0,10414.0,-0.4379999999999997,0.4379999999999997,8.759999999999994,1,1,2.038,1.0,13984.0,0.03799999999999981,0.03799999999999981,1.8999999999999906,1,1,0.009,1.0,31217.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.276,1.0,29982.0,-0.023999999999999966,0.023999999999999966,7.999999999999989,1,1,16.522,1.0,28708.0,-1.4780000000000015,1.4780000000000015,8.21111111111112,1,1,4,0.22975,0.11215920604212566,0.047,0.349,0.22975,0.11215920604212566,0.2556653085578878,0.22975,1.0,4,0,1.0,1.0,0,1324.0,5376.25,0,4,-0.016500000000000008,0.20311634596949601,-0.226,0.247,-0.016500000000000008,0.20311634596949601,0.20378542636803054,0.1975,1.0,4,0,1.0,1.0,0,24969.0,25380.0,0
9,9,power_law,3.943,1.0,6847.0,-1.057,1.057,21.139999999999997,1,1,1.872,1.0,9554.0,-0.1279999999999999,0.1279999999999999,6.399999999999995,1,1,0.011,1.0,36563.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.289,1.0,25337.0,-0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,19.415,1.0,32927.0,1.4149999999999991,1.4149999999999991,7.861111111111106,1,1,4,0.04525,0.018457721961282224,0.021,0.07,0.04525,0.018457721961282224,0.04886972477925367,0.04525,1.0,4,0,1.0,1.0,0,5485.0,7651.5,0,4,-0.22,0.061534543144481056,-0.287,-0.142,-0.22,0.061534543144481056,0.22844364731810773,0.22,1.0,4,0,1.0,1.0,0,13835.0,24641.25,0
