,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,0.398,1.0,14961.0,-0.602,0.602,60.199999999999996,0,1,2.057,1.0,14962.0,-0.9430000000000001,0.9430000000000001,31.433333333333337,0,1,0.025,1.0,15288.0,0.015000000000000001,0.015000000000000001,150.0,1,1,0.659,1.0,22345.0,0.35900000000000004,0.35900000000000004,119.66666666666667,0,1,10.805,1.0,11719.0,-7.195,7.195,39.97222222222223,0,1,4,0.0025,0.0026925824035672523,0.0,0.007,0.0025,0.0026925824035672523,0.003674234614174767,0.0025,1.0,4,0,1.0,1.0,0,3302.0,10605.25,0,4,0.02925,0.022664675157610358,0.012,0.068,0.02925,0.022664675157610358,0.03700337822415678,0.02925,1.0,4,0,1.0,1.0,0,11303.0,16186.75,0
1,1,power_law,0.434,1.0,10655.0,-0.5660000000000001,0.5660000000000001,56.60000000000001,0,1,2.017,1.0,16186.0,-0.9830000000000001,0.9830000000000001,32.76666666666667,0,1,0.027,1.0,17778.0,0.017,0.017,170.00000000000003,0,1,0.649,1.0,25621.0,0.34900000000000003,0.34900000000000003,116.33333333333336,0,1,7.889,1.0,13329.0,-10.111,10.111,56.172222222222224,0,1,4,0.0045000000000000005,0.0035707142142714253,0.0,0.008,0.0045000000000000005,0.0035707142142714253,0.005744562646538029,0.0045000000000000005,1.0,4,0,1.0,1.0,0,7073.0,10551.0,0,4,0.05225,0.03322179254645962,0.018,0.105,0.05225,0.03322179254645962,0.06191728353214472,0.05225,1.0,4,0,1.0,1.0,0,11351.0,18618.5,0
2,2,power_law,0.395,1.0,11136.0,-0.605,0.605,60.5,0,1,2.008,1.0,13865.0,-0.992,0.992,33.06666666666666,0,1,0.015,1.0,26130.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.624,1.0,22688.0,0.324,0.324,108.0,0,1,10.219,1.0,18343.0,-7.781000000000001,7.781000000000001,43.22777777777778,0,1,4,0.00275,0.0014790199457749042,0.001,0.005,0.00275,0.0014790199457749042,0.003122498999199199,0.00275,1.0,4,0,1.0,1.0,0,9550.0,10536.25,0,4,-0.04525,0.07128946275572569,-0.163,0.013,-0.04525,0.07128946275572569,0.08443784696449809,0.05675000000000001,1.0,4,0,1.0,1.0,0,19898.0,22378.75,0
3,3,power_law,0.383,1.0,15449.0,-0.617,0.617,61.7,0,1,2.01,1.0,18986.0,-0.9900000000000002,0.9900000000000002,33.00000000000001,0,1,0.013,1.0,12049.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.655,1.0,30333.0,0.35500000000000004,0.35500000000000004,118.33333333333336,0,1,10.424,1.0,15346.0,-7.5760000000000005,7.5760000000000005,42.088888888888896,0,1,4,0.0025,0.0015,0.001,0.005,0.0025,0.0015,0.00291547594742265,0.0025,1.0,4,0,1.0,1.0,0,6940.0,11447.0,0,4,-0.007749999999999998,0.04257566793369189,-0.057,0.037,-0.007749999999999998,0.04257566793369189,0.04327528162819971,0.042249999999999996,1.0,4,0,1.0,1.0,0,16429.0,20124.0,0
4,4,power_law,0.357,1.0,12948.0,-0.643,0.643,64.3,0,1,1.9,1.0,7793.0,-1.1,1.1,36.66666666666667,0,1,0.021,1.0,3321.0,0.011000000000000001,0.011000000000000001,110.00000000000001,1,1,0.646,1.0,24102.0,0.34600000000000003,0.34600000000000003,115.33333333333336,0,1,8.627,1.0,10516.0,-9.373,9.373,52.07222222222222,0,1,4,0.0055,0.003201562118716424,0.003,0.011,0.0055,0.003201562118716424,0.006363961030678928,0.0055,1.0,4,0,1.0,1.0,0,4827.0,8194.0,0,4,0.06425,0.06373921477395215,-0.003,0.164,0.06425,0.06373921477395215,0.09050276238878016,0.06575,1.0,4,0,1.0,1.0,0,13863.0,15367.0,0
5,5,power_law,0.488,1.0,1933.0,-0.512,0.512,51.2,0,1,2.135,1.0,5844.0,-0.8650000000000002,0.8650000000000002,28.83333333333334,0,1,0.013,1.0,1384.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.643,1.0,4397.0,0.343,0.343,114.33333333333336,0,1,11.18,1.0,1239.0,-6.82,6.82,37.888888888888886,0,1,4,0.008499999999999999,0.007664854858377946,0.0,0.018,0.008499999999999999,0.007664854858377946,0.011445523142259596,0.008499999999999999,1.0,4,0,1.0025,1.01,0,512.0,5843.0,0,4,-0.01575,0.03720467040574341,-0.052,0.046,-0.01575,0.03720467040574341,0.040401113846031525,0.03875,1.0,4,0,1.0,1.0,0,5265.0,8825.75,0
6,6,power_law,0.418,1.0,19259.0,-0.5820000000000001,0.5820000000000001,58.20000000000001,0,1,2.044,1.0,20853.0,-0.956,0.956,31.866666666666667,0,1,0.016,1.0,35460.0,0.006,0.006,60.0,1,1,0.648,1.0,35606.0,0.34800000000000003,0.34800000000000003,116.00000000000001,0,1,10.389,1.0,19603.0,-7.611000000000001,7.611000000000001,42.28333333333334,0,1,4,0.0037500000000000003,0.001299038105676658,0.002,0.005,0.0037500000000000003,0.001299038105676658,0.003968626966596886,0.0037500000000000003,1.0,4,0,1.0,1.0,0,3503.0,8574.5,0,4,0.02325,0.05569728449394998,-0.047,0.096,0.02325,0.05569728449394998,0.06035519861619213,0.052250000000000005,1.0,4,0,1.0,1.0,0,20080.0,27009.75,0
7,7,power_law,0.386,1.05,9074.0,-0.614,0.614,61.4,0,0,2.122,1.01,1538.0,-0.8780000000000001,0.8780000000000001,29.26666666666667,0,1,0.016,1.03,90.0,0.006,0.006,60.0,1,0,0.655,1.01,3800.0,0.35500000000000004,0.35500000000000004,118.33333333333336,0,1,14.051,1.01,1206.0,-3.949,3.949,21.93888888888889,1,1,4,-0.0014999999999999998,0.012134661099511597,-0.022,0.008,-0.0014999999999999998,0.012134661099511597,0.012227019260637484,0.0095,1.0,4,0,1.03,1.05,3,57.0,1638.0,3,4,-0.0145,0.0533970972993851,-0.074,0.072,-0.0145,0.0533970972993851,0.055330823236239675,0.050499999999999996,1.0,4,0,1.02,1.03,3,128.0,5988.75,1
8,8,power_law,0.41,1.0,14125.0,-0.5900000000000001,0.5900000000000001,59.00000000000001,0,1,1.997,1.0,14251.0,-1.003,1.003,33.43333333333333,0,1,0.019,1.0,18269.0,0.009,0.009,89.99999999999999,1,1,0.647,1.0,23962.0,0.34700000000000003,0.34700000000000003,115.66666666666667,0,1,9.114,1.0,19536.0,-8.886,8.886,49.36666666666667,0,1,4,0.0055,0.002692582403567252,0.002,0.009,0.0055,0.002692582403567252,0.0061237243569579455,0.0055,1.0,4,0,1.0,1.0,0,3351.0,7871.0,0,4,0.01675,0.025272267409158205,-0.003,0.06,0.01675,0.025272267409158205,0.030319135871591064,0.018250000000000002,1.0,4,0,1.0,1.0,0,19781.0,23720.75,0
9,9,power_law,0.476,1.0,16960.0,-0.524,0.524,52.400000000000006,0,1,2.128,1.0,23280.0,-0.8719999999999999,0.8719999999999999,29.066666666666663,0,1,0.031,1.0,29509.0,0.020999999999999998,0.020999999999999998,209.99999999999997,0,1,0.643,1.0,29453.0,0.343,0.343,114.33333333333336,0,1,10.825,1.0,23391.0,-7.175000000000001,7.175000000000001,39.861111111111114,0,1,4,0.00625,0.0035619517121937517,0.001,0.011,0.00625,0.0035619517121937517,0.007193747284969079,0.00625,1.0,4,0,1.0,1.0,0,6687.0,9365.25,0,4,0.007000000000000003,0.0843682404699778,-0.113,0.117,0.007000000000000003,0.0843682404699778,0.08465813605318746,0.073,1.0,4,0,1.0,1.0,0,18372.0,23735.75,0
