,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,18.281,1.0,2149.0,3.280999999999999,3.280999999999999,21.873333333333324,1,1,1.863,1.0,4043.0,0.363,0.363,24.2,1,1,0.01,1.0,9537.0,0.0,0.0,0.0,1,1,0.297,1.0,10300.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,18.871,1.0,15669.0,0.8709999999999987,0.8709999999999987,4.8388888888888815,1,1,4,1.8559999999999999,0.5109701556842631,1.017,2.366,1.8559999999999999,0.5109701556842631,1.9250523369508683,1.8559999999999999,1.0,4,0,1.0,1.0,0,1388.0,3217.25,0,4,-1.7102499999999998,0.6418478694363641,-2.703,-0.974,-1.7102499999999998,0.6418478694363641,1.8267248698148277,1.7102499999999998,1.0,4,0,1.0,1.0,0,3631.0,4715.5,0
1,1,power_law,10.558,1.0,10777.0,-4.442,4.442,29.613333333333337,1,1,1.313,1.0,12241.0,-0.18700000000000006,0.18700000000000006,12.46666666666667,1,1,0.018,1.0,24871.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.294,1.0,24142.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,17.694,1.0,23099.0,-0.30600000000000094,0.30600000000000094,1.7000000000000053,1,1,4,0.741,0.47864757389962814,0.425,1.567,0.741,0.47864757389962814,0.8821476633761494,0.741,1.0,4,0,1.0,1.0,0,1878.0,4632.75,0,4,-0.36875,0.3733747279878487,-0.933,0.078,-0.36875,0.3733747279878487,0.5247716169916204,0.40775,1.0,4,0,1.0,1.0,0,6810.0,9174.25,0
2,2,power_law,12.934,1.0,9940.0,-2.0660000000000007,2.0660000000000007,13.773333333333337,1,1,1.445,1.0,9917.0,-0.05499999999999994,0.05499999999999994,3.6666666666666625,1,1,0.01,1.0,6303.0,0.0,0.0,0.0,1,1,0.314,1.0,5288.0,0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,17.964,1.0,21342.0,-0.036000000000001364,0.036000000000001364,0.2000000000000076,1,1,4,0.7455,0.299286234230711,0.264,1.0,0.7455,0.299286234230711,0.8033321230972903,0.7455,1.0,4,0,1.0,1.0,0,1271.0,3058.5,0,4,-0.39025,0.5391314195073406,-1.025,0.467,-0.39025,0.5391314195073406,0.6655507118169133,0.62375,1.0,4,0,1.0,1.0,0,2319.0,6801.75,0
3,3,power_law,11.073,1.0,13325.0,-3.9269999999999996,3.9269999999999996,26.179999999999996,1,1,1.43,1.0,14724.0,-0.07000000000000006,0.07000000000000006,4.666666666666671,1,1,0.015,1.0,29285.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.293,1.0,10428.0,-0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,18.825,1.0,13720.0,0.8249999999999993,0.8249999999999993,4.5833333333333295,1,1,4,0.8744999999999999,0.45244695821720365,0.296,1.324,0.8744999999999999,0.45244695821720365,0.9846108368284396,0.8744999999999999,1.0,4,0,1.0,1.0,0,1475.0,3667.5,0,4,-0.73675,0.9906531620602642,-2.366,0.089,-0.73675,0.9906531620602642,1.2345826217795228,0.7962499999999999,1.0,4,0,1.0,1.0,0,3117.0,11946.0,0
4,4,power_law,14.811,1.03,6192.0,-0.18900000000000006,0.18900000000000006,1.2600000000000005,1,0,1.587,1.0,2648.0,0.08699999999999997,0.08699999999999997,5.799999999999997,1,1,0.013,1.0,1514.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.308,1.01,430.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,15.834,1.01,19209.0,-2.1660000000000004,2.1660000000000004,12.033333333333335,0,1,4,1.0295,0.3740738563439044,0.619,1.466,1.0295,0.3740738563439044,1.0953545088235133,1.0295,1.0,4,0,1.0125000000000002,1.02,1,2788.0,4590.75,0,4,-0.9197500000000001,0.6699068498679499,-1.558,0.058,-0.9197500000000001,0.6699068498679499,1.1378555488285849,0.94875,1.0,4,0,1.005,1.01,0,296.0,1800.0,1
5,5,power_law,12.366,1.0,6941.0,-2.6340000000000003,2.6340000000000003,17.560000000000002,1,1,1.504,1.0,7148.0,0.0040000000000000036,0.0040000000000000036,0.26666666666666694,1,1,0.018,1.0,21627.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.309,1.0,32095.0,0.009000000000000008,0.009000000000000008,3.0000000000000027,1,1,19.04,1.0,27561.0,1.0399999999999991,1.0399999999999991,5.777777777777773,1,1,4,1.2865000000000002,0.552246548201073,0.615,2.136,1.2865000000000002,0.552246548201073,1.4000208927012483,1.2865000000000002,1.0,4,0,1.0,1.0,0,1803.0,7185.0,0,4,-1.50425,1.2015655152758002,-3.465,-0.239,-1.50425,1.2015655152758002,1.9252344662404108,1.50425,0.75,3,0,1.0,1.0,0,6633.0,8798.25,0
6,6,power_law,9.404,1.0,10374.0,-5.596,5.596,37.306666666666665,0,1,1.276,1.0,13361.0,-0.22399999999999998,0.22399999999999998,14.933333333333332,1,1,0.012,1.0,28161.0,0.002,0.002,20.0,1,1,0.304,1.0,29351.0,0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,18.249,1.0,27309.0,0.24899999999999878,0.24899999999999878,1.3833333333333264,1,1,4,0.83375,0.21167944515233406,0.578,1.073,0.83375,0.21167944515233406,0.8602018658431286,0.83375,1.0,4,0,1.0,1.0,0,3798.0,4741.0,0,4,-0.42175000000000007,0.5228237633275672,-1.31,0.039,-0.42175000000000007,0.5228237633275672,0.6717274372839032,0.44125000000000003,1.0,4,0,1.0,1.0,0,9275.0,11363.5,0
7,7,power_law,8.799,1.0,10431.0,-6.2010000000000005,6.2010000000000005,41.34,0,1,1.198,1.0,10649.0,-0.30200000000000005,0.30200000000000005,20.133333333333336,1,1,0.017,1.0,18071.0,0.007000000000000001,0.007000000000000001,70.0,1,1,0.31,1.0,23832.0,0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,17.263,1.0,21985.0,-0.7369999999999983,0.7369999999999983,4.094444444444435,1,1,4,0.9155,0.3182707181001733,0.504,1.235,0.9155,0.3182707181001733,0.9692453249822771,0.9155,1.0,4,0,1.0,1.0,0,2718.0,4480.75,0,4,-0.971,0.5899906778924562,-1.834,-0.338,-0.971,0.5899906778924562,1.1361910050691302,0.971,1.0,4,0,1.0,1.0,0,8382.0,9364.25,0
8,8,power_law,10.233,1.0,861.0,-4.7669999999999995,4.7669999999999995,31.779999999999998,1,1,1.321,1.0,979.0,-0.17900000000000005,0.17900000000000005,11.933333333333335,1,1,0.005,1.0,2302.0,-0.005,0.005,50.0,1,1,0.286,1.0,2941.0,-0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,17.851,1.0,6355.0,-0.1490000000000009,0.1490000000000009,0.8277777777777828,1,1,4,0.70025,0.33091492486740454,0.287,1.053,0.70025,0.33091492486740454,0.7745029050946162,0.70025,1.0,4,0,1.0,1.0,0,592.0,2321.0,0,4,-0.4129999999999999,0.6882118133249384,-1.583,0.102,-0.4129999999999999,0.6882118133249384,0.802623510744608,0.497,0.75,3,0,1.0,1.0,0,1240.0,2242.25,0
9,9,power_law,14.183,1.0,9439.0,-0.8170000000000002,0.8170000000000002,5.446666666666668,1,1,1.521,1.0,6607.0,0.020999999999999908,0.020999999999999908,1.3999999999999937,1,1,0.013,1.0,23372.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.307,1.0,20346.0,0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,17.622,1.0,21502.0,-0.3780000000000001,0.3780000000000001,2.1000000000000005,1,1,4,1.1424999999999998,0.4058167689980294,0.793,1.799,1.1424999999999998,0.4058167689980294,1.2124328847404295,1.1424999999999998,1.0,4,0,1.0,1.0,0,4153.0,6348.0,0,4,-1.6854999999999998,0.361633447015068,-2.267,-1.291,-1.6854999999999998,0.361633447015068,1.7238587529145186,1.6854999999999998,1.0,4,0,1.0,1.0,0,3852.0,4472.25,0
