,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,13.076,1.0,4346.0,-1.9239999999999995,1.9239999999999995,12.826666666666664,1,1,2.83,1.0,7732.0,-0.16999999999999993,0.16999999999999993,5.666666666666664,1,1,0.015,1.0,28476.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.297,1.0,4199.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,17.123,1.0,12437.0,-0.8769999999999989,0.8769999999999989,4.872222222222216,1,1,4,0.28925,0.09718378208322621,0.122,0.361,0.28925,0.09718378208322621,0.3051397220946496,0.28925,1.0,4,0,1.0,1.0,0,3662.0,5757.25,0,4,-0.13724999999999998,0.22727447612963494,-0.484,0.154,-0.13724999999999998,0.22727447612963494,0.26550188323249235,0.21425,1.0,4,0,1.0,1.0,0,5082.0,13335.0,0
1,1,power_law,10.241,1.0,10422.0,-4.759,4.759,31.72666666666667,0,1,2.443,1.0,11675.0,-0.5569999999999999,0.5569999999999999,18.566666666666663,0,1,0.012,1.0,32522.0,0.002,0.002,20.0,1,1,0.288,1.0,28251.0,-0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,17.04,1.0,26121.0,-0.9600000000000009,0.9600000000000009,5.3333333333333375,1,1,4,0.17975,0.13768147115716042,0.071,0.414,0.17975,0.13768147115716042,0.22642051585490214,0.17975,1.0,4,0,1.0,1.0,0,4335.0,8264.25,0,4,-0.07200000000000001,0.22212158832495324,-0.448,0.104,-0.07200000000000001,0.22212158832495324,0.23349946466748056,0.163,1.0,4,0,1.0,1.0,0,14248.0,19787.25,0
2,2,power_law,10.102,1.0,10730.0,-4.898,4.898,32.65333333333333,0,1,2.499,1.0,12612.0,-0.5009999999999999,0.5009999999999999,16.699999999999996,0,1,0.016,1.0,19713.0,0.006,0.006,60.0,1,1,0.286,1.0,19740.0,-0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,17.075,1.0,22576.0,-0.9250000000000007,0.9250000000000007,5.138888888888893,1,1,4,0.227,0.13433726214271302,0.093,0.417,0.227,0.13433726214271302,0.2637716815732879,0.227,1.0,4,0,1.0,1.0,0,3098.0,8164.0,0,4,0.22125,0.20420746191067554,0.018,0.478,0.22125,0.20420746191067554,0.3010851208545517,0.22125,1.0,4,0,1.0,1.0,0,14414.0,20586.0,0
3,3,power_law,11.596,1.0,12545.0,-3.404,3.404,22.69333333333333,1,1,2.766,1.0,15337.0,-0.23399999999999999,0.23399999999999999,7.8,1,1,0.013,1.0,27496.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.299,1.0,25630.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,18.618,1.0,29885.0,0.6179999999999986,0.6179999999999986,3.433333333333325,1,1,4,0.318,0.18221004363097001,0.076,0.527,0.318,0.18221004363097001,0.3665030695642262,0.318,1.0,4,0,1.0,1.0,0,1087.0,6660.5,0,4,-0.12649999999999997,0.2605767641214389,-0.446,0.203,-0.12649999999999997,0.2605767641214389,0.2896592826063063,0.24950000000000003,1.0,4,0,1.0,1.0,0,13446.0,19214.0,0
4,4,power_law,11.527,1.0,9592.0,-3.4730000000000008,3.4730000000000008,23.15333333333334,1,1,2.669,1.0,12129.0,-0.33099999999999996,0.33099999999999996,11.033333333333333,1,1,0.007,1.0,1117.0,-0.003,0.003,30.0,1,1,0.292,1.0,12987.0,-0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,17.228,1.0,25015.0,-0.7719999999999985,0.7719999999999985,4.28888888888888,1,1,4,0.4125,0.2854071652919737,0.059,0.826,0.4125,0.2854071652919737,0.5016109049851288,0.4125,1.0,4,0,1.005,1.01,0,1320.0,5749.75,0,4,-0.22699999999999998,0.36489793093411754,-0.692,0.278,-0.22699999999999998,0.36489793093411754,0.42974352816534656,0.366,1.0,4,0,1.0,1.0,0,1813.0,5486.25,0
5,5,power_law,14.877,1.0,9942.0,-0.12299999999999933,0.12299999999999933,0.8199999999999955,1,1,3.083,1.0,11945.0,0.08300000000000018,0.08300000000000018,2.766666666666673,1,1,0.009,1.0,25729.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.308,1.0,25556.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,16.528,1.0,25874.0,-1.4720000000000013,1.4720000000000013,8.177777777777786,1,1,4,0.405,0.04436778110295803,0.343,0.468,0.405,0.04436778110295803,0.4074229988599073,0.405,1.0,4,0,1.0,1.0,0,4882.0,5541.0,0,4,-0.4885,0.6770895435612634,-1.646,0.073,-0.4885,0.6770895435612634,0.834914666298299,0.5249999999999999,0.75,3,0,1.0,1.0,0,8582.0,14988.25,0
6,6,power_law,11.699,1.0,4828.0,-3.301,3.301,22.006666666666668,1,1,2.603,1.0,6451.0,-0.3969999999999998,0.3969999999999998,13.233333333333327,1,1,0.007,1.01,784.0,-0.003,0.003,30.0,1,1,0.281,1.0,13346.0,-0.01899999999999996,0.01899999999999996,6.3333333333333215,1,1,16.011,1.0,21817.0,-1.9890000000000008,1.9890000000000008,11.050000000000004,0,1,4,0.3135,0.19698921290263585,0.135,0.637,0.3135,0.19698921290263585,0.3702526164661095,0.3135,1.0,4,0,1.0,1.0,0,852.0,4695.5,0,4,-0.14275,0.25327788592769007,-0.581,0.02,-0.14275,0.25327788592769007,0.2907357047216595,0.15375,1.0,4,0,1.0,1.0,0,11342.0,15785.75,0
7,7,power_law,14.473,1.0,7352.0,-0.5269999999999992,0.5269999999999992,3.513333333333328,1,1,3.079,1.0,9069.0,0.07900000000000018,0.07900000000000018,2.633333333333339,1,1,0.013,1.0,31067.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.29,1.0,21619.0,-0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,18.623,1.0,20844.0,0.6230000000000011,0.6230000000000011,3.4611111111111175,1,1,4,0.32199999999999995,0.18399048888461597,0.151,0.624,0.32199999999999995,0.18399048888461597,0.37085913767898454,0.32199999999999995,1.0,4,0,1.0,1.0,0,2683.0,4819.5,0,4,-0.15975,0.09028669614068287,-0.283,-0.038,-0.15975,0.09028669614068287,0.1834986375971222,0.15975,1.0,4,0,1.0,1.0,0,11760.0,14849.25,0
8,8,power_law,12.453,1.0,12320.0,-2.5470000000000006,2.5470000000000006,16.980000000000004,1,1,2.897,1.0,15597.0,-0.1030000000000002,0.1030000000000002,3.4333333333333402,1,1,0.012,1.0,36749.0,0.002,0.002,20.0,1,1,0.279,1.0,33660.0,-0.020999999999999963,0.020999999999999963,6.9999999999999885,1,1,17.789,1.0,31514.0,-0.21099999999999852,0.21099999999999852,1.172222222222214,1,1,4,0.47125000000000006,0.23175674208100183,0.149,0.802,0.47125000000000006,0.23175674208100183,0.5251549771258005,0.47125000000000006,1.0,4,0,1.0,1.0,0,2054.0,4596.25,0,4,-0.04350000000000001,0.22583677734151275,-0.399,0.221,-0.04350000000000001,0.22583677734151275,0.22998804316746554,0.17600000000000002,1.0,4,0,1.0,1.0,0,12989.0,20284.25,0
9,9,power_law,11.352,1.0,10013.0,-3.6479999999999997,3.6479999999999997,24.319999999999997,1,1,2.592,1.0,12126.0,-0.4079999999999999,0.4079999999999999,13.599999999999998,1,1,0.014,1.0,26939.0,0.004,0.004,40.0,1,1,0.31,1.0,26817.0,0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,18.88,1.0,25257.0,0.879999999999999,0.879999999999999,4.888888888888884,1,1,4,0.1675,0.09134686639398201,0.055,0.291,0.1675,0.09134686639398201,0.1907891506349352,0.1675,1.0,4,0,1.0,1.0,0,5291.0,8218.5,0,4,-0.2815,0.17479344953401427,-0.578,-0.128,-0.2815,0.17479344953401427,0.3313532857842215,0.2815,0.75,3,0,1.0,1.0,0,19878.0,21825.75,0
