simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.406089872,0.113676607,0.058694562,0.289840637,0.289891403,0.005976096,0.006827191,0.617904251,0.09088285
0,gaussian,0.323963856,0.121281817,0.065464217,0.289840637,0.290042517,0.005976096,0.006842474,0.492145338,0.104776903
0,power_law,0.577149381,0.095918907,0.043347521,0.289840637,0.290224446,0.005976096,0.006834599,0.84570506,0.057752618
1,exponential,0.341837622,0.127830877,0.063011813,0.262948207,0.264556711,0.009960159,0.010745176,0.593181799,0.09122281
1,gaussian,0.276970117,0.133982281,0.069362612,0.262948207,0.264353025,0.009960159,0.010729239,0.480929363,0.103042524
1,power_law,0.485007458,0.113075811,0.047913218,0.262948207,0.26431885,0.009960159,0.010794416,0.845319325,0.056249839
2,exponential,0.372787898,0.115241077,0.057670508,0.289840637,0.29071819,0.006972112,0.007831144,0.611155779,0.087271488
2,gaussian,0.311222394,0.120764587,0.06330113,0.289840637,0.290139442,0.006972112,0.007827222,0.501339994,0.098829551
2,power_law,0.478783374,0.105053185,0.044940515,0.289840637,0.290181897,0.006972112,0.007819067,0.84526134,0.055053378
3,exponential,0.377778645,0.120729554,0.060389416,0.27689243,0.277623413,0.007968127,0.008796159,0.607406883,0.091236202
3,gaussian,0.313083559,0.126850766,0.066709372,0.27689243,0.278072616,0.007968127,0.008860464,0.492724409,0.103709332
3,power_law,0.502173212,0.107989187,0.046082502,0.27689243,0.277600411,0.007968127,0.008804314,0.839586394,0.058319858
4,exponential,0.359659971,0.125775247,0.062578216,0.260956175,0.262473014,0.009960159,0.010803287,0.600979166,0.089991261
4,gaussian,0.293333507,0.132128682,0.069030343,0.260956175,0.2623172,0.009960159,0.010760334,0.48544285,0.102192579
4,power_law,0.498678219,0.111287949,0.045637471,0.260956175,0.262644204,0.009960159,0.010759275,0.851197045,0.054955141
5,exponential,0.358507652,0.116414225,0.058002362,0.277888446,0.279069036,0.007968127,0.008839268,0.57982445,0.08730596
5,gaussian,0.294576542,0.122077397,0.063311607,0.277888446,0.279759244,0.007968127,0.008802384,0.462931544,0.098705949
5,power_law,0.465152,0.1062981,0.045663817,0.277888446,0.278775025,0.007968127,0.008830117,0.818203465,0.057427684
6,exponential,0.438731298,0.099963255,0.052868936,0.264940239,0.265956798,0.002988048,0.003924303,0.604306041,0.087087104
6,gaussian,0.358079603,0.106904396,0.058945907,0.264940239,0.266111305,0.002988048,0.003926513,0.485916584,0.099263809
6,power_law,0.566533882,0.087848137,0.041254589,0.264940239,0.265593065,0.002988048,0.003930559,0.808538569,0.06057798
7,exponential,0.343739946,0.120541426,0.059560879,0.280876494,0.281406935,0.007968127,0.008864573,0.614637124,0.086883727
7,gaussian,0.279445417,0.126308269,0.065686068,0.280876494,0.281662817,0.007968127,0.00882439,0.4899126,0.099959898
7,power_law,0.454029038,0.109946932,0.046554536,0.280876494,0.281380105,0.007968127,0.00884126,0.838987459,0.05616081
8,exponential,0.382141879,0.11620048,0.059191355,0.25498008,0.255519267,0.005976096,0.00688356,0.625433388,0.088375411
8,gaussian,0.316306604,0.122234623,0.065659038,0.25498008,0.255957887,0.005976096,0.006879669,0.501277751,0.101975604
8,power_law,0.487969462,0.105781927,0.046498584,0.25498008,0.255417829,0.005976096,0.006890905,0.825832991,0.060262877
9,exponential,0.38071624,0.117777377,0.058827146,0.267928287,0.269093657,0.006972112,0.007820779,0.595158582,0.091740843
9,gaussian,0.306790929,0.124608925,0.065715444,0.267928287,0.268499409,0.006972112,0.007959412,0.476238629,0.104348687
9,power_law,0.519558176,0.103737896,0.043635909,0.267928287,0.268817138,0.006972112,0.007823518,0.841494714,0.057403997
10,exponential,0.399418628,0.117216434,0.058420307,0.28685259,0.288136983,0.006972112,0.008099726,0.620461822,0.090922373
10,gaussian,0.327306511,0.124054119,0.065084571,0.28685259,0.288083759,0.006972112,0.007803349,0.499539291,0.104406617
10,power_law,0.540666001,0.102510151,0.043969561,0.28685259,0.287782744,0.006972112,0.007797933,0.858877246,0.05544234
11,exponential,0.389216327,0.109283415,0.055557546,0.272908367,0.274107694,0.00498008,0.005861305,0.601115103,0.087792163
11,gaussian,0.322227829,0.115120433,0.061238025,0.272908367,0.274288502,0.00498008,0.005863826,0.485831642,0.099674629
