simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.427478873,0.133071835,0.069509555,0.265936255,0.266159736,0.009960159,0.010870549,0.759653219,0.08176726
0,gaussian,0.37666213,0.138852001,0.077276813,0.265936255,0.266362674,0.009960159,0.010764567,0.656151272,0.097801159
0,power_law,0.464711958,0.128672032,0.063378735,0.265936255,0.265964766,0.009960159,0.010810632,0.825400774,0.069691762
1,exponential,0.46760989,0.126228229,0.066059942,0.256972112,0.258030192,0.007968127,0.008819814,0.74169404,0.085507919
1,gaussian,0.40357474,0.133604016,0.07463111,0.256972112,0.25729868,0.007968127,0.008811224,0.63329817,0.101881578
1,power_law,0.527743935,0.118885878,0.057803278,0.256972112,0.258234313,0.007968127,0.008828623,0.831676031,0.069025904
2,exponential,0.446773917,0.132411228,0.070687008,0.255976096,0.256666677,0.010956175,0.011779476,0.743818425,0.084109417
2,gaussian,0.392028349,0.13880821,0.07833247,0.255976096,0.256803785,0.010956175,0.011754046,0.638700656,0.099885918
2,power_law,0.477125799,0.128727725,0.062966704,0.255976096,0.256322803,0.010956175,0.011814866,0.835611645,0.067376152
3,exponential,0.475036851,0.128937641,0.065922012,0.266932271,0.268095088,0.008964143,0.009759742,0.766672514,0.083486718
3,gaussian,0.419051911,0.135638811,0.0752733,0.266932271,0.26793445,0.008964143,0.009864106,0.655754529,0.101407145
3,power_law,0.516284642,0.123768534,0.058665494,0.266932271,0.267863484,0.008964143,0.009816609,0.843781585,0.068312558
4,exponential,0.564382519,0.107090406,0.060046591,0.259960159,0.261693725,0.003984064,0.004836871,0.748614506,0.083709972
4,gaussian,0.490075409,0.115864634,0.068128707,0.259960159,0.261571713,0.003984064,0.00487886,0.644911345,0.099489097
4,power_law,0.623964493,0.09949754,0.051964987,0.259960159,0.261310508,0.003984064,0.004849602,0.824070051,0.070028848
5,exponential,0.505668069,0.114416955,0.061167731,0.274900398,0.276241627,0.005976096,0.006834194,0.745256005,0.081898082
5,gaussian,0.45891265,0.119705676,0.06754581,0.274900398,0.277004451,0.005976096,0.006893146,0.651352865,0.095810875
5,power_law,0.528673223,0.111722877,0.056402445,0.274900398,0.27644855,0.005976096,0.006847361,0.804980113,0.071657426
6,exponential,0.523397648,0.109809064,0.061246351,0.251992032,0.251987145,0.003984064,0.00480668,0.731716947,0.084340436
6,gaussian,0.462438889,0.116620264,0.068313023,0.251992032,0.2525376,0.003984064,0.004904725,0.637078246,0.098094741
6,power_law,0.5634481,0.105094029,0.055685699,0.251992032,0.252257003,0.003984064,0.005039747,0.801265808,0.072589787
7,exponential,0.500789329,0.122395559,0.063815299,0.258964143,0.259990413,0.008964143,0.009779849,0.775113115,0.078674689
7,gaussian,0.444647751,0.129094577,0.072153058,0.258964143,0.260145232,0.008964143,0.009809201,0.668410016,0.095533057
7,power_law,0.526732944,0.119172725,0.058461768,0.258964143,0.259720586,0.008964143,0.009766808,0.839098449,0.066547706
8,exponential,0.471464992,0.128421728,0.066769538,0.249003984,0.249545661,0.007968127,0.008820997,0.771603308,0.082574387
8,gaussian,0.420645157,0.134454069,0.075595864,0.249003984,0.249790152,0.007968127,0.008825946,0.657194872,0.101163561
8,power_law,0.507318265,0.123989486,0.059522116,0.249003984,0.249200791,0.007968127,0.008862176,0.835241038,0.070133414
9,exponential,0.492715599,0.12419565,0.064611171,0.27689243,0.278992032,0.008964143,0.009807271,0.74186368,0.085772535
9,gaussian,0.422906101,0.132465832,0.072774771,0.27689243,0.27831583,0.008964143,0.009702502,0.635626766,0.101905335
9,power_law,0.547506937,0.117296916,0.057231946,0.27689243,0.278199297,0.008964143,0.009775616,0.826904828,0.070237034
10,exponential,0.57219393,0.106443701,0.057476192,0.263944223,0.265305123,0.002988048,0.003914374,0.771395066,0.081657427
10,gaussian,0.499534585,0.115128681,0.066154571,0.263944223,0.2654032,0.002988048,0.003917393,0.658225525,0.099844168
10,power_law,0.626562282,0.099450182,0.051148014,0.263944223,0.265229519,0.002988048,0.003912942,0.844815982,0.067278513
11,exponential,0.510332731,0.110429237,0.060612427,0.282868526,0.28413135,0.003984064,0.004908989,0.731966706,0.084511812
11,gaussian,0.449495795,0.117088395,0.067806564,0.282868526,0.28465625,0.003984064,0.004919603,0.620890475,0.100509101
11,power_law,0.562077796,0.10443162,0.053374827,0.282868526,0.283773936,0.003984064,0.004876805,0.82363696,0.068553058
12,exponential,0.445928854,0.131268103,0.068462106,0.28685259,0.287650585,0.011952191,0.012806866,0.753903373,0.080858847
12,gaussian,0.385682962,0.138220584,0.076220748,0.28685259,0.287292704,0.011952191,0.012698892,0.648635233,0.096617061
12,power_law,0.484211433,0.126652072,0.061892988,0.28685259,0.287523375,0.011952191,0.012653262,0.828894663,0.067422755
13,exponential,0.490577304,0.121665121,0.064787582,0.266932271,0.268081393,0.006972112,0.007822865,0.745564535,0.085264538
13,gaussian,0.425537658,0.129198577,0.073301209,0.266932271,0.268261703,0.006972112,0.007845088,0.635187012,0.102097419
13,power_law,0.536783965,0.116016228,0.056169201,0.266932271,0.267975722,0.006972112,0.007837058,0.832438996,0.069193627
14,exponential,0.522994359,0.119313587,0.062545657,0.289840637,0.29125084,0.006972112,0.007770481,0.765802006,0.083987307
14,gaussian,0.449951673,0.128123434,0.071897647,0.289840637,0.291832669,0.006972112,0.007810913,0.645833125,0.103282333
14,power_law,0.564957388,0.113944677,0.055971542,0.289840637,0.291021788,0.006972112,0.007861741,0.832554,0.071016532
15,exponential,0.503790094,0.11107946,0.060649982,0.274900398,0.27547152,0.003984064,0.004890656,0.747428686,0.081755125
15,gaussian,0.447334467,0.117228237,0.067684844,0.274900398,0.275716696,0.003984064,0.004930061,0.646171443,0.096765248
15,power_law,0.547096055,0.106121675,0.054895348,0.274900398,0.27531969,0.003984064,0.004939305,0.815337182,0.069905719
16,exponential,0.405905195,0.132080101,0.068601169,0.284860558,0.284940581,0.009960159,0.010895947,0.733543939,0.083922178
16,gaussian,0.351239007,0.138023133,0.075866419,0.284860558,0.285129513,0.009960159,0.010750249,0.624854048,0.099578156
16,power_law,0.460823889,0.125827288,0.060459662,0.284860558,0.284737581,0.009960159,0.010872199,0.832786329,0.066481351
17,exponential,0.558222908,0.113448678,0.060875369,0.267928287,0.269931462,0.005976096,0.006862145,0.750800781,0.085961503
