simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.361517564,0.15079494,0.090694858,0.252988048,0.253085004,0.013944223,0.014698612,0.707844202,0.088860486
0,gaussian,0.337939285,0.153554024,0.094142323,0.252988048,0.253216571,0.013944223,0.014757595,0.650749917,0.097156014
0,power_law,0.378999607,0.148716183,0.08846452,0.252988048,0.25322345,0.013944223,0.014693756,0.744653319,0.083074271
1,exponential,0.425590803,0.141135398,0.087149778,0.21314741,0.214330242,0.011952191,0.012789467,0.692292156,0.092021384
1,gaussian,0.384786237,0.146062349,0.092259932,0.21314741,0.214158055,0.011952191,0.012777608,0.625993957,0.101451574
1,power_law,0.465682502,0.136120946,0.081845414,0.21314741,0.214141497,0.011952191,0.012729706,0.750337558,0.082888845
2,exponential,0.448355039,0.124954036,0.083479203,0.25,0.250864511,0.003984064,0.004654943,0.660215208,0.095738755
2,gaussian,0.4055699,0.129709223,0.088247823,0.25,0.250685695,0.003984064,0.004912911,0.593113494,0.104766504
2,power_law,0.483108536,0.120953974,0.078409779,0.25,0.250119429,0.003984064,0.004927944,0.721072278,0.086742443
3,exponential,0.463455882,0.131640543,0.083370116,0.233067729,0.233673151,0.007968127,0.008786604,0.7014347,0.09196363
3,gaussian,0.421680196,0.136669302,0.088636067,0.233067729,0.233199919,0.007968127,0.008869553,0.637028121,0.101398826
3,power_law,0.501404163,0.126899897,0.078432788,0.233067729,0.233766372,0.007968127,0.008797747,0.755546267,0.083213689
4,exponential,0.473558925,0.12615599,0.081998919,0.250996016,0.25203458,0.005976096,0.006961062,0.684485653,0.093469001
4,gaussian,0.430507763,0.131213009,0.086863236,0.250996016,0.252418482,0.005976096,0.006852341,0.621635052,0.102356044
4,power_law,0.514381747,0.121165923,0.077120409,0.250996016,0.252061566,0.005976096,0.006872261,0.735742521,0.085540481
5,exponential,0.468972513,0.124922312,0.07963941,0.268924303,0.271505416,0.006972112,0.007795194,0.663717171,0.093688815
5,gaussian,0.429743695,0.129454324,0.084131506,0.268924303,0.271536292,0.006972112,0.0078501,0.597552939,0.102491955
5,power_law,0.494126977,0.12192767,0.076204528,0.268924303,0.270779663,0.006972112,0.007893987,0.716814661,0.085974722
6,exponential,0.422725437,0.13113838,0.082072248,0.236055777,0.236603866,0.007968127,0.008841882,0.680964578,0.090433259
6,gaussian,0.385449588,0.135306095,0.086380649,0.236055777,0.236834132,0.007968127,0.00880394,0.61508225,0.099332804
6,power_law,0.448728912,0.128150768,0.0786862,0.236055777,0.236218408,0.007968127,0.008618028,0.727092211,0.083640514
7,exponential,0.423688901,0.136940582,0.084535327,0.252988048,0.253741627,0.008964143,0.009772224,0.685988424,0.093951714
7,gaussian,0.383190896,0.141670382,0.08991821,0.252988048,0.253940893,0.008964143,0.009816858,0.617866221,0.103642908
7,power_law,0.453396839,0.133364349,0.079916108,0.252988048,0.253894765,0.008964143,0.009832732,0.734744151,0.086350401
8,exponential,0.42467384,0.135239996,0.086754564,0.243027888,0.243708012,0.006972112,0.007866378,0.669389575,0.097297435
8,gaussian,0.387296647,0.139563938,0.091615932,0.243027888,0.243797653,0.006972112,0.007871638,0.596468761,0.107493376
8,power_law,0.450480369,0.132172071,0.081975274,0.243027888,0.243188527,0.006972112,0.007873537,0.724691613,0.088787707
9,exponential,0.463905519,0.127689546,0.081412771,0.257968127,0.25915681,0.005976096,0.006870923,0.676290458,0.095357166
9,gaussian,0.414260008,0.133471061,0.086349355,0.257968127,0.259138291,0.005976096,0.006854302,0.614400317,0.104074401
9,power_law,0.516527683,0.121260815,0.076872765,0.257968127,0.25939741,0.005976096,0.006852216,0.725689838,0.087780193
10,exponential,0.487608044,0.127221599,0.080262672,0.255976096,0.257210284,0.006972112,0.007870331,0.718434044,0.089485441
