Parameter 1,Parameter 2,Pearson r,p-value,Significant,Strength,Direction,abs_r
scale1,exponent1,0.962,0.0000,YES,STRONG,POSITIVE (coupled),0.962
fx2,scale2,0.783,0.0000,YES,STRONG,POSITIVE (coupled),0.783
scale2,exponent2,0.761,0.0000,YES,STRONG,POSITIVE (coupled),0.761
fz1,fz2,0.740,0.0000,YES,STRONG,POSITIVE (coupled),0.74
fx1,scale1,0.724,0.0000,YES,STRONG,POSITIVE (coupled),0.724
fx1,exponent1,0.675,0.0000,YES,MODERATE,POSITIVE (coupled),0.675
fx2,fy2,0.610,0.0000,YES,MODERATE,POSITIVE (coupled),0.61
fy2,scale2,0.513,0.0000,YES,MODERATE,POSITIVE (coupled),0.513
fz1,scale1,-0.424,0.0000,YES,MODERATE,NEGATIVE (trade-off),0.424
fx2,scale1,0.416,0.0000,YES,MODERATE,POSITIVE (coupled),0.416
fx2,exponent1,0.394,0.0000,YES,WEAK,POSITIVE (coupled),0.394
fx2,exponent2,0.375,0.0001,YES,WEAK,POSITIVE (coupled),0.375
weight,exponent2,-0.373,0.0001,YES,WEAK,NEGATIVE (trade-off),0.373
fx2,weight,-0.327,0.0009,YES,WEAK,NEGATIVE (trade-off),0.327
fz1,exponent1,-0.323,0.0011,YES,WEAK,NEGATIVE (trade-off),0.323
fy2,fz2,0.311,0.0017,YES,WEAK,POSITIVE (coupled),0.311
weight,scale2,-0.305,0.0020,YES,WEAK,NEGATIVE (trade-off),0.305
fy1,scale1,-0.299,0.0025,YES,WEAK,NEGATIVE (trade-off),0.299
fz1,weight,0.285,0.0040,YES,WEAK,POSITIVE (coupled),0.285
fz2,exponent2,0.281,0.0046,YES,WEAK,POSITIVE (coupled),0.281
weight,scale1,-0.280,0.0048,YES,WEAK,NEGATIVE (trade-off),0.28
fx1,fz1,-0.259,0.0092,YES,WEAK,NEGATIVE (trade-off),0.259
fy1,exponent1,-0.247,0.0133,YES,WEAK,NEGATIVE (trade-off),0.247
scale1,scale2,0.244,0.0145,YES,WEAK,POSITIVE (coupled),0.244
fx1,fy1,-0.232,0.0204,YES,WEAK,NEGATIVE (trade-off),0.232
weight,pi0,0.228,0.0224,YES,WEAK,POSITIVE (coupled),0.228
fy2,weight,-0.227,0.0229,YES,WEAK,NEGATIVE (trade-off),0.227
fy2,fz1,0.223,0.0255,YES,WEAK,POSITIVE (coupled),0.223
fy2,exponent1,0.217,0.0301,YES,WEAK,POSITIVE (coupled),0.217
fz2,scale1,-0.214,0.0325,YES,WEAK,NEGATIVE (trade-off),0.214
exponent1,exponent2,-0.209,0.0368,YES,WEAK,NEGATIVE (trade-off),0.209
fz1,pi0,0.193,0.0538,NO,NEGLIGIBLE,POSITIVE (coupled),0.193
fy2,scale1,0.193,0.0549,NO,NEGLIGIBLE,POSITIVE (coupled),0.193
scale2,exponent1,0.190,0.0587,NO,NEGLIGIBLE,POSITIVE (coupled),0.19
fx1,exponent2,-0.186,0.0638,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.186
phi,exponent1,0.186,0.0646,NO,NEGLIGIBLE,POSITIVE (coupled),0.186
fy2,q_param,-0.183,0.0678,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.183
fz1,exponent2,0.178,0.0770,NO,NEGLIGIBLE,POSITIVE (coupled),0.178
fz2,exponent1,-0.167,0.0975,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.167
fy1,pi0,-0.166,0.0993,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.166
fy1,q_param,0.166,0.0987,NO,NEGLIGIBLE,POSITIVE (coupled),0.166
fz2,q_param,-0.155,0.1228,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.155
fy2,exponent2,0.153,0.1284,NO,NEGLIGIBLE,POSITIVE (coupled),0.153
phi,pi0,0.150,0.1375,NO,NEGLIGIBLE,POSITIVE (coupled),0.15
fx1,fx2,0.149,0.1399,NO,NEGLIGIBLE,POSITIVE (coupled),0.149
fz2,scale2,0.142,0.1576,NO,NEGLIGIBLE,POSITIVE (coupled),0.142
weight,phi,0.140,0.1652,NO,NEGLIGIBLE,POSITIVE (coupled),0.14
fz2,weight,0.136,0.1778,NO,NEGLIGIBLE,POSITIVE (coupled),0.136
scale2,q_param,-0.135,0.1818,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.135
fx1,fy2,0.132,0.1902,NO,NEGLIGIBLE,POSITIVE (coupled),0.132
fx2,fz1,-0.128,0.2028,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.128
fx2,q_param,-0.123,0.2215,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.123
