simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.328658231,0.109074204,0.054296561,0.301587302,0.302123822,0.006944444,0.007808656,0.66978644,0.069964506
0,gaussian,0.29714648,0.111604738,0.057102718,0.301587302,0.301858166,0.006944444,0.007828993,0.609539075,0.076079756
0,power_law,0.37291343,0.105417805,0.050732717,0.301587302,0.302203156,0.006944444,0.007796286,0.727898889,0.063510492
1,exponential,0.290535601,0.108698988,0.055464572,0.262896825,0.264232484,0.006944444,0.007830543,0.619340833,0.069648437
1,gaussian,0.270950449,0.110189122,0.057771528,0.262896825,0.263995133,0.006944444,0.007805866,0.562055421,0.074705539
1,power_law,0.338289442,0.104977018,0.051087153,0.262896825,0.263890253,0.006944444,0.007813027,0.711873526,0.060594723
2,exponential,0.249896077,0.124036923,0.059060572,0.277777778,0.278393539,0.011904762,0.012706163,0.65618166,0.065369854
2,gaussian,0.223302377,0.126216535,0.061863285,0.277777778,0.278413969,0.011904762,0.012711124,0.579723061,0.072273782
2,power_law,0.276649537,0.121804868,0.055905476,0.277777778,0.278324312,0.011904762,0.012675967,0.734374336,0.057457671
3,exponential,0.385325769,0.096659987,0.051406304,0.27281746,0.273392857,0.004960317,0.005872365,0.668107897,0.066556599
3,gaussian,0.358152104,0.098773465,0.054216979,0.27281746,0.273627604,0.004960317,0.005861607,0.597164568,0.073325747
3,power_law,0.407996426,0.094860715,0.048039617,0.27281746,0.273216022,0.004960317,0.00587376,0.730936167,0.059926695
4,exponential,0.279653547,0.121642716,0.054726026,0.283730159,0.285262494,0.010912698,0.011697421,0.680790931,0.066321265
4,gaussian,0.248110166,0.124277499,0.057879413,0.283730159,0.285495629,0.010912698,0.011693669,0.61280512,0.073043234
4,power_law,0.310178693,0.119037474,0.051494077,0.283730159,0.285666636,0.010912698,0.011763765,0.74703031,0.059040419
5,exponential,0.400916514,0.086556678,0.046241593,0.300595238,0.301415923,0.00297619,0.003900515,0.631876898,0.067866099
5,gaussian,0.348831399,0.090240945,0.050028725,0.300595238,0.301587705,0.00297619,0.003902933,0.515459383,0.077861263
5,power_law,0.431410696,0.084324981,0.043460911,0.300595238,0.301494544,0.00297619,0.003907614,0.699553988,0.061311166
6,exponential,0.325692596,0.109141614,0.055090813,0.264880952,0.265297836,0.006944444,0.007846881,0.634178863,0.072159276
