,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,2461.87807449909,3.88576507725611,17.752461907019132,-267.48512099636446,2.8355531277227115,21.885631304105573,False
1,0,gaussian,2,2147.0000658624103,3.181355363683906,20.79582375863349,-582.3631296330441,2.0588382362084365,17.655855485259327,False
2,0,power_law,0,2729.3631954954544,4.779677534755592,0.0,0.0,4.086628261875003,27.521665075227002,True
3,1,exponential,1,2096.9817211199907,3.9177379788870894,16.69682281226657,-296.0049023320744,3.6312018098326426,22.842934980620058,False
4,1,gaussian,2,1791.4799510764328,3.1523991801809643,19.52203356157875,-601.5066723756322,2.711841303938317,18.16635145957895,False
5,1,power_law,0,2392.986623452065,4.431363685300312,0.0,0.0,4.066769902261314,25.801313665988744,True
6,2,exponential,1,2096.496149932581,4.292280214961465,17.374422296194943,-287.7032261644754,4.379908458084872,25.427440419862755,False
7,2,gaussian,2,1785.5169106639537,3.323901928050873,20.75870194619485,-598.6824654331026,3.0643243769985524,19.354968740483848,False
8,2,power_law,0,2384.1993760970563,5.0609983259942055,0.0,0.0,5.341028126093354,30.160911278832522,True
9,3,exponential,1,2246.5499088575934,4.176378960258717,19.031173850755447,-276.3428551354509,3.84983874066305,24.332778612579766,False
10,3,gaussian,2,1934.115370624186,3.2308684540184913,22.44139458031051,-588.7773933688584,2.584232192152969,18.425829081725297,False
11,3,power_law,0,2522.8927639930444,5.2563512097849525,0.0,0.0,5.453923762755904,31.2320163151115,True
12,4,exponential,1,2247.786445299301,3.819377462096327,17.8634690572866,-319.0308345086123,3.134238403173966,21.866347842245304,False
13,4,gaussian,2,1941.371380833019,3.1198734704903472,21.248988382467406,-625.4458989748941,2.3491881656849007,17.649331733759748,False
14,4,power_law,0,2566.817279807913,4.794479476286597,0.0,0.0,4.445337240920715,27.96286034821999,True
15,5,exponential,1,2215.457739986743,3.8406871388087893,17.446385896827902,-291.1095250487274,3.2389352800595343,22.06935946717333,False
16,5,gaussian,2,1919.3615788324878,3.201421271076242,21.347190194329812,-587.2056862029826,2.55381902518778,18.248305096496953,False
17,5,power_law,0,2506.5672650354704,4.785654760156831,0.0,0.0,4.545206502571037,28.01211402659264,True
18,6,exponential,1,2281.116790140529,3.856941041196478,18.074060497151486,-274.2532916477985,3.126600267785058,22.00374339527392,False
19,6,gaussian,2,1971.319820751763,3.2010037972740975,20.73121610736688,-584.0502610365643,2.4317743115957065,18.08187749756655,False
20,6,power_law,0,2555.3700817883273,4.885289638410541,0.0,0.0,4.632580111111327,28.5537494358705,True
21,7,exponential,1,2364.625232562344,3.825190432517502,17.084925121992047,-282.50026435942755,2.9094691211390025,21.66346982360055,False
22,7,gaussian,2,2057.170870300908,3.1347738850736278,20.536812252739676,-589.9546266208636,2.145902603295476,17.515576002722355,False
23,7,power_law,0,2647.1254969217716,4.679397530007918,0.0,0.0,4.050738705950817,26.993835206846036,True
24,8,exponential,1,2520.8723645481546,4.100482902084423,17.534352882320466,-255.33087001264857,3.1483385972157842,23.256015101681268,False
25,8,gaussian,2,2200.404069404264,3.196908020713636,21.330761927489398,-575.799165156539,1.981106360364267,17.649522375076828,False
26,8,power_law,0,2776.203234560803,4.991467966335222,0.0,0.0,4.4167731760161235,28.89235264993929,True
