,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,942.5995766771919,7.705294319293671,12.741480930067258,-86.62368626206603,13.510154250843021,51.30761736609861,False
1,0,gaussian,2,768.3944978640526,9.093229039036942,18.45883938409023,-260.8287650752053,16.51027081798963,60.81797682728335,False
2,0,power_law,0,1029.223262939258,7.096088863976092,0.0,0.0,12.11711511880629,46.919864610397745,True
3,1,exponential,1,798.3481939210258,9.418193718937346,11.842089082656326,-95.77655346859683,17.22761830259702,63.44357572380055,False
4,1,gaussian,2,649.6672407703754,8.875684456617705,17.698170159318188,-244.45750661924717,16.450282187714382,60.027751095444,False
5,1,power_law,0,894.1247473896226,7.006700840785129,0.0,0.0,12.210056716983274,46.577606905943625,True
6,2,exponential,1,1038.3646985073647,7.750020741314302,13.573462361834782,-76.85031804024675,13.403272688793036,51.40859857906824,False
7,2,gaussian,2,841.6932670469705,11.8788676317821,18.433472983491665,-273.5217495006409,22.125789161778314,80.58030674487544,False
8,2,power_law,0,1115.2150165476114,7.314765707001698,0.0,0.0,12.37928963673389,48.24798522675439,True
9,3,exponential,1,961.1701070316927,7.5410769876056065,11.797317119456665,-79.97794291113394,13.1377393194814,50.11211476762718,False
10,3,gaussian,2,774.7546033751041,10.719368218721911,17.84007336771687,-266.39344656772255,19.75732693430133,72.06891220608297,False
11,3,power_law,0,1041.1480499428267,6.6946390915077245,0.0,0.0,11.288858565133502,44.116710040174866,True
12,4,exponential,1,855.5152164353769,9.317429583934768,13.230253848477684,-110.94896866604734,16.909184993989555,62.62403020114678,False
13,4,gaussian,2,709.0280150666683,6.891599614986944,18.82856579192907,-257.43617003475595,12.35255048449442,46.16099602395984,False
14,4,power_law,0,966.4641851014243,7.353318195761744,0.0,0.0,12.760767179895947,48.835564604105684,True
15,5,exponential,1,912.7570901741029,7.433227405155208,12.3709159952994,-80.22976403484438,13.017548332173533,49.45914877398313,False
16,5,gaussian,2,737.6233830494031,6.16986000492841,18.50088878250863,-255.36347115954425,10.830007272333663,41.04108071962224,False
