simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.22164226328359904,0.12583486470483293,0.07361892276482766,0.291,0.28853734375,0.006,0.00694871875,0.6856653601245837,0.07872432471104453
0,gaussian,-1.8680613891482913,0.24154918955279744,0.18896673874688327,0.291,0.28106653125,0.006,0.0069649375,-1.1744415094219236,0.20705546008834563
0,power_law,0.5497416871599714,0.09570667602251462,0.043165748689291496,0.291,0.2914260625,0.006,0.00687034375,0.8262814252946781,0.05852426270903363
1,exponential,0.167974929093881,0.1416623832568574,0.08329447595344361,0.263,0.26317590625,0.01,0.010858125,0.548593765371705,0.09377754565702272
1,gaussian,-1.6065603585405284,0.2507380421993712,0.19831828388498213,0.263,0.25853359375,0.01,0.0108680625,-1.576353935678846,0.22403601979859714
1,power_law,0.47100762443260025,0.11295645229903033,0.04787824502740628,0.263,0.26436653125,0.01,0.01076840625,0.8250615985130199,0.05837913591315848
2,exponential,0.18470820981101443,0.12955389216451685,0.07459252476552837,0.289,0.287531125,0.007,0.00792803125,0.6410117223555369,0.08204031466452114
2,gaussian,-1.807276822128327,0.24040115528134584,0.1887667761145525,0.289,0.2804695625,0.007,0.007969375,-1.343728469768438,0.20962391680748751
2,power_law,0.4887602064747478,0.10259028960271516,0.043770744758665985,0.289,0.28963734375,0.007,0.00784115625,0.8372340625087221,0.05524194303675134
3,exponential,0.22326817442696756,0.13259939271838514,0.07692801605158499,0.277,0.276184625,0.008,0.00886565625,0.6294119711017305,0.08636245456749028
3,gaussian,-1.6005703967550655,0.24262765023863195,0.19034932454333642,0.277,0.270407125,0.008,0.0089630625,-1.298665480793559,0.2150884902364167
3,power_law,0.49162714418856346,0.10727466372845372,0.046237657316670254,0.277,0.27804728125,0.008,0.008868125,0.8186897907236165,0.06040743756769362
4,exponential,0.16721214875568224,0.13893737366399236,0.0827399334452016,0.262,0.26235246875,0.01,0.0107989375,0.5169319341941466,0.09388653411123325
4,gaussian,-1.6941186677317912,0.24989654699452993,0.1985186407315231,0.262,0.2579411875,0.01,0.01085625,-1.801596490621634,0.22610071471235363
4,power_law,0.46874869592992263,0.11096905794779266,0.0459074460494806,0.262,0.2636011875,0.01,0.01085534375,0.8323036255042706,0.05531730066466206
5,exponential,0.12045464823406038,0.1344748763189226,0.08048942261801131,0.278,0.278163875,0.008,0.00885328125,0.5058782305203229,0.09261668603538006
5,gaussian,-1.8836030510860202,0.24348923926352473,0.19275203560373513,0.278,0.27501984375,0.008,0.00888390625,-1.90203354776808,0.22445198861121457
5,power_law,0.4583732907349589,0.10552663043371205,0.0454130755546729,0.278,0.2790945,0.008,0.0088608125,0.8094257102836311,0.05751808233306319
6,exponential,0.12247688218157071,0.12253643575992088,0.07365745085176076,0.265,0.26420403125,0.003,0.0039143125,0.5743317772078746,0.08819834243304644
6,gaussian,-2.388332634979855,0.240784751269458,0.1895593273016395,0.265,0.2601145,0.003,0.00397546875,-1.591838971671661,0.21763503821336527
6,power_law,0.5383728521544481,0.08887541285609445,0.04131842163742738,0.265,0.2657994375,0.003,0.00392703125,0.7899971584500295,0.061949441265901344
7,exponential,0.06451194415774963,0.14006520799905087,0.08090097310017132,0.282,0.28015803125,0.008,0.00888996875,0.5924351696278927,0.08567150605542088
7,gaussian,-1.9443061544802238,0.24848640360567287,0.1953225392506789,0.282,0.2742690625,0.008,0.0089776875,-1.6075233246894842,0.21669662742860477
7,power_law,0.4124601808345624,0.11100174335894748,0.046675109630958146,0.282,0.28236540625,0.008,0.00883709375,0.8251434881027452,0.056114998619019654
8,exponential,0.16997026443290653,0.13163418009122516,0.07423282676976903,0.256,0.2552946875,0.006,0.006911125,0.6530539930470448,0.08246105444511817
8,gaussian,-1.8606727298294246,0.24437452754676048,0.1898094866922701,0.256,0.2521094375,0.006,0.00693478125,-1.4343705746032942,0.21842949519236
8,power_law,0.4615615940314449,0.10602050341946866,0.04665505159598002,0.256,0.25639878125,0.006,0.0069063125,0.8082915201301419,0.061296912369609914
9,exponential,0.16598531616572654,0.13438239145389994,0.08067687161539992,0.268,0.267568625,0.007,0.00786259375,0.5655420607146158,0.092712609791611
9,gaussian,-1.828718472169868,0.24748585401273682,0.19603982471289164,0.268,0.26224546875,0.007,0.00790853125,-1.5156334417923265,0.22309437332932594
9,power_law,0.5131175560836244,0.102675676853911,0.04372406216512884,0.268,0.2691615,0.007,0.007881,0.8224311832621244,0.05927182338699248
10,exponential,0.238150935054963,0.12828252731167009,0.0734188647743872,0.288,0.287504625,0.007,0.00787828125,0.6643242516619754,0.08208255911559144
10,gaussian,-1.6392977290685504,0.23876860938494068,0.18688357877570266,0.288,0.2814803125,0.007,0.00794584375,-1.2319266070847945,0.21165613434906388
10,power_law,0.5079611418194594,0.10309384537739534,0.04434182516341769,0.288,0.289249,0.007,0.00788053125,0.834118630100181,0.05770184659906651
11,exponential,0.12970060190782118,0.12749823221562667,0.07318974648221595,0.274,0.27343046875,0.005,0.00593034375,0.6121237324930342,0.08400293391321262
11,gaussian,-2.1421183549056266,0.2422596533806073,0.1905890500570891,0.274,0.26956878125,0.005,0.005969875,-1.6451797025174062,0.21936909395181617
11,power_law,0.5049625966728819,0.09615875431706768,0.04244032412894455,0.274,0.27464521875,0.005,0.0059161875,0.8255639971169528,0.056333393530200185
12,exponential,0.07470408462353872,0.1396716229997936,0.07893892809978732,0.28,0.27829315625,0.008,0.0088961875,0.5923051642369227,0.08586062232973272
