simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.232541929,0.110447174,0.059049261,0.271,0.271923406,0.008,0.008837406,0.614819661,0.063782468
0,gaussian,0.064805391,0.121920933,0.069369177,0.271,0.272263844,0.008,0.008856656,0.267323681,0.087968126
0,power_law,0.298492018,0.105595057,0.05275575,0.271,0.272041719,0.008,0.008861063,0.629372747,0.062565935
1,exponential,0.195158481,0.115281043,0.060693715,0.286,0.287122938,0.009,0.0098595,0.599807793,0.06414599
1,gaussian,0.009283203,0.127902041,0.071159225,0.286,0.286588656,0.009,0.009854719,0.264497379,0.086961558
1,power_law,0.250801933,0.111224647,0.054390137,0.286,0.287223094,0.009,0.009818031,0.610849572,0.063254868
2,exponential,0.176703844,0.106349915,0.056392146,0.269,0.268904906,0.006,0.006923188,0.654412218,0.058872833
2,gaussian,0.030228913,0.115423362,0.066212904,0.269,0.269181938,0.006,0.006868406,0.342908519,0.081179928
2,power_law,0.247847483,0.101651095,0.050850444,0.269,0.269185688,0.006,0.006893938,0.641473801,0.059964773
3,exponential,0.252774857,0.098735284,0.056119532,0.279,0.279332688,0.005,0.005943313,0.632500884,0.061610625
3,gaussian,-0.018915733,0.115296407,0.067305768,0.279,0.278906,0.005,0.005918656,0.271783258,0.086727694
3,power_law,0.310081139,0.094873659,0.050748381,0.279,0.279597625,0.005,0.005892938,0.611076415,0.063381076
4,exponential,0.198225147,0.1274178,0.068486573,0.264,0.265414625,0.013,0.013766875,0.573997516,0.067138653
4,gaussian,0.021183554,0.140784394,0.077496412,0.264,0.264922125,0.013,0.013784031,0.199246538,0.092048342
4,power_law,0.237870936,0.124227615,0.059891646,0.264,0.265798219,0.013,0.013747469,0.607232224,0.064466558
5,exponential,0.215379052,0.096371088,0.055722496,0.304,0.304609563,0.004,0.004932813,0.610703601,0.062506502
5,gaussian,0.023431797,0.107514763,0.064394908,0.304,0.304464281,0.004,0.004926406,0.250873844,0.086708661
5,power_law,0.281875493,0.092196978,0.049767319,0.304,0.305037406,0.004,0.004939188,0.580112803,0.064915935
6,exponential,0.175574922,0.125898857,0.066431401,0.258,0.258494938,0.011,0.011821156,0.579259436,0.069552746
6,gaussian,0.003708718,0.13840104,0.07620714,0.258,0.258282688,0.011,0.01180025,0.299785616,0.089726887
6,power_law,0.229677432,0.121697737,0.059493062,0.258,0.258643781,0.011,0.011800188,0.600540497,0.067770933
7,exponential,0.189199603,0.120092997,0.063047353,0.288,0.288750594,0.01,0.010840094,0.616441685,0.064673142
7,gaussian,0.043420515,0.130443138,0.072460652,0.288,0.289119094,0.01,0.010817469,0.260258774,0.089814854
7,power_law,0.21910653,0.117857331,0.057665685,0.288,0.288982125,0.01,0.010821719,0.604349683,0.065684669
8,exponential,0.213605033,0.099987011,0.055880258,0.279,0.278842156,0.005,0.005932813,0.641503707,0.05942779
8,gaussian,-0.043842483,0.115196877,0.070066552,0.279,0.279276313,0.005,0.005872531,0.214804822,0.087950043
8,power_law,0.267597332,0.096493527,0.051136362,0.279,0.279262469,0.005,0.005898531,0.615861587,0.061516428
9,exponential,0.158222958,0.118694848,0.061804608,0.283,0.283292844,0.009,0.009833594,0.615140808,0.064117088
9,gaussian,0.010971042,0.128658307,0.072285564,0.283,0.282566406,0.009,0.009876406,0.297960389,0.086597164
9,power_law,0.228534715,0.113629612,0.055124851,0.283,0.283681438,0.009,0.009819344,0.634309938,0.062499917
10,exponential,0.183059246,0.111100828,0.058871494,0.277,0.277696563,0.008,0.008865813,0.592097998,0.062590504
10,gaussian,-0.022724023,0.124308619,0.070569408,0.277,0.277739875,0.008,0.008858281,0.139176197,0.090925912
10,power_law,0.251321236,0.106357904,0.051127292,0.277,0.278247625,0.008,0.008849688,0.621932951,0.060258033
11,exponential,0.205559578,0.105132947,0.057834625,0.288,0.288435344,0.006,0.006841375,0.625715396,0.062189983
11,gaussian,0.021733383,0.11666398,0.068198885,0.288,0.288612219,0.006,0.006888,0.207460121,0.090496132
11,power_law,0.27689179,0.100302052,0.051537855,0.288,0.288757563,0.006,0.006879688,0.611520732,0.06335828
12,exponential,0.212629601,0.11626121,0.061204996,0.273,0.273661031,0.009,0.009769688,0.644494802,0.063140512
12,gaussian,0.159065204,0.120150742,0.068306765,0.273,0.272975563,0.009,0.009864594,0.470741774,0.077040471
12,power_law,0.277422255,0.111374967,0.053088174,0.273,0.274064281,0.009,0.009803906,0.642628106,0.063306065
13,exponential,0.290873119,0.090982555,0.052062643,0.275,0.275543906,0.003,0.003931,0.674226447,0.059317937
13,gaussian,0.051386615,0.105230293,0.064358533,0.275,0.275558625,0.003,0.003907094,0.239272692,0.090644745
13,power_law,0.362614938,0.086257545,0.047176759,0.275,0.275662625,0.003,0.003931719,0.63970999,0.062381273
14,exponential,0.23539281,0.107265111,0.059083208,0.288,0.288288375,0.007,0.007858313,0.63763772,0.062319425
14,gaussian,-0.013086369,0.123470308,0.071097145,0.288,0.288265406,0.007,0.007872281,0.240873533,0.090200513
14,power_law,0.290192717,0.103349772,0.05321218,0.288,0.288709625,0.007,0.007843625,0.615145943,0.064224388
15,exponential,0.235708918,0.101119066,0.056066804,0.264,0.264516031,0.005,0.005903469,0.651006261,0.06090009
