simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.262590895,0.109894135,0.057346159,0.26984127,0.270876178,0.007936508,0.008776631,0.561645735,0.070129364
0,gaussian,0.233032735,0.112074982,0.060129929,0.26984127,0.270923828,0.007936508,0.008783761,0.494228087,0.075329422
0,power_law,0.309531111,0.106338939,0.053594574,0.26984127,0.270946429,0.007936508,0.008812283,0.643979827,0.063201092
1,exponential,0.211906284,0.114873911,0.059531551,0.285714286,0.286761781,0.008928571,0.00977598,0.501585267,0.072843435
1,gaussian,0.1891669,0.116519392,0.061781156,0.285714286,0.286834945,0.008928571,0.009758805,0.440137277,0.077203281
1,power_law,0.251591529,0.111944258,0.05559592,0.285714286,0.286976159,0.008928571,0.009745536,0.615526666,0.063977622
2,exponential,0.217867784,0.1078233,0.056630828,0.268849206,0.269045852,0.006944444,0.007806641,0.550900214,0.068345742
2,gaussian,0.19408281,0.109450498,0.058941329,0.268849206,0.269119203,0.006944444,0.007817894,0.481434617,0.073441544
2,power_law,0.263149179,0.104655563,0.052669195,0.268849206,0.268951048,0.006944444,0.007810981,0.650345182,0.060305899
3,exponential,0.292787972,0.098429026,0.055279191,0.277777778,0.278403026,0.004960317,0.005841363,0.533538991,0.072196775
3,gaussian,0.267279189,0.100188444,0.057699544,0.277777778,0.278602028,0.004960317,0.005863095,0.465525577,0.077281152
3,power_law,0.334185022,0.095504789,0.05068658,0.277777778,0.278346602,0.004960317,0.005865234,0.642794462,0.063178486
4,exponential,0.21278879,0.130527041,0.066840396,0.262896825,0.264436415,0.013888889,0.014635355,0.499044042,0.07560298
4,gaussian,0.187618431,0.132597364,0.069287721,0.262896825,0.264316964,0.013888889,0.014573661,0.442826913,0.079732284
4,power_law,0.25626271,0.126871665,0.06113992,0.262896825,0.264231368,0.013888889,0.014636626,0.624754042,0.065433048
5,exponential,0.269780558,0.093566226,0.052622715,0.303571429,0.304254092,0.003968254,0.004895926,0.501665113,0.071397011
5,gaussian,0.251701959,0.094717389,0.054596365,0.303571429,0.304507906,0.003968254,0.004886533,0.448677188,0.075096961
5,power_law,0.293504965,0.092033719,0.050110524,0.303571429,0.304304346,0.003968254,0.00488613,0.576020694,0.065855449
6,exponential,0.201588789,0.124503676,0.064052662,0.258928571,0.259380487,0.010912698,0.011685609,0.512513206,0.075953989
6,gaussian,0.181238199,0.12608042,0.06658196,0.258928571,0.259535559,0.010912698,0.011714255,0.45046251,0.080643213
6,power_law,0.234568389,0.121905151,0.059846803,0.258928571,0.259716766,0.010912698,0.011940724,0.620459852,0.067019012
7,exponential,0.218035236,0.119000837,0.06053273,0.288690476,0.289823041,0.009920635,0.010708023,0.537111291,0.072682105
7,gaussian,0.194790456,0.120756601,0.062760399,0.288690476,0.289836,0.009920635,0.010684958,0.476169713,0.077318693
7,power_law,0.238063558,0.117466978,0.057757668,0.288690476,0.289753224,0.009920635,0.010732887,0.623097672,0.065584863
8,exponential,0.270362038,0.098109759,0.054572762,0.277777778,0.277962922,0.004960317,0.005890935,0.565448909,0.067440809
8,gaussian,0.253073347,0.099265304,0.05666293,0.277777778,0.278295108,0.004960317,0.005856213,0.501117418,0.072260592
8,power_law,0.301109211,0.096020321,0.051130802,0.277777778,0.278078435,0.004960317,0.005830667,0.637350801,0.06160922
9,exponential,0.191538439,0.11725352,0.059648877,0.282738095,0.283670046,0.008928571,0.009730562,0.507607262,0.073936614
9,gaussian,0.16934819,0.118851786,0.061821159,0.282738095,0.283575583,0.008928571,0.009777933,0.449132218,0.078203722
9,power_law,0.232059621,0.114277296,0.055591233,0.282738095,0.28319863,0.008928571,0.009737382,0.643997032,0.06286813
10,exponential,0.23777532,0.108820883,0.055641805,0.275793651,0.276890346,0.007936508,0.008765315,0.516416995,0.07022249
10,gaussian,0.21184715,0.110656255,0.057653233,0.275793651,0.27698298,0.007936508,0.008778305,0.461252407,0.074119654
10,power_law,0.269345727,0.106543438,0.052201933,0.275793651,0.276940941,0.007936508,0.008786427,0.615006974,0.062656646
11,exponential,0.237332937,0.105039281,0.057230888,0.288690476,0.28959933,0.005952381,0.006810702,0.500911175,0.074417545
11,gaussian,0.215903385,0.106504764,0.059222223,0.288690476,0.289710875,0.005952381,0.006808005,0.44148933,0.078723094
11,power_law,0.287874013,0.10149921,0.053057313,0.288690476,0.289585131,0.005952381,0.006825738,0.618928163,0.06502642
12,exponential,0.230377265,0.11567344,0.058156969,0.271825397,0.27274197,0.008928571,0.009789993,0.537476842,0.07308133
12,gaussian,0.200090618,0.117927503,0.060982352,0.271825397,0.272899275,0.008928571,0.009802455,0.457913393,0.07911777
12,power_law,0.291012642,0.111023254,0.053662194,0.271825397,0.272578528,0.008928571,0.009782242,0.659278508,0.062724826
13,exponential,0.323295955,0.091432885,0.052818606,0.274801587,0.275633867,0.00297619,0.003906126,0.541092502,0.073172846
13,gaussian,0.288345158,0.093764348,0.055339789,0.274801587,0.275784412,0.00297619,0.003909257,0.466293511,0.078911193
13,power_law,0.383194795,0.087292524,0.047911378,0.274801587,0.275436136,0.00297619,0.003927083,0.668011092,0.062237072
14,exponential,0.276922783,0.109012104,0.057956242,0.285714286,0.286387308,0.007936508,0.008805773,0.545793281,0.07204658
14,gaussian,0.243661722,0.111491157,0.061134958,0.285714286,0.286213666,0.007936508,0.008770399,0.473961814,0.077534543
14,power_law,0.323140746,0.105470637,0.053263127,0.285714286,0.286613715,0.007936508,0.008795635,0.658454277,0.062475684
15,exponential,0.274163094,0.100560225,0.055273073,0.262896825,0.263752418,0.004960317,0.005851283,0.538838359,0.07229199
15,gaussian,0.248005049,0.102356205,0.05816578,0.262896825,0.263502232,0.004960317,0.005922526,0.473496629,0.077243896
15,power_law,0.329626567,0.096641823,0.049942263,0.262896825,0.264581473,0.004960317,0.005842417,0.655672312,0.062466844
16,exponential,0.19813213,0.114254642,0.05891699,0.304563492,0.304663845,0.008928571,0.009757781,0.540839772,0.06877587
16,gaussian,0.174508566,0.115925434,0.061220935,0.304563492,0.304779793,0.008928571,0.009806672,0.461888855,0.074454329
16,power_law,0.241222158,0.111142399,0.054266695,0.304563492,0.304422526,0.008928571,0.009774461,0.671977365,0.058130742
17,exponential,0.170442294,0.118954997,0.059825301,0.285714286,0.28657332,0.009920635,0.01077167,0.503350137,0.070503613
17,gaussian,0.154945293,0.120060958,0.061578103,0.285714286,0.286647817,0.009920635,0.010707372,0.450333351,0.074171303
17,power_law,0.193027801,0.117324491,0.056484495,0.285714286,0.286621838,0.009920635,0.010765749,0.604543376,0.062912311
18,exponential,0.215229317,0.124467542,0.0642722,0.297619048,0.298432881,0.010912698,0.011692026,0.525025131,0.077432832
18,gaussian,0.188998008,0.126530636,0.067280762,0.297619048,0.298174355,0.010912698,0.011781343,0.443263479,0.083832937
18,power_law,0.249684738,0.121704495,0.059214969,0.297619048,0.298425099,0.010912698,0.011798983,0.649117251,0.06655349
19,exponential,0.307516012,0.104340947,0.054592969,0.281746032,0.281724795,0.005952381,0.006604787,0.574695157,0.073464482
19,gaussian,0.275892894,0.106696779,0.05752124,0.281746032,0.283482422,0.005952381,0.006803323,0.498600518,0.079766254
19,power_law,0.333208771,0.102387006,0.051386583,0.281746032,0.283054998,0.005952381,0.006807292,0.665603626,0.065141542
20,exponential,0.200715809,0.110493484,0.054507329,0.266865079,0.2677469,0.008928571,0.009753131,0.548711751,0.062448168
20,gaussian,0.191110368,0.111155432,0.056323695,0.266865079,0.268201668,0.008928571,0.009781529,0.494673649,0.066081313
20,power_law,0.213812457,0.109584501,0.052328077,0.266865079,0.267751953,0.008928571,0.00975527,0.624698082,0.056948604
21,exponential,0.276419924,0.096923718,0.055411568,0.26984127,0.270404793,0.003968254,0.004898872,0.501866997,0.074645837
21,gaussian,0.251720848,0.098564061,0.057484769,0.26984127,0.270548084,0.003968254,0.004890935,0.443559129,0.078893722
21,power_law,0.32299307,0.0937526,0.05164746,0.26984127,0.270606244,0.003968254,0.004870009,0.602777623,0.066657617
