,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,2,665.2587418505262,26.826673707133182,6.290384982527603,-47.18222845164382,52.70134016992945,185.54417932031794,False
1,0,gaussian,1,667.7681867277241,7.947610155196003,9.439885524517416,-44.67278357444593,14.552944995512508,53.59821628247484,False
2,0,power_law,0,712.4409703021701,69.98885485070821,0.0,0.0,150.43175865665398,523.8203844417014,True
3,1,exponential,2,556.2666992930162,18.468203657017625,4.772488072706087,-32.64275514685892,35.68461338874386,126.15108988954653,False
4,1,gaussian,1,559.5533458729797,7.4299294896862875,7.9247439123469,-29.3561085668955,13.72702817375948,50.213336843284665,False
5,1,power_law,0,588.9094544398752,87.1820536455989,0.0,0.0,185.76828755726163,645.4479699185189,True
6,2,exponential,2,734.3402350548056,27.28888283626293,10.182804991903199,-48.22387500964123,53.116350444597046,187.31731491908815,False
7,2,gaussian,1,742.8240190470923,7.5877175344541,9.761673551406508,-39.74009101735453,13.667272755192071,50.900788683501574,False
8,2,power_law,0,782.5641100644468,37.284440557405674,0.0,0.0,81.88704868972393,287.0608884730022,True
9,3,exponential,2,678.3824425842291,23.28103468929021,4.541082130446507,-18.86030687909249,45.033336186108194,159.08458352489245,False
10,3,gaussian,1,684.0395287210298,7.706785309140173,5.683484971541058,-13.203220742291819,14.03401916422721,51.88264107858851,False
11,3,power_law,0,697.2427494633216,115.09649878512835,0.0,0.0,244.27317166934623,848.3522864199617,True
12,4,exponential,1,630.6618280811681,7.210378050597569,6.014972719820622,-37.54722344058291,13.155822521919399,48.584330137877195,False
13,4,gaussian,2,621.5448730127208,7.963483019906221,9.729665539432661,-46.664178509030194,14.676389154996,53.799657439029104,False
14,4,power_law,0,668.209051521751,64.17013127666326,0.0,0.0,136.62779900201426,475.8645926963963,True
15,5,exponential,1,662.5193232122958,13.952413053801592,6.272336445289148,-60.860750181007006,26.19571366482332,93.84609489677804,False
16,5,gaussian,2,658.9304176832861,8.120891403551013,11.008298460037677,-64.44965571001671,14.89138847390336,54.72592618053207,False
17,5,power_law,0,723.3800733933028,34.282044081408,0.0,0.0,70.66259048220735,247.94849369252415,True
18,6,exponential,2,734.7756285516539,16.641014855487583,9.6952932782616,-39.57882845576967,32.23859995369711,115.10116164209555,False
19,6,gaussian,1,736.6056493340386,8.0781154121496,9.508378693396086,-37.74880767338493,14.676208140812694,54.36044355987419,False
20,6,power_law,0,774.3544570074235,55.59295847590772,0.0,0.0,115.49674093796352,403.2785390639771,True
21,7,exponential,2,570.6498511343088,29.48891894594567,11.591870787010066,-60.869033534761684,57.9723228820187,203.3164810209656,False
22,7,gaussian,1,579.555418376597,7.449123591649823,10.94567236751523,-51.96346629247353,13.731854628181077,50.32756918100338,False
23,7,power_law,0,631.5188846690705,40.791745442998604,0.0,0.0,85.96856485352217,300.44602685660624,True
24,8,exponential,1,699.3780600509751,12.71065544119324,14.584884095571121,-55.18356502170582,23.736966214383493,85.52101144171286,False
25,8,gaussian,2,696.1605340376173,8.000164104032478,11.707206439779473,-58.4010910350637,14.594800066346046,53.881590159559344,False
26,8,power_law,0,754.561625072681,30.876170778923893,0.0,0.0,62.45676301012441,219.72270861322397,True
27,9,exponential,2,594.5802938661709,24.242029284168666,6.455415646015523,-13.155816180902775,47.29315017981765,166.4927425390164,False
28,9,gaussian,1,602.9317554809932,7.363143578729478,4.921188293898509,-4.804354566080519,13.509188077665629,49.67143559028883,True
29,9,power_law,0,607.7361100470737,118.42314672654516,0.0,0.0,263.56363232079354,914.6120460196222,True
30,10,exponential,2,650.0694913634936,23.864039337808663,5.923906485566804,-33.180814825361495,46.89593646114767,165.38862155953387,False
31,10,gaussian,1,655.0954733068553,7.63551545547341,7.998907439088054,-28.154832881999823,13.953910351241175,51.46424726814901,False
32,10,power_law,0,683.2503061888551,89.26803416731786,0.0,0.0,193.61099530543535,673.0235747924969,True
33,11,exponential,1,615.2812224370631,9.235312357559792,7.2391843144944525,-20.903698068779136,17.084414482626393,62.09889022747708,False
34,11,gaussian,2,610.2865944338587,8.508428761177129,7.344875929020814,-25.898326071983547,15.776798115766425,57.55125672849931,False
