,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,2718.5135318117846,17.9249134274869,3.1308317320676964,-6.149907308991715,30.15410489746826,117.55462902670477,True
1,0,gaussian,2,2637.7586690355893,38.1809909827175,14.026109585684235,-86.90477008518701,72.59327790185407,263.87498583905926,False
2,0,power_law,0,2724.6634391207763,15.341590672193433,0.0,0.0,24.493768114382203,98.01773707466457,True
3,1,exponential,1,2380.96530687091,17.33051031022751,3.0893638000774377,-6.492717523958163,29.693316015985012,114.3092719287689,False
4,1,gaussian,2,2345.6010366788178,23.583587751115374,7.95745604275979,-41.8569877160503,42.16761045596053,157.2622630332051,False
5,1,power_law,0,2387.458024394868,14.921473505436097,0.0,0.0,24.68976610524693,97.04372895842894,True
6,2,exponential,1,2363.8559473721134,21.82960752401914,3.284169891953575,-10.806439909898018,37.894831281252316,142.5819248447869,False
7,2,gaussian,2,2298.1454022642374,44.32427909990565,10.604803422815614,-76.516985017774,84.32434843201663,302.7757846170967,False
8,2,power_law,0,2374.6623872820114,15.055035511093138,0.0,0.0,24.972507670005193,97.9584511939256,True
9,3,exponential,1,2486.589606225837,35.43702587609323,4.999315601655109,-30.578686853810723,66.34715734863582,241.54334327912795,False
10,3,gaussian,2,2430.6442808370375,48.71268560386943,12.092498564704588,-86.5240122426103,95.22738828440872,341.1120152583096,False
11,3,power_law,0,2517.168293079648,16.288232876976508,0.0,0.0,27.032616187957135,105.77823373779783,True
12,4,exponential,1,2552.498350146661,18.56377673553243,2.9989485057964367,-9.218918286122516,31.862891292223765,122.64932217191,False
13,4,gaussian,2,2483.091928359972,38.94775790572021,11.924658369742186,-78.62534007281147,73.74831129282693,267.115079266929,False
14,4,power_law,0,2561.7172684327834,15.589872097440093,0.0,0.0,25.703632388215702,101.4020210861649,True
15,5,exponential,1,2484.6833290489403,27.543771797572845,4.100514392337683,-15.941916772579134,49.93492349742345,184.7967701322315,False
16,5,gaussian,2,2431.696170249491,33.06683509300501,9.629844090685472,-68.92907557202852,60.97844387964378,222.71747364755996,False
17,5,power_law,0,2500.6252458215195,18.81825701069465,0.0,0.0,32.09801716704804,123.209645593131,True
18,6,exponential,1,2548.3427148890896,19.178497975890423,2.971866531984072,-4.562593335206657,32.81164696396671,125.90960222036377,True
19,6,gaussian,2,2502.2411194708006,35.29561724885389,9.139818687820759,-50.66418875349564,65.6577534289221,239.24079721211686,False
20,6,power_law,0,2552.9053082242963,16.73337896188559,0.0,0.0,27.7128085850539,108.30562579925748,True
21,7,exponential,1,2626.7910301651054,26.43647933596594,3.6878058065563737,-16.96853810039238,47.238887812488585,176.17161476234662,False
22,7,gaussian,2,2579.194512741174,35.893040800021026,10.205980674598791,-64.56505552432372,68.01560327407236,247.76695114028735,False
23,7,power_law,0,2643.759568265498,16.09300359969211,0.0,0.0,26.361759928315443,104.07914308008054,True
24,8,exponential,1,2773.191937138762,18.75251350432518,2.325950791454002,-2.5343659273717094,31.756430041308068,123.36148683384494,True
25,8,gaussian,2,2702.027902495186,33.467099053818856,10.680908299806667,-73.6984005709478,61.61050418983651,226.2236212978073,False
26,8,power_law,0,2775.726303066134,16.275451117835928,0.0,0.0,26.641737332865574,105.69214836092264,True
27,9,exponential,1,2502.859507962363,19.031647974993575,3.096487244808707,-5.074333819363346,32.821696127594606,125.72134966788414,True
28,9,gaussian,2,2413.768745967351,52.6918154406294,13.113266911148953,-94.16509581437504,102.24921549943276,365.30848178469944,False
29,9,power_law,0,2507.933841781726,16.296731350878872,0.0,0.0,27.063861623143083,105.84146628420392,True
30,10,exponential,1,2309.232857960741,17.159393202587125,3.0337846788517093,-8.258380248604226,29.537518110129447,113.41937996797846,False
31,10,gaussian,2,2238.4842157408225,36.138094799558075,10.89657532197131,-79.00702246852279,68.46980871832743,247.66882048163663,False
32,10,power_law,0,2317.4912382093453,14.92219680722701,0.0,0.0,24.77911938118622,97.01039205341705,True
