,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400,n_fz1,fz1_post_mean_avg,fz1_post_mean_sd,fz1_post_mean_min,fz1_post_mean_max,fz1_bias_mean,fz1_bias_sd,fz1_rmse,fz1_mae,fz1_coverage_rate,fz1_n_covered,fz1_n_rhat_nan,fz1_rhat_mean,fz1_rhat_max,fz1_n_rhat_above_1.01,fz1_ess_bulk_min,fz1_ess_bulk_mean,fz1_n_ess_below_400,n_fz2,fz2_post_mean_avg,fz2_post_mean_sd,fz2_post_mean_min,fz2_post_mean_max,fz2_bias_mean,fz2_bias_sd,fz2_rmse,fz2_mae,fz2_coverage_rate,fz2_n_covered,fz2_n_rhat_nan,fz2_rhat_mean,fz2_rhat_max,fz2_n_rhat_above_1.01,fz2_ess_bulk_min,fz2_ess_bulk_mean,fz2_n_ess_below_400
0,0,power_law,0.19,1.01,1261.0,-4.81,4.81,96.2,0,1,0.437,1.27,11.0,-1.563,1.563,78.14999999999999,0,0,0.012,1.0,8870.0,0.002,0.002,20.0,1,1,0.294,1.0,3550.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,7.032,1.29,10.0,-10.968,10.968,60.93333333333333,0,0,4,0.1935,0.07520804478245662,0.101,0.286,0.1935,0.07520804478245662,0.2076017822659526,0.1935,1.0,4,0,1.085,1.23,2,110.0,4482.0,1,4,0.1935,0.07520804478245662,0.101,0.286,0.1935,0.07520804478245662,0.2076017822659526,0.1935,1.0,4,0,1.085,1.23,2,110.0,4482.0,1,4,25.42175,20.08503462002244,-0.225,50.819,25.42175,20.08503462002244,32.398672638705435,25.53425,0.75,3,0,1.2650000000000001,1.53,2,7.0,5440.25,2,4,25.42175,20.08503462002244,-0.225,50.819,-24.57825,20.08503462002244,31.74112456656191,24.987750000000002,0.75,3,0,1.2650000000000001,1.53,2,7.0,5440.25,2,4,0.59975,0.007395099728874527,0.592,0.609,-0.0002500000000000002,0.007395099728874527,0.007399324293474377,0.0072500000000000064,1.0,4,0,1.0875000000000001,1.09,4,28.0,28.75,4,4,0.59975,0.007395099728874527,0.592,0.609,-0.20025000000000007,0.007395099728874527,0.2003865015413963,0.20025000000000007,1.0,4,0,1.0875000000000001,1.09,4,28.0,28.75,4
1,1,power_law,0.14,1.0,5743.0,-4.86,4.86,97.2,0,1,0.4,1.11,22.0,-1.6,1.6,80.0,0,0,0.014,1.0,19813.0,0.004,0.004,40.0,1,1,0.312,1.0,24233.0,0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,7.204,1.06,43.0,-10.796,10.796,59.977777777777774,0,0,4,0.10124999999999999,0.049585154028196785,0.065,0.186,0.10124999999999999,0.049585154028196785,0.11273974454468132,0.10124999999999999,1.0,4,0,1.0175,1.03,2,6194.0,10973.25,0,4,0.10124999999999999,0.049585154028196785,0.065,0.186,0.10124999999999999,0.049585154028196785,0.11273974454468132,0.10124999999999999,1.0,4,0,1.0175,1.03,2,6194.0,10973.25,0,4,21.98175,16.459693562988953,-0.359,38.04,21.98175,16.459693562988953,27.461224394589546,22.16125,1.0,4,0,1.3975,1.53,3,7.0,1792.25,3,4,21.98175,16.459693562988953,-0.359,38.04,-28.018250000000002,16.459693562988953,32.49528958556917,28.018250000000002,0.75,3,0,1.3975,1.53,3,7.0,1792.25,3,4,0.5812499999999999,0.002487468592766552,0.578,0.585,-0.018750000000000017,0.002487468592766552,0.018914280319377755,0.018750000000000017,1.0,4,0,1.0225,1.03,4,115.0,131.75,4,4,0.5812499999999999,0.002487468592766552,0.578,0.585,-0.21875000000000008,0.002487468592766552,0.21876414239998299,0.21875000000000008,1.0,4,0,1.0225,1.03,4,115.0,131.75,4
2,2,power_law,0.184,1.0,4448.0,-4.816,4.816,96.32,0,1,0.389,1.16,17.0,-1.611,1.611,80.55,0,0,0.011,1.0,4564.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.292,1.0,17054.0,-0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,6.449,1.07,34.0,-11.551,11.551,64.17222222222222,0,0,4,0.23199999999999998,0.11896007733689484,0.105,0.418,0.23199999999999998,0.11896007733689484,0.2607211153704279,0.23199999999999998,1.0,4,0,1.02,1.08,1,10137.0,12042.25,0,4,0.23199999999999998,0.11896007733689484,0.105,0.418,0.23199999999999998,0.11896007733689484,0.2607211153704279,0.23199999999999998,1.0,4,0,1.02,1.08,1,10137.0,12042.25,0,4,31.4175,21.015710141463217,-0.319,50.691,31.4175,21.015710141463217,37.79840445045267,31.577,0.5,2,0,1.1825,1.73,1,6.0,7205.75,1,4,31.4175,21.015710141463217,-0.319,50.691,-18.5825,21.01571014146322,28.052974512518276,18.9805,0.75,3,0,1.1825,1.73,1,6.0,7205.75,1,4,0.5042500000000001,0.0037666297933298446,0.498,0.508,-0.09574999999999997,0.003766629793329844,0.09582405752210661,0.09574999999999997,1.0,4,0,1.0625,1.07,4,35.0,38.75,4,4,0.5042500000000001,0.0037666297933298446,0.498,0.508,-0.29575000000000007,0.003766629793329844,0.2957739846572041,0.29575000000000007,1.0,4,0,1.0625,1.07,4,35.0,38.75,4
3,3,power_law,0.15,1.01,905.0,-4.85,4.85,97.0,0,1,0.421,1.22,12.0,-1.579,1.579,78.95,0,0,0.008,1.0,29916.0,-0.002,0.002,20.0,1,1,0.303,1.0,34355.0,0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,6.827,1.14,18.0,-11.173,11.173,62.072222222222216,0,0,4,0.12975000000000003,0.04244628959049307,0.069,0.171,0.12975000000000003,0.04244628959049307,0.13651648252134246,0.12975000000000003,1.0,4,0,1.0625,1.13,2,759.0,10764.75,0,4,0.12975000000000003,0.04244628959049307,0.069,0.171,0.12975000000000003,0.04244628959049307,0.13651648252134246,0.12975000000000003,1.0,4,0,1.0625,1.13,2,759.0,10764.75,0,4,12.40725,0.3355565339849608,11.841,12.719,12.40725,0.3355565339849608,12.411786767021097,12.40725,1.0,4,0,1.53,1.53,4,7.0,7.0,4,4,12.40725,0.3355565339849608,11.841,12.719,-37.59275,0.33555653398495994,37.594247575260766,37.59275,1.0,4,0,1.53,1.53,4,7.0,7.0,4,4,0.60725,0.011583932838203106,0.593,0.625,0.0072500000000000064,0.011583932838203106,0.013665650368716462,0.01075000000000001,1.0,4,0,1.0350000000000001,1.04,4,64.0,84.0,4,4,0.60725,0.011583932838203106,0.593,0.625,-0.19275000000000006,0.011583932838203106,0.19309777316168103,0.19275000000000006,1.0,4,0,1.0350000000000001,1.04,4,64.0,84.0,4
4,4,power_law,0.141,1.0,7204.0,-4.859,4.859,97.18,0,1,0.416,1.31,10.0,-1.584,1.584,79.2,0,0,0.02,1.0,29466.0,0.01,0.01,100.0,0,1,0.287,1.0,29287.0,-0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,7.209,1.24,12.0,-10.791,10.791,59.95,0,0,4,0.119,0.034576003239240934,0.064,0.149,0.119,0.034576003239240934,0.1239213460223863,0.119,1.0,4,0,1.0474999999999999,1.15,2,1114.0,12221.5,0,4,0.119,0.034576003239240934,0.064,0.149,0.119,0.034576003239240934,0.1239213460223863,0.119,1.0,4,0,1.0474999999999999,1.15,2,1114.0,12221.5,0,4,18.6525,19.035082157689782,-0.835,50.221,18.6525,19.035082157689782,26.65051798746133,19.07,0.75,3,0,1.2650000000000001,1.53,2,7.0,8770.0,2,4,18.6525,19.035082157689782,-0.835,50.221,-31.347499999999997,19.035082157689782,36.674243127841095,31.458,0.75,3,0,1.2650000000000001,1.53,2,7.0,8770.0,2,4,0.61025,0.005804093383121955,0.605,0.619,0.010250000000000009,0.005804093383121955,0.011779218989389757,0.010250000000000009,1.0,4,0,1.0675000000000001,1.07,4,37.0,39.25,4,4,0.61025,0.005804093383121955,0.605,0.619,-0.18975000000000006,0.005804093383121955,0.1898387473620705,0.18975000000000006,1.0,4,0,1.0675000000000001,1.07,4,37.0,39.25,4
5,5,power_law,0.192,1.0,7548.0,-4.808,4.808,96.16,0,1,0.447,1.0,13455.0,-1.553,1.553,77.64999999999999,0,1,0.007,1.0,27201.0,-0.003,0.003,30.0,1,1,0.33,1.0,31060.0,0.030000000000000027,0.030000000000000027,10.000000000000009,1,1,6.81,1.0,13841.0,-11.190000000000001,11.190000000000001,62.16666666666667,0,1,4,0.13525,0.07112445078874072,0.058,0.251,0.13525,0.07112445078874072,0.15281115796956712,0.13525,1.0,4,0,1.0075,1.03,1,11699.0,15018.25,0,4,0.13525,0.07112445078874072,0.058,0.251,0.13525,0.07112445078874072,0.15281115796956712,0.13525,1.0,4,0,1.0075,1.03,1,11699.0,15018.25,0,4,9.341750000000001,16.404684915825115,-0.494,37.752,9.341750000000001,16.404684915825115,18.878082006655234,9.651250000000001,1.0,4,0,1.1325,1.53,1,7.0,13431.0,1,4,9.341750000000001,16.404684915825115,-0.494,37.752,-40.658249999999995,16.404684915825115,43.84298096902171,40.658249999999995,0.25,1,0,1.1325,1.53,1,7.0,13431.0,1,4,0.59625,0.010377258790258638,0.586,0.611,-0.0037500000000000033,0.010377258790258638,0.011034038245356965,0.009750000000000009,1.0,4,0,1.0,1.0,0,5020.0,5439.5,0,4,0.59625,0.010377258790258638,0.586,0.611,-0.20375000000000007,0.010377258790258638,0.2040140926504834,0.20375000000000007,1.0,4,0,1.0,1.0,0,5020.0,5439.5,0
6,6,power_law,0.159,1.0,7681.0,-4.841,4.841,96.82000000000001,0,1,0.412,1.06,39.0,-1.588,1.588,79.4,0,0,0.016,1.0,28027.0,0.006,0.006,60.0,1,1,0.282,1.0,27579.0,-0.018000000000000016,0.018000000000000016,6.000000000000005,1,1,6.355,1.06,39.0,-11.645,11.645,64.69444444444444,0,0,4,0.26899999999999996,0.18303551567933476,0.031,0.529,0.26899999999999996,0.18303551567933476,0.32536594781875994,0.26899999999999996,1.0,4,0,1.0175,1.07,1,11316.0,15260.75,0,4,0.26899999999999996,0.18303551567933476,0.031,0.529,0.26899999999999996,0.18303551567933476,0.32536594781875994,0.26899999999999996,1.0,4,0,1.0175,1.07,1,11316.0,15260.75,0,4,25.375249999999998,20.21865578339717,-0.016,50.849,25.375249999999998,20.21865578339717,32.445297875809366,25.38325,0.75,3,0,1.2650000000000001,1.53,2,7.0,8717.25,2,4,25.375249999999998,20.21865578339717,-0.016,50.849,-24.62475,20.218655783397175,31.861769477698502,25.04925,0.75,3,0,1.2650000000000001,1.53,2,7.0,8717.25,2,4,0.5895,0.01769887002042783,0.562,0.609,-0.010499999999999982,0.01769887002042783,0.020579115627256644,0.014999999999999986,1.0,4,0,1.01,1.01,0,2352.0,3890.75,0,4,0.5895,0.01769887002042783,0.562,0.609,-0.21050000000000005,0.01769887002042783,0.2112427513549282,0.21050000000000005,1.0,4,0,1.01,1.01,0,2352.0,3890.75,0
7,7,power_law,0.145,1.0,8522.0,-4.855,4.855,97.10000000000001,0,1,0.413,1.01,869.0,-1.587,1.587,79.35,0,1,0.015,1.0,24600.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.315,1.0,14605.0,0.015000000000000013,0.015000000000000013,5.000000000000004,1,1,6.867,1.0,12005.0,-11.133,11.133,61.849999999999994,0,1,4,0.20075,0.19670965278806224,0.034,0.533,0.20075,0.19670965278806224,0.28106093645328944,0.20075,1.0,4,0,1.0,1.0,0,11484.0,12644.25,0,4,0.20075,0.19670965278806224,0.034,0.533,0.20075,0.19670965278806224,0.28106093645328944,0.20075,1.0,4,0,1.0,1.0,0,11484.0,12644.25,0,4,22.13225,22.7047039440619,-0.256,51.083,22.13225,22.7047039440619,31.70709812092554,22.26025,0.75,3,0,1.1325,1.53,1,7.0,11532.0,1,4,22.13225,22.7047039440619,-0.256,51.083,-27.86775,22.7047039440619,35.94600215948917,28.40925,0.5,2,0,1.1325,1.53,1,7.0,11532.0,1,4,0.60625,0.011344051304538437,0.593,0.618,0.0062500000000000056,0.011344051304538437,0.01295183384698863,0.01125000000000001,1.0,4,0,1.0,1.0,0,6551.0,7285.75,0,4,0.60625,0.011344051304538437,0.593,0.618,-0.19375000000000006,0.011344051304538437,0.19408181264611074,0.19375000000000006,1.0,4,0,1.0,1.0,0,6551.0,7285.75,0
8,8,power_law,0.147,1.0,905.0,-4.853,4.853,97.05999999999999,0,1,0.419,1.04,73.0,-1.581,1.581,79.05,0,0,0.008,1.0,9011.0,-0.002,0.002,20.0,1,1,0.303,1.0,2153.0,0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,6.817,1.03,97.0,-11.183,11.183,62.12777777777778,0,0,4,0.11000000000000001,0.05273044661293891,0.024,0.165,0.11000000000000001,0.05273044661293891,0.12198565489433584,0.11000000000000001,1.0,4,0,1.0025,1.01,0,5359.0,5793.75,0,4,0.11000000000000001,0.05273044661293891,0.024,0.165,0.11000000000000001,0.05273044661293891,0.12198565489433584,0.11000000000000001,1.0,4,0,1.0025,1.01,0,5359.0,5793.75,0,4,28.56675,22.400796786889074,0.391,50.568,28.56675,22.400796786889074,36.30227130979548,28.56675,0.5,2,0,1.135,1.53,1,7.0,2885.75,1,4,28.56675,22.400796786889074,0.391,50.568,-21.43325,22.400796786889074,31.002901513406773,21.96625,0.75,3,0,1.135,1.53,1,7.0,2885.75,1,4,0.5967499999999999,0.010059199769365363,0.587,0.613,-0.003250000000000003,0.010059199769365363,0.010571187255932996,0.009750000000000009,1.0,4,0,1.0075,1.01,0,755.0,803.25,0,4,0.5967499999999999,0.010059199769365363,0.587,0.613,-0.20325000000000007,0.010059199769365363,0.2034987714950634,0.20325000000000007,1.0,4,0,1.0075,1.01,0,755.0,803.25,0
9,9,power_law,0.135,1.01,2771.0,-4.865,4.865,97.30000000000001,0,1,0.381,1.04,66.0,-1.619,1.619,80.95,0,0,0.014,1.0,30665.0,0.004,0.004,40.0,1,1,0.308,1.0,30040.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,7.141,1.04,66.0,-10.859,10.859,60.32777777777778,0,0,4,0.1125,0.05096322203314858,0.074,0.2,0.1125,0.05096322203314858,0.12350506062506103,0.1125,1.0,4,0,1.02,1.03,2,13459.0,17799.5,0,4,0.1125,0.05096322203314858,0.074,0.2,0.1125,0.05096322203314858,0.12350506062506103,0.1125,1.0,4,0,1.02,1.03,2,13459.0,17799.5,0,4,24.938750000000002,8.856078826856725,12.393,37.441,24.938750000000002,8.856078826856725,26.464530673148165,24.938750000000002,1.0,4,0,1.63,1.73,4,6.0,6.5,4,4,24.938750000000002,8.856078826856725,12.393,37.441,-25.061249999999998,8.856078826856725,26.579999694319035,25.061249999999998,1.0,4,0,1.63,1.73,4,6.0,6.5,4,4,0.542,0.007582875444051558,0.531,0.55,-0.05799999999999994,0.007582875444051558,0.05849358939234276,0.05799999999999994,1.0,4,0,1.03,1.03,4,91.0,97.25,4,4,0.542,0.007582875444051558,0.531,0.55,-0.258,0.007582875444051558,0.2581114100538758,0.258,1.0,4,0,1.03,1.03,4,91.0,97.25,4
