simulation,row,mean,median,std,n_peaks,peak_locations,sorted_peak_location1,sorted_peak_location2,is_bimodal,is_well_separated,separation
0,0,0.150058659,0.161601153,0.202314543,1,[0.1800845651266264],0.180084565,,FALSE,FALSE,0
0,1,-0.187644075,-0.185992803,0.165045796,1,[-0.14955403002691936],-0.14955403,,FALSE,FALSE,0
0,2,-0.005500941,-0.007644888,0.161322207,1,[-0.06704180734604848],-0.067041807,,FALSE,FALSE,0
0,3,-0.074768247,-0.062019762,0.162619175,1,[-0.04677893105740072],-0.046778931,,FALSE,FALSE,0
1,0,0.140840551,0.141516061,0.13271724,1,[0.14558493268764705],0.145584933,,FALSE,FALSE,0
1,1,0.151656471,0.145056079,0.219845898,1,[0.16421296059655827],0.164212961,,FALSE,FALSE,0
1,2,0.023616625,0.027928353,0.192647215,1,[0.012980250694239581],0.012980251,,FALSE,FALSE,0
1,3,-0.271635108,-0.281851073,0.193951283,1,[-0.3133876331982753],-0.313387633,,FALSE,FALSE,0
2,0,0.11176381,0.109408946,0.154602419,1,[0.08796767978872305],0.08796768,,FALSE,FALSE,0
2,1,-0.050867431,-0.051520665,0.208446564,1,[-0.05487323268561406],-0.054873233,,FALSE,FALSE,0
2,2,0.089634352,0.091366523,0.20904719,1,[0.0989698376041589],0.098969838,,FALSE,FALSE,0
2,3,-0.029185637,-0.033713583,0.192832688,1,[-0.04910192852179407],-0.049101929,,FALSE,FALSE,0
3,0,-0.047635916,-0.026286597,0.235770478,1,[-0.002729421294898726],-0.002729421,,FALSE,FALSE,0
3,1,-0.350473982,-0.341984203,0.269915397,1,[-0.3007561081965253],-0.300756108,,FALSE,FALSE,0
3,2,0.141322926,0.140044826,0.179387249,1,[0.13799668314931385],0.137996683,,FALSE,FALSE,0
3,3,0.101149352,0.10080307,0.178064565,1,[0.09209662488490528],0.092096625,,FALSE,FALSE,0
4,0,0.136771495,0.131372224,0.206328216,1,[0.11133135235969183],0.111331352,,FALSE,FALSE,0
4,1,-0.017132466,-0.014450015,0.108096164,1,[-0.0023543892793081445],-0.002354389,,FALSE,FALSE,0
4,2,-0.47735764,-0.470739029,0.218800398,1,[-0.42622666750372085],-0.426226668,,FALSE,FALSE,0
4,3,-0.056928004,-0.055672752,0.178378857,1,[-0.07043001872289872],-0.070430019,,FALSE,FALSE,0
5,0,-0.177725168,-0.180708421,0.261363552,1,[-0.17668101583387064],-0.176681016,,FALSE,FALSE,0
5,1,-0.486520261,-0.462877495,0.31749368,1,[-0.38918917321715085],-0.389189173,,FALSE,FALSE,0
5,2,-0.280296743,-0.270010778,0.271629526,1,[-0.21862820541232175],-0.218628205,,FALSE,FALSE,0
5,3,0.013039116,0.019849054,0.229848679,1,[-0.01216623214210022],-0.012166232,,FALSE,FALSE,0
6,0,-0.042703187,-0.034340544,0.242664956,1,[-0.03123179925510622],-0.031231799,,FALSE,FALSE,0
6,1,-0.303646968,-0.286259894,0.261689156,1,[-0.2256686695233333],-0.22566867,,FALSE,FALSE,0
6,2,-0.394941626,-0.384700272,0.184570801,1,[-0.37532265115894725],-0.375322651,,FALSE,FALSE,0
6,3,0.222585864,0.237127171,0.357885218,1,[0.24492810739629922],0.244928107,,FALSE,FALSE,0
7,0,0.004064521,0.017600678,0.190291613,1,[0.11503278612711054],0.115032786,,FALSE,FALSE,0
7,1,-0.183037928,-0.181740171,0.156322796,1,[-0.1678782913703818],-0.167878291,,FALSE,FALSE,0
7,2,-0.152706551,-0.153197328,0.216084466,2,"[-0.21566897922639616, -0.14024133919109816]",-0.215668979,-0.140241339,TRUE,FALSE,0.07542764
7,3,-0.08378142,-0.071788251,0.296287071,1,[-0.04362507387811099],-0.043625074,,FALSE,FALSE,0
8,0,-0.172642089,-0.163815583,0.282206912,1,[-0.10861548932551324],-0.108615489,,FALSE,FALSE,0
8,1,0.225683799,0.228733116,0.185164347,1,[0.22386778152904524],0.223867782,,FALSE,FALSE,0
8,2,0.135144801,0.14638892,0.260011804,1,[0.1118809784630529],0.111880978,,FALSE,FALSE,0
8,3,-0.224245876,-0.207009481,0.318539138,1,[-0.1631347918820072],-0.163134792,,FALSE,FALSE,0
9,0,-0.144490908,-0.142614371,0.146613135,1,[-0.13368140603506434],-0.133681406,,FALSE,FALSE,0
9,1,-0.28795917,-0.294842029,0.201915449,1,[-0.3180866055811854],-0.318086606,,FALSE,FALSE,0
9,2,-0.182198094,-0.190369176,0.176783254,1,[-0.23033485504267381],-0.230334855,,FALSE,FALSE,0
9,3,-0.273667754,-0.266498509,0.157613767,1,[-0.2489318766587834],-0.248931877,,FALSE,FALSE,0
10,0,0.013060044,0.019257134,0.155542549,1,[-0.0017206060782386512],-0.001720606,,FALSE,FALSE,0
10,1,0.082190926,0.075199671,0.155354757,1,[0.054040213660260794],0.054040214,,FALSE,FALSE,0
10,2,-0.083367975,-0.083653857,0.186088836,1,[-0.08722673439937428],-0.087226734,,FALSE,FALSE,0
10,3,-0.106003447,-0.100339371,0.209876826,1,[-0.055653794889078734],-0.055653795,,FALSE,FALSE,0
11,0,0.083042774,0.0784932,0.143321096,1,[0.061708829404093835],0.061708829,,FALSE,FALSE,0
11,1,-0.083949322,-0.081063586,0.232509408,1,[-0.08608603540634652],-0.086086035,,FALSE,FALSE,0
11,2,-0.125955328,-0.125615927,0.239798793,1,[-0.08705542743041561],-0.087055427,,FALSE,FALSE,0
11,3,0.073497388,0.067756984,0.185194888,1,[0.06226838525959444],0.062268385,,FALSE,FALSE,0
12,0,-0.292669747,-0.285863271,0.232055701,1,[-0.2848478345282842],-0.284847835,,FALSE,FALSE,0
12,1,0.247342946,0.243086624,0.167095047,1,[0.23301847363439088],0.233018474,,FALSE,FALSE,0
12,2,-0.151659067,-0.141761468,0.254444646,1,[-0.09356195091410446],-0.093561951,,FALSE,FALSE,0
12,3,-0.08952136,-0.086618379,0.224069028,1,[-0.10436841551228437],-0.104368416,,FALSE,FALSE,0
13,0,0.104541937,0.100499605,0.157132793,1,[0.06010693322973093],0.060106933,,FALSE,FALSE,0
13,1,-0.072088245,-0.07151918,0.224780188,1,[-0.08677422618301306],-0.086774226,,FALSE,FALSE,0
13,2,0.098051842,0.098089698,0.180615712,1,[0.11121278131649359],0.111212781,,FALSE,FALSE,0
13,3,-0.409520354,-0.411234625,0.228049941,1,[-0.4155523504485763],-0.41555235,,FALSE,FALSE,0
14,0,-0.322588728,-0.317485379,0.243482322,1,[-0.31603599928511783],-0.316035999,,FALSE,FALSE,0
14,1,-0.247617137,-0.231746172,0.238494287,1,[-0.21904071932662394],-0.219040719,,FALSE,FALSE,0
14,2,0.297237644,0.296216177,0.173472404,1,[0.2824135303757685],0.28241353,,FALSE,FALSE,0
14,3,-0.036175152,-0.030603702,0.218907671,1,[-0.04004962718904104],-0.040049627,,FALSE,FALSE,0
15,0,-0.274526577,-0.267353282,0.221770006,1,[-0.24196022506983905],-0.241960225,,FALSE,FALSE,0
15,1,0.24732743,0.252051081,0.242438816,1,[0.23436398253421686],0.234363983,,FALSE,FALSE,0
15,2,-0.005662723,-0.00145704,0.215839417,1,[0.005374203224020935],0.005374203,,FALSE,FALSE,0
15,3,-0.099943521,-0.091240784,0.250796743,1,[-0.07939502771250173],-0.079395028,,FALSE,FALSE,0
16,0,0.084162241,0.085925721,0.185406039,1,[0.09617817710271359],0.096178177,,FALSE,FALSE,0
16,1,0.03960424,0.037750757,0.183048208,1,[0.039240332654039756],0.039240333,,FALSE,FALSE,0
16,2,0.304747236,0.304383672,0.159768223,1,[0.3195729836835071],0.319572984,,FALSE,FALSE,0
16,3,0.047977101,0.050550337,0.187922232,1,[0.04863532422314021],0.048635324,,FALSE,FALSE,0
17,0,0.088651813,0.0885729,0.175508599,1,[0.04497490241859303],0.044974902,,FALSE,FALSE,0
17,1,-0.261129523,-0.256485328,0.177272338,1,[-0.22058879063013737],-0.220588791,,FALSE,FALSE,0
17,2,-0.056677515,-0.047771698,0.195928081,1,[-0.008243922293154404],-0.008243922,,FALSE,FALSE,0
17,3,0.001913846,0.012687583,0.182082399,1,[0.04275070041808532],0.0427507,,FALSE,FALSE,0
18,0,0.170822775,0.166812745,0.1734208,1,[0.1750741892818518],0.175074189,,FALSE,FALSE,0
18,1,0.125077501,0.126497761,0.168525992,1,[0.12160549455172298],0.121605495,,FALSE,FALSE,0
18,2,-0.220927947,-0.226465335,0.185206078,1,[-0.25645633767912684],-0.256456338,,FALSE,FALSE,0
18,3,-0.197963706,-0.188497883,0.220320356,1,[-0.20860531248540948],-0.208605312,,FALSE,FALSE,0
19,0,-0.119662906,-0.119485121,0.217313909,1,[-0.15415552093881602],-0.154155521,,FALSE,FALSE,0
19,1,0.142525631,0.142104634,0.178254733,1,[0.16974312319795043],0.169743123,,FALSE,FALSE,0
19,2,-0.134785127,-0.130125731,0.223792604,1,[-0.12588306847357045],-0.125883068,,FALSE,FALSE,0
19,3,0.033574835,0.035611644,0.173441067,1,[0.008831164831415272],0.008831165,,FALSE,FALSE,0
20,0,-0.049534232,-0.053004338,0.226962293,1,[-0.05904542303585747],-0.059045423,,FALSE,FALSE,0
20,1,-0.008896006,-0.010361746,0.17091461,1,[-0.05079244813461625],-0.050792448,,FALSE,FALSE,0
20,2,0.016511947,0.021372978,0.181361682,1,[-0.004187768399520786],-0.004187768,,FALSE,FALSE,0
20,3,0.101352154,0.103484951,0.269954074,2,"[0.06963204649842358, 0.690353304295114]",0.069632046,0.690353304,TRUE,FALSE,0.620721258
21,0,-0.091470489,-0.083572125,0.167391919,1,[-0.061443847936150986],-0.061443848,,FALSE,FALSE,0
21,1,0.26325837,0.266460487,0.32138777,1,[0.2882084519372746],0.288208452,,FALSE,FALSE,0
21,2,-0.009383616,-0.001124139,0.242018138,1,[-0.0045554344227281],-0.004555434,,FALSE,FALSE,0
21,3,-0.04232384,-0.028947549,0.229225044,1,[0.004726202717572514],0.004726203,,FALSE,FALSE,0
