,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,401.29568782108544,9.362445280432155,5.8483985612148075,-16.647847424067493,14.533012469166684,45.25390355126204,False
1,0,gaussian,2,385.0561349414571,8.975502669798118,7.1488835736875656,-32.88740030369581,13.960991614494095,43.464363529060655,False
2,0,power_law,0,417.94353524515293,16.246935417648842,0.0,0.0,25.794490362193073,75.55163101431746,True
3,1,exponential,1,461.85167381281195,8.656758176387939,5.446159138726278,-25.84226733266695,12.614596123770202,41.13008950957943,False
4,1,gaussian,2,442.04645465904497,9.546602781957347,6.924969284944448,-45.647486486433934,14.569025579136762,46.012622522631446,False
5,1,power_law,0,487.6939411454789,10.477777560054847,0.0,0.0,15.185410164650335,48.410205825603946,True
6,2,exponential,1,519.0092446922838,9.88694886168605,6.529474502028724,-20.824249903556392,14.412978240846819,46.85399122295628,False
7,2,gaussian,2,498.3307716425784,10.16104034484556,7.804265196844272,-41.50272295326181,15.185634691326358,48.57367622933268,False
8,2,power_law,0,539.8334945958402,14.443932652808826,0.0,0.0,21.518703176054522,66.14313432719268,True
9,3,exponential,1,445.92225802001576,8.902916192066016,6.883435380317366,-32.40661318855757,13.130288934530784,42.2464408397036,False
10,3,gaussian,2,429.8773381297256,8.622496286378748,8.045553751564176,-48.45153307884772,12.741302803867955,40.94775392598414,False
11,3,power_law,0,478.32887120857333,14.557409225727326,0.0,0.0,21.66981563258046,65.55414874367344,True
12,4,exponential,1,530.6894588439425,7.99315590208721,5.574301530291751,-22.663224034517043,10.60437258727789,36.89893604424513,False
13,4,gaussian,2,513.3556885732867,7.988601796212151,6.63574263687729,-39.99699430517285,10.790604793512774,37.1116366880427,False
14,4,power_law,0,553.3526828784595,12.220122851374299,0.0,0.0,17.621630690260073,55.976526388507914,True
15,5,exponential,1,440.0026346819726,9.300051000618396,6.016605920781233,-31.474371115252495,14.00587091278076,44.48071175668536,False
16,5,gaussian,2,423.89587417874884,9.091567594667424,7.502376717358163,-47.58113161847626,13.779886343822223,43.615488293450504,False
17,5,power_law,0,471.4770057972251,14.348237495814033,0.0,0.0,21.800044982636102,65.78207568289737,True
18,6,exponential,1,396.1812615852825,8.620290176771277,5.8209388025653865,-31.904001694379758,13.08022497218743,41.301466525485594,False
19,6,gaussian,2,378.5697074032133,8.503646236456973,7.11269376892429,-49.515555876449014,13.11905872778807,41.11549058362785,False
20,6,power_law,0,428.0852632796623,15.916935497746522,0.0,0.0,21.843126964624968,65.22374168015824,True
21,7,exponential,1,490.83846819117576,8.351178989739253,8.329917268981333,-30.986587170282576,11.65688079934947,39.05348060381365,False
22,7,gaussian,2,472.79390314453275,7.545853685950817,8.924318454321407,-49.03115221692559,10.287569912855016,35.11047573173384,False
23,7,power_law,0,521.8250553614583,16.06099825854153,0.0,0.0,23.13608560670164,70.17820114687903,True
24,8,exponential,1,454.396974578361,10.172053770437003,10.008580564787763,-37.991727452732675,15.549739705293794,48.829224222671506,False
25,8,gaussian,2,439.4540887293565,9.3777676115526,10.681713494647049,-52.93461330173716,14.202141628038955,44.99415007260811,False
26,8,power_law,0,492.38870203109366,17.541129117204378,0.0,0.0,24.54052480998328,73.45451541704574,True
27,9,exponential,1,459.1829427079682,8.437240933771875,6.479021682922929,-29.80262518030736,12.091130923005995,39.694207444706265,False
