,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,95.36826054683507,18.27868408690908,2.8712979272796453,-7.113175620775138,34.248257179454,93.10129841708336,False
1,0,gaussian,2,89.85408526656656,17.805694120114566,4.629243351301412,-12.627350901043656,33.28062514489827,90.4257224877084,False
2,0,power_law,0,102.48143616761021,19.876119299777415,0.0,0.0,36.445226690809264,99.09976230676132,True
3,1,exponential,1,132.98293461334023,16.3597150645208,2.8274980718925513,-0.7801982524827906,30.599032849233677,83.94510681769846,True
4,1,gaussian,2,127.10118313148509,16.06133071107307,4.485451209055187,-6.661949734337938,30.201473979244177,82.7842939479204,True
5,1,power_law,0,133.76313286582302,17.458130087408335,0.0,0.0,32.81116828716805,89.87561409263007,True
6,2,exponential,1,165.8419734241703,17.431163558412862,3.096487051637579,-10.795540247094067,32.25639479948909,88.90379924905977,False
7,2,gaussian,2,158.25290330831405,16.841753222150146,4.604589333610454,-18.384610362950326,31.311068145534286,86.25308772625323,False
8,2,power_law,0,176.63751367126437,19.43426691145163,0.0,0.0,35.48660612952337,97.72456735868238,True
9,3,exponential,1,179.67473974625068,17.22489724170464,4.438231229318737,-16.86038716092787,31.50684245458793,87.12555750563354,False
10,3,gaussian,2,172.03118840579015,14.060336481692786,6.0789712234125295,-24.503938501388404,25.98693904074341,72.2377200919276,False
11,3,power_law,0,196.53512690717855,20.475137835606205,0.0,0.0,36.40845914388846,100.51998642456745,True
12,4,exponential,1,195.6536708787282,16.972255028906346,3.2833315615789846,-14.64098854238975,31.265126598949198,86.73152210738742,False
13,4,gaussian,2,186.08812429060822,15.727320079992353,4.287928620982613,-24.206535130509735,29.119725525490793,80.83923490680552,False
14,4,power_law,0,210.29465942111796,19.01221715977917,0.0,0.0,34.16313667779231,94.72971755596316,True
15,5,exponential,1,220.6053052343314,15.870524002678565,3.0277329425908,-8.600695118308465,28.552037723494617,79.88313540941031,False
16,5,gaussian,2,212.7071467959476,14.385248462673019,4.353630000976939,-16.498853556692268,26.169195361587782,73.38014478894922,False
17,5,power_law,0,229.20600035263988,18.19700228297262,0.0,0.0,33.02623663052528,91.98857830168573,True
