,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
0,0,power_law,4.174,1.0,9389.0,-0.8259999999999996,0.8259999999999996,16.519999999999992,1,1,1.958,1.0,11652.0,-0.04200000000000004,0.04200000000000004,2.100000000000002,1,1,0.02,1.0,25521.0,0.01,0.01,100.0,1,1,0.32,1.0,29585.0,0.020000000000000018,0.020000000000000018,6.666666666666673,1,1,19.046,1.0,21756.0,1.0459999999999994,1.0459999999999994,5.811111111111108,1,1,4,0.1945,0.06910318371826295,0.086,0.269,0.1945,0.06910318371826295,0.20641099776901423,0.1945,1.0,4,0,1.0,1.0,0,6020.0,8149.0,0,4,-0.06649999999999999,0.32060684646463805,-0.455,0.313,-0.06649999999999999,0.32060684646463805,0.3274309087425926,0.3125,1.0,4,0,1.0,1.0,0,15347.0,22344.0,0
1,1,power_law,4.166,1.0,8678.0,-0.8339999999999996,0.8339999999999996,16.679999999999993,1,1,1.918,1.0,10739.0,-0.08200000000000007,0.08200000000000007,4.100000000000003,1,1,0.013,1.0,25705.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.299,1.0,20949.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,17.455,1.0,25783.0,-0.5450000000000017,0.5450000000000017,3.027777777777787,1,1,4,0.34500000000000003,0.28004642472275915,0.091,0.807,0.34500000000000003,0.28004642472275915,0.44435458813879714,0.34500000000000003,1.0,4,0,1.0,1.0,0,1564.0,4152.5,0,4,0.13749999999999998,0.20294888519033555,-0.158,0.337,0.13749999999999998,0.20294888519033555,0.24514179570199776,0.2165,1.0,4,0,1.0,1.0,0,15548.0,19263.0,0
2,2,power_law,3.889,1.0,8673.0,-1.1110000000000002,1.1110000000000002,22.220000000000002,1,1,1.948,1.0,9965.0,-0.052000000000000046,0.052000000000000046,2.6000000000000023,1,1,0.022,1.0,26989.0,0.011999999999999999,0.011999999999999999,119.99999999999997,1,1,0.277,1.0,21368.0,-0.022999999999999965,0.022999999999999965,7.666666666666655,1,1,20.067,1.0,19830.0,2.067,2.067,11.483333333333334,1,1,4,0.20425,0.0696540558761656,0.127,0.315,0.20425,0.0696540558761656,0.2158002548654658,0.20425,1.0,4,0,1.0,1.0,0,2409.0,5653.25,0,4,0.34025,0.35462612354421946,-0.125,0.873,0.34025,0.35462612354421946,0.4914567631033273,0.40275,0.75,3,0,1.0,1.0,0,18098.0,22190.5,0
3,3,power_law,4.448,1.0,10241.0,-0.5519999999999996,0.5519999999999996,11.039999999999992,1,1,1.949,1.0,11491.0,-0.050999999999999934,0.050999999999999934,2.5499999999999967,1,1,0.014,1.0,31419.0,0.004,0.004,40.0,1,1,0.347,1.0,31546.0,0.046999999999999986,0.046999999999999986,15.666666666666663,1,1,16.289,1.0,21144.0,-1.7109999999999985,1.7109999999999985,9.505555555555548,1,1,4,0.27025,0.12558338863082172,0.104,0.413,0.27025,0.12558338863082172,0.29800377514387294,0.27025,1.0,4,0,1.0,1.0,0,3309.0,6678.75,0,4,-0.17250000000000001,0.5595652330157763,-0.863,0.602,-0.17250000000000001,0.5595652330157763,0.5855505955935831,0.513,1.0,4,0,1.0,1.0,0,15200.0,21104.25,0
4,4,power_law,3.109,1.0,10338.0,-1.891,1.891,37.82,0,1,1.794,1.0,12679.0,-0.20599999999999996,0.20599999999999996,10.299999999999997,1,1,0.01,1.0,3510.0,0.0,0.0,0.0,1,1,0.319,1.0,23612.0,0.019000000000000017,0.019000000000000017,6.333333333333339,1,1,19.939,1.0,22954.0,1.939,1.939,10.772222222222222,1,1,4,0.1755,0.15157588858390372,0.036,0.414,0.1755,0.15157588858390372,0.2318954505806442,0.1755,1.0,4,0,1.0025,1.01,0,345.0,3778.25,1,4,-0.023500000000000007,0.20326645074876473,-0.247,0.282,-0.023500000000000007,0.20326645074876473,0.20462038021663434,0.1805,1.0,4,0,1.0,1.0,0,12620.0,20768.25,0
5,5,power_law,2.843,1.0,9263.0,-2.157,2.157,43.14,0,1,1.619,1.0,10677.0,-0.381,0.381,19.05,0,1,0.023,1.0,31960.0,0.013,0.013,129.99999999999997,1,1,0.308,1.0,13074.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,17.274,1.0,15655.0,-0.7259999999999991,0.7259999999999991,4.033333333333329,1,1,4,0.07525,0.03137176278120182,0.021,0.096,0.07525,0.03137176278120182,0.08152760268767872,0.07525,1.0,4,0,1.0,1.0,0,6988.0,9866.25,0,4,0.035500000000000004,0.20061218806443437,-0.246,0.321,0.035500000000000004,0.20061218806443437,0.203728986646476,0.1585,1.0,4,0,1.0,1.0,0,5681.0,16516.25,0
6,6,power_law,4.244,1.0,2379.0,-0.7560000000000002,0.7560000000000002,15.120000000000006,1,1,2.03,1.0,4814.0,0.029999999999999805,0.029999999999999805,1.4999999999999902,1,1,0.02,1.0,25733.0,0.01,0.01,100.0,1,1,0.312,1.0,25366.0,0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,18.158,1.0,11277.0,0.15800000000000125,0.15800000000000125,0.8777777777777848,1,1,4,0.21275,0.09693393368681578,0.136,0.379,0.21275,0.09693393368681578,0.23379210850668164,0.21275,1.0,4,0,1.0,1.0,0,3116.0,4970.0,0,4,-0.27575000000000005,0.3323923697981047,-0.791,0.061,-0.27575000000000005,0.3323923697981047,0.43188279660111495,0.30625,1.0,4,0,1.0,1.0,0,2230.0,13936.0,0
7,7,power_law,3.628,1.0,9067.0,-1.3719999999999999,1.3719999999999999,27.439999999999998,1,1,1.872,1.0,11904.0,-0.1279999999999999,0.1279999999999999,6.399999999999995,1,1,0.007,1.0,18843.0,-0.003,0.003,30.0,1,1,0.289,1.0,19126.0,-0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,16.159,1.0,19435.0,-1.841000000000001,1.841000000000001,10.227777777777785,1,1,4,0.164,0.09849873095629204,0.08,0.332,0.164,0.09849873095629204,0.19130603754194483,0.164,1.0,4,0,1.0,1.0,0,3767.0,6070.25,0,4,-0.07550000000000001,0.1928607010253774,-0.338,0.176,-0.07550000000000001,0.1928607010253774,0.20711228838482762,0.174,1.0,4,0,1.0,1.0,0,17420.0,20276.0,0
8,8,power_law,4.302,1.0,3645.0,-0.6980000000000004,0.6980000000000004,13.960000000000008,1,1,1.955,1.0,1073.0,-0.04499999999999993,0.04499999999999993,2.2499999999999964,1,1,0.013,1.0,4050.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.274,1.0,2272.0,-0.025999999999999968,0.025999999999999968,8.666666666666655,1,1,16.835,1.01,553.0,-1.1649999999999991,1.1649999999999991,6.472222222222218,1,1,4,0.3985,0.24442023238676458,0.079,0.677,0.3985,0.24442023238676458,0.4674863634374804,0.3985,1.0,4,0,1.0025,1.01,0,662.0,2295.25,0,4,-0.25249999999999995,0.5379653799269987,-0.691,0.661,-0.25249999999999995,0.5379653799269987,0.5942751887804167,0.583,1.0,4,0,1.0025,1.01,0,1587.0,3693.0,0
9,9,power_law,3.135,1.0,1476.0,-1.8650000000000002,1.8650000000000002,37.300000000000004,0,1,1.781,1.0,3413.0,-0.21900000000000008,0.21900000000000008,10.950000000000005,1,1,0.013,1.0,6503.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.295,1.0,36222.0,-0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,1,16.773,1.0,6694.0,-1.2270000000000003,1.2270000000000003,6.816666666666668,1,1,4,0.1815,0.0796508003726265,0.115,0.31,0.1815,0.0796508003726265,0.1982082238455307,0.1815,1.0,4,0,1.0025,1.01,0,3701.0,4562.5,0,4,0.13375,0.15613675896469736,-0.119,0.295,0.13375,0.15613675896469736,0.20559122062967572,0.19325,1.0,4,0,1.0,1.0,0,9986.0,15323.75,0
