,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400
0,0,power_law,7.672,1.0,12859.0,2.6719999999999997,2.6719999999999997,53.44,1,1,2.262,1.0,15197.0,0.262,0.262,13.100000000000001,1,1,5.996,1.0,12349.0,0.9960000000000004,0.9960000000000004,19.92000000000001,1,1,2.325,1.0,15831.0,0.3250000000000002,0.3250000000000002,16.250000000000007,1,1,0.491,1.0,15424.0,-0.10899999999999999,0.10899999999999999,18.166666666666664,1,1,0.014,1.0,26185.0,0.004,0.004,40.0,1,1,0.42,1.0,26298.0,0.12,0.12,40.0,0,1,13.722,1.0,12559.0,-4.2780000000000005,4.2780000000000005,23.76666666666667,1,1,4,1.06425,0.7123627499385407,0.613,2.296,1.06425,0.7123627499385407,1.2806594980712085,1.06425,1.0,4,0,1.0,1.0,0,14378.0,16434.25,0,4,0.5042500000000001,0.24379948215695618,0.256,0.852,0.5042500000000001,0.24379948215695618,0.5600948580374578,0.5042500000000001,1.0,4,0,1.0,1.0,0,5641.0,11847.25,0,4,-1.27875,1.0677500585342996,-2.391,0.179,-1.27875,1.0677500585342996,1.6659206913895992,1.36825,1.0,4,0,1.0,1.0,0,13437.0,15957.75,0,4,50.10874999999999,0.2812848867251848,49.699,50.43,0.10874999999999879,0.2812848867251848,0.30157544661328084,0.25924999999999976,1.0,4,0,1.0,1.0,0,8926.0,14652.25,0
1,1,power_law,7.994,1.0,14429.0,2.9939999999999998,2.9939999999999998,59.88,1,1,2.571,1.0,16489.0,0.5710000000000002,0.5710000000000002,28.550000000000008,1,1,8.224,1.0,9668.0,3.224,3.224,64.48,1,1,2.398,1.0,4006.0,0.39800000000000013,0.39800000000000013,19.900000000000006,1,1,0.56,1.0,9612.0,-0.039999999999999925,0.039999999999999925,6.666666666666654,1,1,0.014,1.0,7095.0,0.004,0.004,40.0,1,1,0.386,1.0,15346.0,0.08600000000000002,0.08600000000000002,28.666666666666675,0,1,13.208,1.0,5034.0,-4.792,4.792,26.62222222222222,0,1,4,0.73775,0.5468493279688657,0.306,1.666,0.73775,0.5468493279688657,0.9183241530091648,0.73775,1.0,4,0,1.0,1.0,0,4294.0,14132.5,0,4,1.6095,1.0201648151156752,0.901,3.364,1.6095,1.0201648151156752,1.9055777339169346,1.6095,1.0,4,0,1.0,1.0,0,5885.0,11324.25,0,4,-0.8532500000000001,0.44501818783056496,-1.312,-0.323,-0.8532500000000001,0.44501818783056496,0.9623288159459842,0.8532500000000001,1.0,4,0,1.0,1.0,0,3417.0,14459.5,0,4,49.638749999999995,1.8172152287222336,46.836,51.653,-0.36125000000000007,1.8172152287222336,1.8527743386608095,1.5552499999999991,1.0,4,0,1.0,1.0,0,6880.0,16011.5,0
2,2,power_law,6.687,1.0,14869.0,1.6870000000000003,1.6870000000000003,33.74,1,1,2.309,1.0,16724.0,0.30900000000000016,0.30900000000000016,15.450000000000008,1,1,5.625,1.0,13096.0,0.625,0.625,12.5,1,1,2.253,1.0,15315.0,0.2530000000000001,0.2530000000000001,12.650000000000006,1,1,0.505,1.0,23322.0,-0.09499999999999997,0.09499999999999997,15.83333333333333,1,1,0.024,1.0,39637.0,0.014,0.014,140.0,1,1,0.288,1.0,41608.0,-0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,17.974,1.0,13117.0,-0.0259999999999998,0.0259999999999998,0.14444444444444332,1,1,4,0.86625,0.36940112005785797,0.436,1.448,0.86625,0.36940112005785797,0.9417251456768052,0.86625,1.0,4,0,1.0,1.0,0,13262.0,16603.75,0,4,0.56175,0.2454591361102699,0.254,0.937,0.56175,0.2454591361102699,0.6130360919228166,0.56175,1.0,4,0,1.0,1.0,0,15316.0,17654.25,0,4,0.35125,0.768432617410271,-0.178,1.679,0.35125,0.768432617410271,0.8449054680850396,0.48825,1.0,4,0,1.0,1.0,0,17347.0,21036.5,0,4,50.15525,0.28444804007058994,49.795,50.558,0.15525000000000055,0.28444804007058994,0.32405747946930663,0.2577499999999997,1.0,4,0,1.0,1.0,0,17013.0,19509.0,0
3,3,power_law,5.138,1.0,13935.0,0.1379999999999999,0.1379999999999999,2.759999999999998,1,1,2.382,1.0,17101.0,0.3820000000000001,0.3820000000000001,19.100000000000005,1,1,7.084,1.0,14172.0,2.0839999999999996,2.0839999999999996,41.67999999999999,1,1,2.525,1.0,15346.0,0.5249999999999999,0.5249999999999999,26.249999999999996,1,1,0.557,1.0,15209.0,-0.04299999999999993,0.04299999999999993,7.1666666666666545,1,1,0.006,1.0,23156.0,-0.004,0.004,40.0,1,1,0.325,1.0,35736.0,0.025000000000000022,0.025000000000000022,8.333333333333341,1,1,21.107,1.0,16087.0,3.1069999999999993,3.1069999999999993,17.26111111111111,1,1,4,0.22575,0.13975760265545484,0.078,0.429,0.22575,0.13975760265545484,0.2655094160288859,0.22575,1.0,4,0,1.0,1.0,0,11686.0,19535.75,0,4,0.5047499999999999,0.23801404895509842,0.204,0.824,0.5047499999999999,0.23801404895509842,0.5580530888723759,0.5047499999999999,1.0,4,0,1.0,1.0,0,13585.0,16498.0,0,4,0.02075000000000002,0.4477786143843853,-0.658,0.539,0.02075000000000002,0.4477786143843853,0.44825913264539297,0.38575000000000004,1.0,4,0,1.0,1.0,0,17367.0,22183.25,0,4,49.9795,0.18758797935901894,49.706,50.173,-0.020500000000000185,0.18758797935901897,0.188704795911497,0.17300000000000004,1.0,4,0,1.0,1.0,0,13989.0,20681.25,0
4,4,power_law,6.019,1.0,10251.0,1.0190000000000001,1.0190000000000001,20.380000000000003,1,1,2.206,1.0,15713.0,0.20599999999999996,0.20599999999999996,10.299999999999997,1,1,6.333,1.0,16316.0,1.3330000000000002,1.3330000000000002,26.660000000000007,1,1,2.622,1.0,17733.0,0.6219999999999999,0.6219999999999999,31.099999999999994,1,1,0.492,1.0,26152.0,-0.10799999999999998,0.10799999999999998,18.0,1,1,0.012,1.0,32124.0,0.002,0.002,20.0,1,1,0.273,1.0,41754.0,-0.02699999999999997,0.02699999999999997,8.99999999999999,1,1,18.474,1.0,10871.0,0.4740000000000002,0.4740000000000002,2.633333333333334,1,1,4,0.41225,0.22296342188798593,0.147,0.652,0.41225,0.22296342188798593,0.4686819283906731,0.41225,1.0,4,0,1.0,1.0,0,11495.0,13979.0,0,4,0.5790000000000001,0.30441829774177503,0.084,0.875,0.5790000000000001,0.30441829774177503,0.6541494477563976,0.5790000000000001,1.0,4,0,1.0,1.0,0,6352.0,16044.0,0,4,-0.14400000000000002,0.36531014220796004,-0.656,0.377,-0.14400000000000002,0.36531014220796004,0.3926671618559413,0.3325,1.0,4,0,1.0,1.0,0,18543.0,22032.5,0,4,49.989,0.5391998701780258,49.353,50.606,-0.010999999999999233,0.5391998701780258,0.5393120617972492,0.5305,1.0,4,0,1.0,1.0,0,20206.0,25172.25,0
5,5,power_law,6.497,1.0,13595.0,1.4969999999999999,1.4969999999999999,29.94,1,1,2.452,1.0,15759.0,0.45199999999999996,0.45199999999999996,22.599999999999998,1,1,6.699,1.0,15673.0,1.6989999999999998,1.6989999999999998,33.98,1,1,2.426,1.0,10187.0,0.42600000000000016,0.42600000000000016,21.300000000000008,1,1,0.54,1.0,18117.0,-0.05999999999999994,0.05999999999999994,9.999999999999991,1,1,0.006,1.0,28768.0,-0.004,0.004,40.0,1,1,0.286,1.0,5007.0,-0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,15.879,1.0,4227.0,-2.1210000000000004,2.1210000000000004,11.783333333333337,1,1,4,0.575,0.39843631862569956,0.25,1.251,0.575,0.39843631862569956,0.6995545010933744,0.575,1.0,4,0,1.0,1.0,0,2869.0,12781.75,0,4,0.7462499999999999,0.4207994623333067,0.266,1.418,0.7462499999999999,0.4207994623333067,0.8567153844772485,0.7462499999999999,1.0,4,0,1.0,1.0,0,4306.0,11745.0,0,4,0.2625,0.7302124690800617,-0.78,1.276,0.2625,0.7302124690800617,0.7759616614240681,0.6525000000000001,1.0,4,0,1.0,1.0,0,5456.0,17646.0,0,4,50.17425,1.0340066186925496,48.917,51.421,0.17425000000000068,1.0340066186925496,1.0485860718128959,1.0037500000000001,1.0,4,0,1.0,1.0,0,3017.0,12484.5,0
6,6,power_law,6.67,1.0,9519.0,1.67,1.67,33.4,1,1,2.468,1.0,12475.0,0.46799999999999997,0.46799999999999997,23.4,1,1,7.23,1.0,13762.0,2.2300000000000004,2.2300000000000004,44.60000000000001,1,1,2.331,1.0,14954.0,0.33099999999999996,0.33099999999999996,16.549999999999997,1,1,0.546,1.0,24988.0,-0.05399999999999994,0.05399999999999994,8.99999999999999,1,1,0.024,1.0,30489.0,0.014,0.014,140.0,1,1,0.279,1.0,32762.0,-0.020999999999999963,0.020999999999999963,6.9999999999999885,1,1,14.37,1.0,12948.0,-3.630000000000001,3.630000000000001,20.16666666666667,1,1,4,0.4245,0.2459598544478346,0.158,0.826,0.4245,0.2459598544478346,0.490608295893985,0.4245,1.0,4,0,1.0,1.0,0,10037.0,15542.0,0,4,0.8817499999999999,0.28336758371415743,0.4,1.091,0.8817499999999999,0.28336758371415743,0.9261642672873965,0.8817499999999999,1.0,4,0,1.0,1.0,0,19111.0,22434.25,0,4,-0.18625,0.14347887475165116,-0.368,0.032,-0.18625,0.14347887475165116,0.23510689058383635,0.20225,1.0,4,0,1.0,1.0,0,11161.0,15727.0,0,4,50.950250000000004,0.6989607911034791,49.762,51.56,0.9502500000000023,0.6989607911034791,1.179627589538328,1.069250000000002,1.0,4,0,1.0,1.0,0,19907.0,22333.0,0
7,7,power_law,6.134,1.0,12079.0,1.1340000000000003,1.1340000000000003,22.680000000000007,1,1,2.274,1.0,14905.0,0.274,0.274,13.700000000000001,1,1,6.278,1.0,13069.0,1.2779999999999996,1.2779999999999996,25.559999999999995,1,1,2.463,1.0,15088.0,0.4630000000000001,0.4630000000000001,23.150000000000006,1,1,0.517,1.0,22882.0,-0.08299999999999996,0.08299999999999996,13.833333333333329,1,1,0.018,1.0,31246.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.304,1.0,36625.0,0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,16.52,1.0,14947.0,-1.4800000000000004,1.4800000000000004,8.222222222222225,1,1,4,0.42425,0.16580165107742442,0.162,0.598,0.42425,0.16580165107742442,0.4554978046050277,0.42425,1.0,4,0,1.0,1.0,0,13190.0,18301.75,0,4,1.02,0.9953956499804487,0.248,2.689,1.02,0.9953956499804487,1.425206125442913,1.02,1.0,4,0,1.0,1.0,0,17618.0,19271.25,0,4,-0.05449999999999999,0.3028072819467854,-0.498,0.302,-0.05449999999999999,0.3028072819467854,0.30767271572240523,0.27,1.0,4,0,1.0,1.0,0,16746.0,19718.5,0,4,50.483000000000004,0.36185839771932843,49.994,50.983,0.48299999999999876,0.36185839771932843,0.6035151199431531,0.4859999999999989,1.0,4,0,1.0,1.0,0,18381.0,20286.25,0
8,8,power_law,5.817,1.0,9737.0,0.8170000000000002,0.8170000000000002,16.340000000000003,1,1,2.404,1.0,13521.0,0.4039999999999999,0.4039999999999999,20.199999999999996,1,1,5.655,1.0,12811.0,0.6550000000000002,0.6550000000000002,13.100000000000007,1,1,2.277,1.0,14922.0,0.27700000000000014,0.27700000000000014,13.850000000000007,1,1,0.551,1.0,24369.0,-0.04899999999999993,0.04899999999999993,8.166666666666655,1,1,0.019,1.0,31769.0,0.009,0.009,89.99999999999999,1,1,0.313,1.0,35361.0,0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,19.13,1.0,11787.0,1.129999999999999,1.129999999999999,6.277777777777772,1,1,4,0.67275,0.6508361448936283,0.068,1.759,0.67275,0.6508361448936283,0.9360450042599447,0.67275,1.0,4,0,1.0,1.0,0,8375.0,15818.25,0,4,0.9802500000000001,1.2606893699480453,0.139,3.155,0.9802500000000001,1.2606893699480453,1.5969432519660802,0.9802500000000001,1.0,4,0,1.0,1.0,0,1706.0,18387.75,0,4,-0.48850000000000005,0.14154946132006296,-0.604,-0.247,-0.48850000000000005,0.14154946132006296,0.5085946322957017,0.48850000000000005,1.0,4,0,1.0,1.0,0,11387.0,15641.5,0,4,49.35849999999999,2.5931245149433133,44.973,51.681,-0.6415000000000024,2.5931245149433138,2.6712950043003487,1.871999999999998,0.75,3,0,1.0,1.0,0,20010.0,23837.75,0
9,9,power_law,6.566,1.0,8201.0,1.5659999999999998,1.5659999999999998,31.319999999999997,1,1,2.456,1.0,9005.0,0.45599999999999996,0.45599999999999996,22.799999999999997,1,1,6.043,1.0,9513.0,1.0430000000000001,1.0430000000000001,20.860000000000003,1,1,2.265,1.0,13345.0,0.2650000000000001,0.2650000000000001,13.250000000000007,1,1,0.544,1.0,9645.0,-0.05599999999999994,0.05599999999999994,9.333333333333323,1,1,0.012,1.0,20679.0,0.002,0.002,20.0,1,1,0.3,1.0,29875.0,0.0,0.0,0.0,1,1,19.771,1.0,15166.0,1.7710000000000008,1.7710000000000008,9.838888888888892,1,1,4,0.4935,0.2971401184626539,0.152,0.9,0.4935,0.2971401184626539,0.5760507790117118,0.4935,1.0,4,0,1.0,1.0,0,2920.0,10751.5,0,4,0.7665,0.59138418139142,0.279,1.74,0.7665,0.59138418139142,0.9681206019913016,0.7665,1.0,4,0,1.0025,1.01,0,2622.0,10426.0,0,4,-0.18275000000000002,1.0487433849612593,-1.984,0.561,-0.18275000000000002,1.0487433849612593,1.064546969372418,0.80925,1.0,4,0,1.0,1.0,0,1993.0,14231.75,0,4,49.80675,0.41765857766841225,49.296,50.386,-0.1932500000000008,0.4176585776684122,0.4602002281616138,0.3862500000000022,1.0,4,0,1.0,1.0,0,4076.0,11596.75,0
10,10,power_law,7.982,1.0,3984.0,2.982,2.982,59.64,1,1,2.724,1.0,3215.0,0.7240000000000002,0.7240000000000002,36.20000000000001,1,1,6.668,1.0,12080.0,1.6680000000000001,1.6680000000000001,33.36,1,1,2.55,1.0,13734.0,0.5499999999999998,0.5499999999999998,27.499999999999993,1,1,0.507,1.0,15509.0,-0.09299999999999997,0.09299999999999997,15.499999999999996,1,1,0.024,1.0,26910.0,0.014,0.014,140.0,1,1,0.278,1.0,25055.0,-0.021999999999999964,0.021999999999999964,7.333333333333322,1,1,19.459,1.01,945.0,1.4589999999999996,1.4589999999999996,8.105555555555553,1,1,4,0.5375000000000001,0.061292332310004305,0.442,0.596,0.5375000000000001,0.061292332310004305,0.5409833638846947,0.5375000000000001,1.0,4,0,1.0,1.0,0,3886.0,12396.25,0,4,0.48275,0.31495823135774687,0.286,1.028,0.48275,0.31495823135774687,0.5764080585835003,0.48275,1.0,4,0,1.0025,1.01,0,644.0,9969.0,0,4,0.050750000000000045,1.3851359815916993,-1.388,2.334,0.050750000000000045,1.3851359815916993,1.386065384460632,1.11625,0.75,3,0,1.0,1.0,0,16552.0,18253.5,0,4,50.24250000000001,0.8123744518385596,49.337,51.176,0.2425000000000015,0.8123744518385597,0.8477962609023473,0.8040000000000003,1.0,4,0,1.0,1.0,0,2535.0,13558.25,0
