simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.30441732254346643,0.1369812934649309,0.06751603883721234,0.29455445544554454,0.29600966893564357,0.012376237623762377,0.014358756188118812,0.6246540857181069,0.08944339706973573
0,gaussian,0.23705449658229372,0.14346093026981105,0.07547215285726133,0.29455445544554454,0.29739658106435646,0.012376237623762377,0.014100324876237623,0.4905671527133141,0.1042019655291703
0,power_law,0.37985756204515986,0.12933992653581894,0.055428824596907816,0.29455445544554454,0.2959088025990099,0.012376237623762377,0.014296642945544554,0.8377920009058482,0.05879881485367489
1,exponential,0.4511908149067143,0.11561631740812958,0.06122259975019011,0.2722772277227723,0.27548476175742576,0.007425742574257425,0.009703975866336634,0.6324521454109902,0.09145483860594734
1,gaussian,0.3486345206500653,0.12595656714033232,0.07062672262674387,0.2722772277227723,0.27505190284653463,0.007425742574257425,0.009528233292079209,0.4865396921441346,0.10809439622300039
1,power_law,0.6066989575954496,0.09787482426135945,0.04634735728302635,0.2722772277227723,0.27528836633663367,0.007425742574257425,0.00956721844059406,0.8335606607048548,0.06154286827777698
2,exponential,0.28270325404173446,0.14364023960617314,0.07356883219988518,0.25495049504950495,0.2567480662128713,0.01485148514851485,0.01666762066831683,0.6178191864207568,0.08746808867782953
2,gaussian,0.22600831752035822,0.14920893735897936,0.08137739415243568,0.25495049504950495,0.2573943378712871,0.01485148514851485,0.016645652846534652,0.4757566797118091,0.10244284925546289
2,power_law,0.3859406366532838,0.1329021080313058,0.05697173639180298,0.25495049504950495,0.2567198329207921,0.01485148514851485,0.01663335396039604,0.857402156755631,0.05342833923053129
3,exponential,0.3446622917936897,0.12154453589582355,0.06407968921018832,0.3193069306930693,0.3192525525990099,0.007425742574257425,0.00938335396039604,0.6135526898752681,0.09116408488610363
3,gaussian,0.264224160004324,0.12878806622576566,0.0714751158330118,0.3193069306930693,0.3200182549504951,0.007425742574257425,0.009458462252475248,0.46399771368404097,0.10736480843812671
3,power_law,0.42972124930271627,0.11338261142055711,0.051410633341669676,0.3193069306930693,0.31945683787128715,0.007425742574257425,0.009505027846534654,0.8320697326301237,0.06009566180230295
4,exponential,0.44600617780277274,0.11072841399362975,0.05791298054914791,0.29207920792079206,0.29630971534653466,0.0049504950495049506,0.007167930074257426,0.5798587397709186,0.09866635647932302
4,gaussian,0.34374216837091587,0.12051576672787735,0.06720894638575702,0.29207920792079206,0.29198793316831684,0.0049504950495049506,0.007480971534653465,0.4411843524247526,0.11379042076594074
4,power_law,0.6698832593948867,0.08547525256565196,0.038180423438231824,0.29207920792079206,0.2956744275990099,0.0049504950495049506,0.007098391089108911,0.8530194946643317,0.05835811993437881
5,exponential,0.29302100990895485,0.1455807305651011,0.07421707964762048,0.28217821782178215,0.2842422648514851,0.01485148514851485,0.016679378094059404,0.5502868979999622,0.10013301551577941
5,gaussian,0.21644248133471566,0.15326256222056822,0.08137185978154098,0.28217821782178215,0.28431629022277227,0.01485148514851485,0.016729811262376236,0.4030639549962579,0.1153648290417788
5,power_law,0.3802645995894265,0.13630249100806446,0.05987665425723228,0.28217821782178215,0.2837213025990099,0.01485148514851485,0.016605739480198018,0.8522709616684758,0.057390824001531206
6,exponential,0.3015729023345185,0.1422059861587891,0.07130332792850556,0.2871287128712871,0.2881811571782178,0.012376237623762377,0.014299814356435644,0.6307318290483304,0.09399442647863232
6,gaussian,0.2307422831729674,0.1492427588866916,0.08019716843186034,0.2871287128712871,0.2886758972772277,0.012376237623762377,0.014218982054455445,0.47457305315772513,0.11212109633806314
6,power_law,0.41279056316281526,0.13039287201999472,0.05408809833887385,0.2871287128712871,0.28826570235148513,0.012376237623762377,0.01428496287128713,0.8539763841522967,0.059107516727816986
7,exponential,0.4598818075827362,0.10497993981814384,0.05763186372625138,0.26485148514851486,0.26758763923267326,0.0024752475247524753,0.004732750618811881,0.5930177580269154,0.0969981740136149
7,gaussian,0.349428919268561,0.11521507150909517,0.06613672495038461,0.26485148514851486,0.26752939356435645,0.0024752475247524753,0.00474373452970297,0.44912030949919823,0.11285068758076466
7,power_law,0.6018447707577462,0.09013389288814468,0.04191839799692247,0.26485148514851486,0.2670299350247525,0.0024752475247524753,0.004771194306930693,0.8369866928388744,0.06138854753268671
8,exponential,0.345592605199606,0.1211913977585871,0.0631145372383323,0.2524752475247525,0.2552857363861386,0.007425742574257425,0.009390006188118812,0.6181380077242211,0.08718539894326015
8,gaussian,0.27565737194079953,0.1275027986638047,0.07028114381061551,0.2524752475247525,0.25418324566831685,0.007425742574257425,0.009550433168316831,0.47531041749299574,0.10219785082654789
8,power_law,0.4176924559526497,0.11432044429554802,0.05068517351106955,0.2524752475247525,0.2533493193069307,0.007425742574257425,0.009400371287128713,0.8315641248699687,0.05790390333781283
9,exponential,0.4004728027106145,0.12147009591809069,0.0632862440388538,0.2698019801980198,0.2731402382425743,0.007425742574257425,0.009524133663366336,0.5848862400356337,0.09810263658109107
9,gaussian,0.30851100702067735,0.13045404967861754,0.07240520715081608,0.2698019801980198,0.27324512685643565,0.007425742574257425,0.009521116955445545,0.4503076267565861,0.11289038925163158
9,power_law,0.5538843606038637,0.10478247536569693,0.04682885472246581,0.2698019801980198,0.27259212561881185,0.007425742574257425,0.009580677599009902,0.8231999741992482,0.0640233326266182
10,exponential,0.29021280767274393,0.15150539726532847,0.07301455942968757,0.27970297029702973,0.2831264696782178,0.017326732673267328,0.018877320544554457,0.6417466902462231,0.08997716489977862
10,gaussian,0.23072264580348756,0.15772680251436916,0.08194227981875563,0.27970297029702973,0.283029161509901,0.017326732673267328,0.019062964108910892,0.5062568681438723,0.10563011020118827
10,power_law,0.35416374148293517,0.14451909624505985,0.06006128009093918,0.27970297029702973,0.28281133972772277,0.017326732673267328,0.01895420792079208,0.8461117822541768,0.05897118897393111
11,exponential,0.43619100984598036,0.0996335137196247,0.05423671084267045,0.2698019801980198,0.27219585396039603,0.0024752475247524753,0.004750618811881188,0.5954095687404356,0.08874490679133075
11,gaussian,0.33448399980769894,0.10824770535109951,0.06150515059200592,0.2698019801980198,0.27193680383663366,0.0024752475247524753,0.004759668935643564,0.4504628813656242,0.10342705295543234
11,power_law,0.5802937297042576,0.08596312146510429,0.04074369835467786,0.2698019801980198,0.2720540686881188,0.0024752475247524753,0.004762530940594059,0.8275485904325744,0.05793873491561704
12,exponential,0.3462733817058853,0.13238134596249482,0.0657861979586652,0.29455445544554454,0.29779571472772276,0.012376237623762377,0.014324257425742575,0.6019892198417587,0.09149846645987601
12,gaussian,0.27205855469048146,0.1396937356470242,0.07357569623680721,0.29455445544554454,0.29814549814356434,0.012376237623762377,0.014265315594059406,0.4596418477944102,0.10661228500440317
12,power_law,0.4457649722042094,0.12189213749596271,0.05161746998209647,0.29455445544554454,0.29723476175742575,0.012376237623762377,0.014252397896039604,0.8431463736448408,0.05743990058061088
13,exponential,0.22093561243475812,0.170887968258949,0.08770633765744372,0.2722772277227723,0.2743691212871287,0.022277227722772276,0.023751082920792078,0.5731272217033136,0.10106875762775029
13,gaussian,0.17213477427264556,0.17615891649353466,0.09582508498956566,0.2722772277227723,0.2741194306930693,0.022277227722772276,0.023911587252475247,0.4330914952099256,0.11647271070532753
13,power_law,0.30892520371087984,0.1609486496519837,0.06873395348451417,0.2722772277227723,0.2737221534653465,0.022277227722772276,0.023788366336633664,0.8715780829811788,0.055435410925328214
14,exponential,0.4523414559096903,0.11420910812189644,0.061440273692263556,0.2896039603960396,0.2917169709158416,0.0049504950495049506,0.0071107673267326735,0.6415093507284625,0.09509449932648108
