simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.2683137342086708,0.10821773404014778,0.060778623272381364,0.3798076923076923,0.38304507211538463,0.004807692307692308,0.008834585336538461,0.4234792023908013,0.09381484722369836
0,gaussian,0.2502268458341764,0.10954711072366298,0.0626784188699765,0.3798076923076923,0.3842716346153846,0.004807692307692308,0.008830679086538461,0.3763638459827059,0.09757301582608689
0,power_law,0.32024787814962585,0.10430647538725009,0.05780044447605656,0.3798076923076923,0.3826688701923077,0.004807692307692308,0.008838341346153846,0.5269833844895118,0.08497717406402878
1,exponential,0.24761000925426724,0.10503132109026796,0.06338387818694662,0.35096153846153844,0.3521413762019231,0.004807692307692308,0.00884405048076923,0.5075843990024578,0.08032914842722756
1,gaussian,0.23258003509877057,0.10607520265116792,0.06503693527285458,0.35096153846153844,0.35186538461538464,0.004807692307692308,0.008952524038461538,0.4588181631700823,0.08421294730611467
1,power_law,0.2720947368987129,0.1033081901390744,0.061707077971629484,0.35096153846153844,0.3516580528846154,0.004807692307692308,0.008975360576923077,0.5551037893951554,0.07635484754060187
2,exponential,0.2207482474525,0.12982986766225404,0.06906484623153603,0.25961538461538464,0.2646201923076923,0.014423076923076924,0.017849158653846155,0.49127723104522947,0.07377946703474365
2,gaussian,0.18641804274951623,0.13265889483437596,0.07144201221830909,0.25961538461538464,0.26441646634615384,0.014423076923076924,0.017890625,0.44435598214765126,0.07710690073328397
2,power_law,0.28092238996687036,0.124716410764525,0.06446470941207336,0.25961538461538464,0.26422310697115386,0.014423076923076924,0.017891526442307692,0.6076158916108634,0.0647963631565228
3,exponential,0.46161049192777037,0.08090569313060524,0.0530043043761923,0.2932692307692308,0.2970596454326923,0.0,0.0045611478365384615,0.5447067006183166,0.08179666514282187
3,gaussian,0.4052178322364913,0.08503735797595752,0.05711809245486548,0.2932692307692308,0.296974609375,0.0,0.004426382211538462,0.48010294591005775,0.08740748950242185
3,power_law,0.5409229804420468,0.07470911049932878,0.04656033081783532,0.2932692307692308,0.29707436899038464,0.0,0.004451322115384616,0.6856121226636833,0.0679708755410308
4,exponential,0.2937286507688065,0.10606735355085171,0.06016429356145129,0.24519230769230768,0.2486942608173077,0.004807692307692308,0.0089921875,0.5569250386550677,0.07788114532691448
4,gaussian,0.2567589797096552,0.108807986574269,0.06424277468427918,0.24519230769230768,0.2495323016826923,0.004807692307692308,0.008974759615384615,0.48735666561945346,0.08377248202120396
4,power_law,0.35843144608513444,0.10109215932566931,0.054490909898668435,0.24519230769230768,0.24948963341346153,0.004807692307692308,0.00893584735576923,0.6762076960474062,0.06657742385203087
5,exponential,0.3651685419876295,0.08252499167708911,0.05465855470907166,0.25961538461538464,0.2629822716346154,0.0,0.0044517728365384614,0.5192882230923372,0.07785689193995161
5,gaussian,0.3146277894756455,0.0857471146548257,0.05821744139543021,0.25961538461538464,0.26331685697115387,0.0,0.004444711538461539,0.4518898402007211,0.08313590097310036
5,power_law,0.4585594770694207,0.07621345460132305,0.049995433843054354,0.25961538461538464,0.26240384615384615,0.0,0.004438251201923077,0.6249885115066465,0.06876650747874982
6,exponential,0.17098444332159313,0.14492914078423533,0.07590589315431927,0.25,0.25443930288461536,0.014423076923076924,0.017767728365384615,0.5227110884642785,0.08596698602352902
6,gaussian,0.16112515418132767,0.1457883978753216,0.07840566595731582,0.25,0.2545057091346154,0.014423076923076924,0.01785997596153846,0.4778275838373699,0.08991828013138255
6,power_law,0.1950009194955553,0.14281442297709454,0.07246258976887399,0.25,0.25430318509615385,0.014423076923076924,0.017879356971153847,0.6276664178462544,0.07592890427480285
7,exponential,0.3242184837344625,0.11749556008357256,0.06523722804829465,0.27403846153846156,0.2787354266826923,0.009615384615384616,0.013319260817307691,0.5234135512203085,0.08373533464437992
7,gaussian,0.2921905885493109,0.1202476140412149,0.06883608012463821,0.27403846153846156,0.2786379206730769,0.009615384615384616,0.013290114182692308,0.4709070694369356,0.0882274840801965
7,power_law,0.388848616887676,0.11173589212049467,0.05946769769887658,0.27403846153846156,0.27889453125,0.009615384615384616,0.013375901442307693,0.638698815727879,0.07290756741540565
8,exponential,0.2934697163068509,0.11921474288796655,0.06223297425228042,0.28365384615384615,0.2876853966346154,0.009615384615384616,0.013456580528846154,0.5332743065641234,0.08226801680777747
8,gaussian,0.2599050909477487,0.12201361207021039,0.06703083341797098,0.28365384615384615,0.28829537259615384,0.009615384615384616,0.0133359375,0.44829952121570604,0.08944413197359408
8,power_law,0.3319667440019197,0.11592139991408587,0.057017948650660566,0.28365384615384615,0.2878828125,0.009615384615384616,0.01342157451923077,0.6678394020919005,0.06940235862284756
